"","Kale","Caracterizacion","Platero"
"Dichotomius agenor",555,508,1058
"Coprophanaeus corythus",22,37,90
"Coprophanaeus gamezi",109,0,20
"Deltochilum guildingii",43,8,22
"Canthon septemmaculatus",708,18,131
"Onthophagus sp.01H",2321,524,4832
"Canthon juvencus",230,218,236
"Onthophagus acuminatus",0,14,0
"Sylvicanthon aequinoctialis",63,460,120
"Dichotomius andresi",0,13,0
"Trichillidium pilosum",16,20,5
"Canthon subhyalinus",7,1361,62
"Canthon sp.09H",62,72,11
"Uroxys sp.02H",29,22,13
"Eurysternus mexicanus",81,71,210
"Pseudocanthon xanthurus",3,1,4
"Onthophagus marginicollis",177,572,951
"Pseudocanthon perplexus",523,0,375
"Canthon sp.10H",22,9,84
"Onthophagus lebasi",44,26,358
"Eurysternus foedus",3,23,0
"Phanaeus hermes",6,2,32
"Canthidium sp.10H",0,1,6
"Eurysternus plebejus",0,3,11
"Ateuchus aeneomicans",93,10,97
"Canthon lituratus",1,3,0
"Digitonthophagus gazella",0,6,0
"Dichotomius sp.03H",5,1,40
"Canthidium sp.01H",10,0,26
"Canthidium sp.02H",75,0,1
"Canthon sp.06H",52,0,23
"Canthidium sp.05H",9,0,44
"Sulcophanaeus steinheili",0,0,1
"Canthidium sp.12H",26,0,1
"Canthon sp.05H",2,0,15
"Dichotomius reclinatus",0,1,0
"Uroxys sp.05H",1,18,2
