"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",7,7,0,NA,NA,1,7,7,1,7,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",7,0,0,7,0,1,7,7,1,7,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",7,7,0,7,7,1,7,7,1,7,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",17,18.778,1.926,17.316,26.998,2,26,17,0.9053,8,9,0,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",16.09,18.778,1.776,16.09,22.258,2,26,17,0.9053,8,9,0,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",15.364,18.556,1.691,15.364,21.87,2,26,17,0.9053,8,9,0,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",28,28.642,1.266,28.054,35.585,27,275,28,0.9935,2,3,1,1,2,3,1,2,0,1
"8","Bosque Ripario","Shannon diversity",21.715,22.51,0.705,21.715,23.893,27,275,28,0.9935,2,3,1,1,2,3,1,2,0,1
"9","Bosque Ripario","Simpson diversity",18.641,19.222,0.678,18.641,20.552,27,275,28,0.9935,2,3,1,1,2,3,1,2,0,1
"10","Herbazal","Species richness",21,28,7.165,22.332,57.787,7,58,21,0.8944,7,3,5,1,4,1,0,0,0,0
"11","Herbazal","Shannon diversity",17.614,21.454,2.488,17.614,26.33,7,58,21,0.8944,7,3,5,1,4,1,0,0,0,0
"12","Herbazal","Simpson diversity",15.574,18.078,1.696,15.574,21.402,7,58,21,0.8944,7,3,5,1,4,1,0,0,0,0
"13","Pastos","Species richness",14,20.25,5.625,15.381,42.284,2,18,14,0.6914,10,4,0,0,0,0,0,0,0,0
"14","Pastos","Shannon diversity",13.228,20.25,2.97,14.429,26.071,2,18,14,0.6914,10,4,0,0,0,0,0,0,0,0
"15","Pastos","Simpson diversity",12.462,19.625,2.705,14.322,24.928,2,18,14,0.6914,10,4,0,0,0,0,0,0,0,0
