"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Bosque Abierto","Species richness",7,7.995,2.225,7.072,20.72,188,7,0.9895
"2","Bosque Abierto","Shannon diversity",3.734,3.812,0.23,3.734,4.264,188,7,0.9895
"3","Bosque Abierto","Simpson diversity",2.824,2.852,0.238,2.824,3.319,188,7,0.9895
"4","Bosque Ripario","Species richness",28,28,0.312,28,28.715,4884,28,1
"5","Bosque Ripario","Shannon diversity",8.87,8.895,0.158,8.87,9.204,4884,28,1
"6","Bosque Ripario","Simpson diversity",5.313,5.318,0.111,5.313,5.536,4884,28,1
"7","Herbazal","Species richness",21,23.998,4.57,21.35,46.683,1641,21,0.9982
"8","Herbazal","Shannon diversity",9.655,9.727,0.226,9.655,10.169,1641,21,0.9982
"9","Herbazal","Simpson diversity",7.55,7.58,0.186,7.55,7.946,1641,21,0.9982
"10","Bosque Denso","Species richness",17,18.596,2.158,17.217,28.771,455,17,0.9913
"11","Bosque Denso","Shannon diversity",3.411,3.485,0.206,3.411,3.888,455,17,0.9913
"12","Bosque Denso","Simpson diversity",2.256,2.262,0.115,2.256,2.487,455,17,0.9913
"13","Pastos","Species richness",14,28.974,13.591,17.277,82.419,583,14,0.9897
"14","Pastos","Shannon diversity",2.712,2.775,0.163,2.712,3.093,583,14,0.9897
"15","Pastos","Simpson diversity",1.697,1.699,0.073,1.697,1.842,583,14,0.9897
