"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_108_T. Exc. Human2_2021_07_13/2021_07_15","Species richness",4,4.947,2.064,4.071,16.651,"ANH_108","TrmpExHum",0.5
"2","ANH_108_T. Exc. Human2_2021_07_13/2021_07_15","Shannon diversity",2.285,2.59,0.489,2.285,3.549,"ANH_108","TrmpExHum",0.5
"3","ANH_108_T. Exc. Human2_2021_07_13/2021_07_15","Simpson diversity",1.744,1.819,0.416,1.744,2.635,"ANH_108","TrmpExHum",0.5
"4","ANH_108_T. Exc. Human3_2021_07_13/2021_07_15","Species richness",3,3,0.39,3,4.011,"ANH_108","TrmpExHum",0.5
"5","ANH_108_T. Exc. Human3_2021_07_13/2021_07_15","Shannon diversity",2.44,2.634,0.433,2.44,3.483,"ANH_108","TrmpExHum",0.5
"6","ANH_108_T. Exc. Human3_2021_07_13/2021_07_15","Simpson diversity",2.085,2.275,0.538,2.085,3.33,"ANH_108","TrmpExHum",0.5
"7","ANH_108_T. Exc. Human4_2021_07_13/2021_07_15","Species richness",6,13.5,10.954,6.923,66.916,"ANH_108","TrmpExHum",0.5
"8","ANH_108_T. Exc. Human4_2021_07_13/2021_07_15","Shannon diversity",3.479,5.206,2.545,3.479,10.194,"ANH_108","TrmpExHum",0.5
"9","ANH_108_T. Exc. Human4_2021_07_13/2021_07_15","Simpson diversity",2.37,2.609,1.24,2.37,5.04,"ANH_108","TrmpExHum",0.5
"10","ANH_108_T. Exc. Human1_2021_07_13/2021_07_15","Species richness",2,2,0.082,2,2.167,"ANH_108","TrmpExHum",0.5
"11","ANH_108_T. Exc. Human1_2021_07_13/2021_07_15","Shannon diversity",1.89,1.956,0.162,1.89,2.274,"ANH_108","TrmpExHum",0.5
"12","ANH_108_T. Exc. Human1_2021_07_13/2021_07_15","Simpson diversity",1.8,1.909,0.267,1.8,2.433,"ANH_108","TrmpExHum",0.5
"13","ANH_108_T. Exc. Human5_2021_07_13/2021_07_15","Species richness",3,5,2.921,3.246,19.244,"ANH_108","TrmpExHum",0.5
"14","ANH_108_T. Exc. Human5_2021_07_13/2021_07_15","Shannon diversity",3,7.184,2.346,3,11.783,"ANH_108","TrmpExHum",0.5
"15","ANH_108_T. Exc. Human5_2021_07_13/2021_07_15","Simpson diversity",3,3,0.574,3,4.125,"ANH_108","TrmpExHum",0.5
"16","ANH_108_T. Exc. Human6_2021_07_13/2021_07_15","Species richness",5,6.895,3.559,5.17,26.067,"ANH_108","TrmpExHum",0.5
"17","ANH_108_T. Exc. Human6_2021_07_13/2021_07_15","Shannon diversity",3.292,3.932,0.962,3.292,5.817,"ANH_108","TrmpExHum",0.5
"18","ANH_108_T. Exc. Human6_2021_07_13/2021_07_15","Simpson diversity",2.524,2.758,0.796,2.524,4.319,"ANH_108","TrmpExHum",0.5
"19","ANH_108_T. Exc. Human7_2021_07_13/2021_07_15","Species richness",1,1,0.2,1,1.464,"ANH_108","TrmpExHum",0.5
"20","ANH_108_T. Exc. Human7_2021_07_13/2021_07_15","Shannon diversity",1,1,0,1,1,"ANH_108","TrmpExHum",0.5
"21","ANH_108_T. Exc. Human7_2021_07_13/2021_07_15","Simpson diversity",1,1,0,1,1,"ANH_108","TrmpExHum",0.5
"22","ANH_109_T. Exc. Human1_2021_07_15/2021_07_17","Species richness",2,2,0.471,2,3.583,"ANH_109","TrmpExHum",0.5
"23","ANH_109_T. Exc. Human1_2021_07_15/2021_07_17","Shannon diversity",1.312,1.371,0.284,1.312,1.928,"ANH_109","TrmpExHum",0.5
"24","ANH_109_T. Exc. Human1_2021_07_15/2021_07_17","Simpson diversity",1.166,1.166,0.191,1.166,1.54,"ANH_109","TrmpExHum",0.5
"25","ANH_109_T. Exc. Human2_2021_07_15/2021_07_17","Species richness",3,5,2.921,3.246,19.244,"ANH_109","TrmpExHum",0.5
"26","ANH_109_T. Exc. Human2_2021_07_15/2021_07_17","Shannon diversity",3,7.184,2.451,3,11.988,"ANH_109","TrmpExHum",0.5
"27","ANH_109_T. Exc. Human2_2021_07_15/2021_07_17","Simpson diversity",3,3,0.577,3,4.131,"ANH_109","TrmpExHum",0.5
"28","ANH_109_T. Exc. Human3_2021_07_15/2021_07_17","Species richness",2,2,0.332,2,2.854,"ANH_109","TrmpExHum",0.5
"29","ANH_109_T. Exc. Human3_2021_07_15/2021_07_17","Shannon diversity",1.819,1.966,0.331,1.819,2.614,"ANH_109","TrmpExHum",0.5
