"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobCopr","samplEff.1"
"1","ANH_130","Species richness",7,7.995,2.225,7.072,20.72,7662.42449432,4179.3981336,1873.97616434,0,0,198.695405695,7535.17467335,133.464090212,399.271359103,399.271359103,13813.8223851,115.7157158,9192.95834191,"Kale","Bosque Abierto",0.5
"2","ANH_130","Shannon diversity",3.734,3.812,0.232,3.734,4.267,7662.42449432,4179.3981336,1873.97616434,0,0,198.695405695,7535.17467335,133.464090212,399.271359103,399.271359103,13813.8223851,115.7157158,9192.95834191,"Kale","Bosque Abierto",0.5
"3","ANH_130","Simpson diversity",2.824,2.852,0.246,2.824,3.335,7662.42449432,4179.3981336,1873.97616434,0,0,198.695405695,7535.17467335,133.464090212,399.271359103,399.271359103,13813.8223851,115.7157158,9192.95834191,"Kale","Bosque Abierto",0.5
"4","ANH_371","Species richness",17,18.122,1.765,17.126,26.998,1843.06092152,4372.81737163,6195.96499413,30.7155542884,30.7155542884,39.6740433363,4855.93635099,6371.5667867,1939.60473599,1939.60473599,7368.35344896,5908.67646059,1373.81350347,"Platero","Bosque Ripario",1
"5","ANH_371","Shannon diversity",3.861,3.963,0.296,3.861,4.543,1843.06092152,4372.81737163,6195.96499413,30.7155542884,30.7155542884,39.6740433363,4855.93635099,6371.5667867,1939.60473599,1939.60473599,7368.35344896,5908.67646059,1373.81350347,"Platero","Bosque Ripario",1
"6","ANH_371","Simpson diversity",2.363,2.372,0.151,2.363,2.667,1843.06092152,4372.81737163,6195.96499413,30.7155542884,30.7155542884,39.6740433363,4855.93635099,6371.5667867,1939.60473599,1939.60473599,7368.35344896,5908.67646059,1373.81350347,"Platero","Bosque Ripario",1
"7","ANH_110","Species richness",11,11.498,1.318,11.029,19.413,5492.74055019,3341.43186616,1802.62551194,10.2432607343,0.377995076014,2.32462719475,3258.2412738,74.4777500016,1269.32440151,1269.32440151,7989.92196241,3093.51571147,4575.43079393,"Kale","Bosque Ripario",0.5
"8","ANH_110","Shannon diversity",5.462,5.586,0.362,5.462,6.295,5492.74055019,3341.43186616,1802.62551194,10.2432607343,0.377995076014,2.32462719475,3258.2412738,74.4777500016,1269.32440151,1269.32440151,7989.92196241,3093.51571147,4575.43079393,"Kale","Bosque Ripario",0.5
"9","ANH_110","Simpson diversity",3.89,3.936,0.326,3.89,4.574,5492.74055019,3341.43186616,1802.62551194,10.2432607343,0.377995076014,2.32462719475,3258.2412738,74.4777500016,1269.32440151,1269.32440151,7989.92196241,3093.51571147,4575.43079393,"Kale","Bosque Ripario",0.5
"10","ANH_368","Species richness",14,15.116,1.758,14.125,23.96,2729.85095313,5689.23419082,93.4324920071,0,0,61.3915848758,1575.3478284,1428.21372064,6208.33777501,6208.33777501,1141.52136153,1274.37570273,1427.07644303,"Kale","Bosque Ripario",0.5
"11","ANH_368","Shannon diversity",6.422,6.818,0.59,6.422,7.975,2729.85095313,5689.23419082,93.4324920071,0,0,61.3915848758,1575.3478284,1428.21372064,6208.33777501,6208.33777501,1141.52136153,1274.37570273,1427.07644303,"Kale","Bosque Ripario",0.5
"12","ANH_368","Simpson diversity",4.503,4.628,0.44,4.503,5.491,2729.85095313,5689.23419082,93.4324920071,0,0,61.3915848758,1575.3478284,1428.21372064,6208.33777501,6208.33777501,1141.52136153,1274.37570273,1427.07644303,"Kale","Bosque Ripario",0.5
"13","ANH_144","Species richness",8,8,0.525,8,9.52,2219.12042092,2847.89452658,8054.19517242,552.566404312,0,32.9593032451,5274.33862912,7201.43962949,676.420851186,676.420851186,8871.0935591,6429.16526773,3332.19291415,"Platero","Herbazal",0.5
"14","ANH_144","Shannon diversity",4.079,4.199,0.361,4.079,4.908,2219.12042092,2847.89452658,8054.19517242,552.566404312,0,32.9593032451,5274.33862912,7201.43962949,676.420851186,676.420851186,8871.0935591,6429.16526773,3332.19291415,"Platero","Herbazal",0.5
"15","ANH_144","Simpson diversity",2.798,2.839,0.313,2.798,3.452,2219.12042092,2847.89452658,8054.19517242,552.566404312,0,32.9593032451,5274.33862912,7201.43962949,676.420851186,676.420851186,8871.0935591,6429.16526773,3332.19291415,"Platero","Herbazal",0.5
