"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","TrmpExHum","Bosque Abierto_21","Canthon septemmaculatus",TRUE,1,61,64.9,NA,NA,64.9,1.8,16.7
"2","TrmpExHum","Bosque Abierto_21","Pseudocanthon perplexus",TRUE,2,13,13.8,NA,NA,78.7,1.1,33.3
"3","TrmpExHum","Bosque Abierto_21","Onthophagus sp.01H",TRUE,3,9,9.6,NA,NA,88.3,1,50
"4","TrmpExHum","Bosque Abierto_21","Canthon sp.06H",FALSE,4,6,6.4,NA,NA,94.7,0.8,66.7
"5","TrmpExHum","Bosque Abierto_21","Canthon juvencus",FALSE,5,4,4.3,NA,NA,98.9,0.6,83.3
"6","TrmpExHum","Bosque Abierto_21","Deltochilum guildingii",FALSE,6,1,1.1,NA,NA,100,0,100
"7","TrmpExHum","Bosque Abierto_NA","Canthon septemmaculatus",TRUE,1,40,42.6,NA,NA,42.6,1.6,16.7
"8","TrmpExHum","Bosque Abierto_NA","Pseudocanthon perplexus",TRUE,2,27,28.7,NA,NA,71.3,1.4,33.3
"9","TrmpExHum","Bosque Abierto_NA","Canthon juvencus",TRUE,3,16,17,NA,NA,88.3,1.2,50
"10","TrmpExHum","Bosque Abierto_NA","Canthon sp.06H",FALSE,4,7,7.4,NA,NA,95.7,0.8,66.7
"11","TrmpExHum","Bosque Abierto_NA","Onthophagus sp.01H",FALSE,5,3,3.2,NA,NA,98.9,0.5,83.3
"12","TrmpExHum","Bosque Abierto_NA","Canthon sp.10H",FALSE,6,1,1.1,NA,NA,100,0,100
"13","TrmpExHum","Bosque Denso_21","Sylvicanthon aequinoctialis",TRUE,1,282,62,NA,NA,62,2.5,5.9
"14","TrmpExHum","Bosque Denso_21","Canthon juvencus",TRUE,2,107,23.5,NA,NA,85.5,2,11.8
"15","TrmpExHum","Bosque Denso_21","Canthon subhyalinus",TRUE,3,24,5.3,NA,NA,90.8,1.4,17.6
"16","TrmpExHum","Bosque Denso_21","Uroxys sp.05H",FALSE,4,12,2.6,NA,NA,93.4,1.1,23.5
"17","TrmpExHum","Bosque Denso_21","Eurysternus plebejus",FALSE,5,5,1.1,NA,NA,94.5,0.7,29.4
"18","TrmpExHum","Bosque Denso_21","Deltochilum guildingii",FALSE,6,4,0.9,NA,NA,95.4,0.6,35.3
"19","TrmpExHum","Bosque Denso_21","Dichotomius andresi",FALSE,7,4,0.9,NA,NA,96.3,0.6,41.2
