"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","TrmpExHum","Caracterizacion","Onthophagus marginicollis",TRUE,1,452,28.6,NA,NA,28.6,2.7,3.7
"2","TrmpExHum","Caracterizacion","Sylvicanthon aequinoctialis",TRUE,2,382,24.2,NA,NA,52.8,2.6,7.4
"3","TrmpExHum","Caracterizacion","Onthophagus sp.01H",TRUE,3,226,14.3,NA,NA,67.1,2.4,11.1
"4","TrmpExHum","Caracterizacion","Canthon juvencus",FALSE,4,184,11.6,NA,NA,78.7,2.3,14.8
"5","TrmpExHum","Caracterizacion","Dichotomius agenor",FALSE,5,90,5.7,NA,NA,84.4,2,18.5
"6","TrmpExHum","Caracterizacion","Canthon septemmaculatus",FALSE,6,42,2.7,NA,NA,87.1,1.6,22.2
"7","TrmpExHum","Caracterizacion","Canthon sp.10H",FALSE,7,39,2.5,NA,NA,89.6,1.6,25.9
"8","TrmpExHum","Caracterizacion","Canthon subhyalinus",FALSE,8,32,2,NA,NA,91.6,1.5,29.6
"9","TrmpExHum","Caracterizacion","Eurysternus mexicanus",FALSE,9,28,1.8,NA,NA,93.4,1.4,33.3
"10","TrmpExHum","Caracterizacion","Coprophanaeus corythus",FALSE,10,13,0.8,NA,NA,94.2,1.1,37
"11","TrmpExHum","Caracterizacion","Uroxys sp.05H",FALSE,11,13,0.8,NA,NA,95,1.1,40.7
"12","TrmpExHum","Caracterizacion","Canthidium sp.12H",FALSE,12,11,0.7,NA,NA,95.7,1,44.4
"13","TrmpExHum","Caracterizacion","Deltochilum guildingii",FALSE,13,10,0.6,NA,NA,96.3,1,48.1
"14","TrmpExHum","Caracterizacion","Canthidium sp.05H",FALSE,14,8,0.5,NA,NA,96.8,0.9,51.9
"15","TrmpExHum","Caracterizacion","Canthidium sp.02H",FALSE,15,7,0.4,NA,NA,97.3,0.8,55.6
"16","TrmpExHum","Caracterizacion","Canthon lituratus",FALSE,16,6,0.4,NA,NA,97.7,0.8,59.3
"17","TrmpExHum","Caracterizacion","Eurysternus foedus",FALSE,17,5,0.3,NA,NA,98,0.7,63
"18","TrmpExHum","Caracterizacion","Dichotomius sp.03H",FALSE,18,5,0.3,NA,NA,98.3,0.7,66.7
"19","TrmpExHum","Caracterizacion","Ateuchus aeneomicans",FALSE,19,5,0.3,NA,NA,98.6,0.7,70.4
"20","TrmpExHum","Caracterizacion","Uroxys sp.02H",FALSE,20,5,0.3,NA,NA,98.9,0.7,74.1
"21","TrmpExHum","Caracterizacion","Eurysternus plebejus",FALSE,21,5,0.3,NA,NA,99.2,0.7,77.8
"22","TrmpExHum","Caracterizacion","Dichotomius andresi",FALSE,22,4,0.3,NA,NA,99.5,0.6,81.5
"23","TrmpExHum","Caracterizacion","Phanaeus hermes",FALSE,23,3,0.2,NA,NA,99.7,0.5,85.2
"24","TrmpExHum","Caracterizacion","Onthophagus acuminatus",FALSE,24,2,0.1,NA,NA,99.8,0.3,88.9
"25","TrmpExHum","Caracterizacion","Scatimus ovatus",FALSE,25,1,0.1,NA,NA,99.9,0,92.6
"26","TrmpExHum","Caracterizacion","Onthophagus lebasi",FALSE,26,1,0.1,NA,NA,99.9,0,96.3
"27","TrmpExHum","Caracterizacion","Digitonthophagus gazella",FALSE,27,1,0.1,NA,NA,100,0,100
"28","TrmpExHum","Kale","Onthophagus sp.01H",TRUE,1,454,33.9,NA,NA,33.9,2.7,3.7
"29","TrmpExHum","Kale","Sylvicanthon aequinoctialis",TRUE,2,195,14.6,NA,NA,48.5,2.3,7.4
"30","TrmpExHum","Kale","Dichotomius agenor",TRUE,3,187,14,NA,NA,62.4,2.3,11.1
"31","TrmpExHum","Kale","Canthon juvencus",FALSE,4,143,10.7,NA,NA,73.1,2.2,14.8
"32","TrmpExHum","Kale","Pseudocanthon perplexus",FALSE,5,101,7.5,NA,NA,80.7,2,18.5
"33","TrmpExHum","Kale","Canthon septemmaculatus",FALSE,6,64,4.8,NA,NA,85.4,1.8,22.2
"34","TrmpExHum","Kale","Onthophagus marginicollis",FALSE,7,44,3.3,NA,NA,88.7,1.6,25.9
"35","TrmpExHum","Kale","Canthon sp.06H",FALSE,8,23,1.7,NA,NA,90.4,1.4,29.6
"36","TrmpExHum","Kale","Canthidium sp.02H",FALSE,9,15,1.1,NA,NA,91.6,1.2,33.3
"37","TrmpExHum","Kale","Coprophanaeus corythus",FALSE,10,14,1,NA,NA,92.6,1.1,37
"38","TrmpExHum","Kale","Ateuchus aeneomicans",FALSE,11,13,1,NA,NA,93.6,1.1,40.7
"39","TrmpExHum","Kale","Canthidium sp.12H",FALSE,12,11,0.8,NA,NA,94.4,1,44.4
"40","TrmpExHum","Kale","Coprophanaeus gamezi",FALSE,13,9,0.7,NA,NA,95.1,1,48.1
"41","TrmpExHum","Kale","Canthidium sp.05H",FALSE,14,9,0.7,NA,NA,95.7,1,51.9
"42","TrmpExHum","Kale","Canthon sp.10H",FALSE,15,8,0.6,NA,NA,96.3,0.9,55.6
"43","TrmpExHum","Kale","Dichotomius sp.03H",FALSE,16,8,0.6,NA,NA,96.9,0.9,59.3
"44","TrmpExHum","Kale","Uroxys sp.02H",FALSE,17,7,0.5,NA,NA,97.5,0.8,63
"45","TrmpExHum","Kale","Onthophagus lebasi",FALSE,18,6,0.4,NA,NA,97.9,0.8,66.7
"46","TrmpExHum","Kale","Eurysternus mexicanus",FALSE,19,5,0.4,NA,NA,98.3,0.7,70.4
"47","TrmpExHum","Kale","Deltochilum guildingii",FALSE,20,5,0.4,NA,NA,98.7,0.7,74.1
"48","TrmpExHum","Kale","Phanaeus hermes",FALSE,21,5,0.4,NA,NA,99,0.7,77.8
"49","TrmpExHum","Kale","Trichillidium pilosum",FALSE,22,3,0.2,NA,NA,99.3,0.5,81.5
"50","TrmpExHum","Kale","Canthon subhyalinus",FALSE,23,3,0.2,NA,NA,99.5,0.5,85.2
"51","TrmpExHum","Kale","Canthon sp.05H",FALSE,24,2,0.1,NA,NA,99.6,0.3,88.9
"52","TrmpExHum","Kale","Pseudocanthon xanthurus",FALSE,25,2,0.1,NA,NA,99.8,0.3,92.6
"53","TrmpExHum","Kale","Canthon sp.09H",FALSE,26,2,0.1,NA,NA,99.9,0.3,96.3
"54","TrmpExHum","Kale","Eurysternus foedus",FALSE,27,1,0.1,NA,NA,100,0,100
"55","TrmpExHum","Platero","Onthophagus sp.01H",TRUE,1,913,26,NA,NA,26,3,3.2
"56","TrmpExHum","Platero","Sylvicanthon aequinoctialis",TRUE,2,516,14.7,NA,NA,40.7,2.7,6.5
"57","TrmpExHum","Platero","Canthon septemmaculatus",TRUE,3,507,14.4,NA,NA,55.2,2.7,9.7
"58","TrmpExHum","Platero","Dichotomius sp.03H",FALSE,4,224,6.4,NA,NA,61.6,2.4,12.9
"59","TrmpExHum","Platero","Dichotomius agenor",FALSE,5,221,6.3,NA,NA,67.9,2.3,16.1
"60","TrmpExHum","Platero","Canthon juvencus",FALSE,6,220,6.3,NA,NA,74.1,2.3,19.4
"61","TrmpExHum","Platero","Onthophagus marginicollis",FALSE,7,202,5.8,NA,NA,79.9,2.3,22.6
"62","TrmpExHum","Platero","Pseudocanthon perplexus",FALSE,8,120,3.4,NA,NA,83.3,2.1,25.8
"63","TrmpExHum","Platero","Coprophanaeus corythus",FALSE,9,69,2,NA,NA,85.3,1.8,29
"64","TrmpExHum","Platero","Onthophagus lebasi",FALSE,10,55,1.6,NA,NA,86.8,1.7,32.3
"65","TrmpExHum","Platero","Canthidium sp.01H",FALSE,11,55,1.6,NA,NA,88.4,1.7,35.5
"66","TrmpExHum","Platero","Canthon sp.06H",FALSE,12,51,1.5,NA,NA,89.9,1.7,38.7
"67","TrmpExHum","Platero","Canthon sp.10H",FALSE,13,45,1.3,NA,NA,91.1,1.7,41.9
"68","TrmpExHum","Platero","Eurysternus mexicanus",FALSE,14,38,1.1,NA,NA,92.2,1.6,45.2
"69","TrmpExHum","Platero","Uroxys sp.02H",FALSE,15,38,1.1,NA,NA,93.3,1.6,48.4
"70","TrmpExHum","Platero","Canthidium sp.05H",FALSE,16,36,1,NA,NA,94.3,1.6,51.6
"71","TrmpExHum","Platero","Ateuchus aeneomicans",FALSE,17,34,1,NA,NA,95.3,1.5,54.8
"72","TrmpExHum","Platero","Deltochilum guildingii",FALSE,18,24,0.7,NA,NA,96,1.4,58.1
"73","TrmpExHum","Platero","Eurysternus plebejus",FALSE,19,21,0.6,NA,NA,96.6,1.3,61.3
"74","TrmpExHum","Platero","Phanaeus hermes",FALSE,20,20,0.6,NA,NA,97.2,1.3,64.5
"75","TrmpExHum","Platero","Coprophanaeus gamezi",FALSE,21,20,0.6,NA,NA,97.7,1.3,67.7
"76","TrmpExHum","Platero","Canthidium sp.10H",FALSE,22,19,0.5,NA,NA,98.3,1.3,71
"77","TrmpExHum","Platero","Canthon subhyalinus",FALSE,23,17,0.5,NA,NA,98.7,1.2,74.2
"78","TrmpExHum","Platero","Trichillidium pilosum",FALSE,24,13,0.4,NA,NA,99.1,1.1,77.4
"79","TrmpExHum","Platero","Pseudocanthon xanthurus",FALSE,25,11,0.3,NA,NA,99.4,1,80.6
"80","TrmpExHum","Platero","Canthidium sp.12H",FALSE,26,9,0.3,NA,NA,99.7,1,83.9
"81","TrmpExHum","Platero","Canthidium sp.02H",FALSE,27,5,0.1,NA,NA,99.8,0.7,87.1
"82","TrmpExHum","Platero","Digitonthophagus gazella",FALSE,28,3,0.1,NA,NA,99.9,0.5,90.3
"83","TrmpExHum","Platero","Eurysternus foedus",FALSE,29,1,0,NA,NA,99.9,0,93.5
"84","TrmpExHum","Platero","Uroxys sp.05H",FALSE,30,1,0,NA,NA,100,0,96.8
"85","TrmpExHum","Platero","Canthon lituratus",FALSE,31,1,0,NA,NA,100,0,100
