"","Kale","Platero","Caracterizacion"
"Pseudocanthon perplexus",202,120,0
"Canthon septemmaculatus",127,507,42
"Eurysternus mexicanus",10,38,28
"Onthophagus lebasi",11,55,1
"Canthon juvencus",286,220,184
"Coprophanaeus gamezi",17,20,0
"Coprophanaeus corythus",27,69,13
"Sylvicanthon aequinoctialis",390,516,382
"Onthophagus sp.01H",907,913,226
"Canthidium sp.02H",30,5,7
"Uroxys sp.02H",13,38,5
"Onthophagus marginicollis",87,202,452
"Canthon sp.06H",46,51,0
"Canthon sp.10H",15,45,39
"Ateuchus aeneomicans",25,34,5
"Canthidium sp.12H",22,9,11
"Deltochilum guildingii",9,24,10
"Dichotomius agenor",374,221,90
"Canthidium sp.05H",17,36,8
"Eurysternus foedus",2,1,5
"Trichillidium pilosum",5,13,0
"Canthon subhyalinus",6,17,32
"Eurysternus plebejus",0,21,5
"Canthon sp.05H",3,0,0
"Dichotomius andresi",0,0,4
"Phanaeus hermes",10,20,3
"Pseudocanthon xanthurus",3,11,0
"Dichotomius sp.03H",15,224,5
"Canthon lituratus",0,1,6
"Uroxys sp.05H",0,1,13
"Canthidium sp.10H",0,19,0
"Scatimus ovatus",0,0,1
"Onthophagus acuminatus",0,0,2
"Digitonthophagus gazella",0,3,1
"Canthon sp.09H",3,0,0
"Canthidium sp.01H",0,55,0
