"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",11,11,0,NA,NA,1,11,11,1,11,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",11,0,0,11,0,1,11,11,1,11,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",11,11,0,11,11,1,11,11,1,11,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",22,22.562,0.891,22.063,27.054,2,38,22,0.9751,6,16,0,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",21.198,22.562,1.303,21.198,25.116,2,38,22,0.9751,6,16,0,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",20.629,22.469,1.349,20.629,25.112,2,38,22,0.9751,6,16,0,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",31,31.12,0.427,31.005,33.85,27,366,31,0.9979,1,4,2,2,0,0,2,3,1,0
"8","Bosque Ripario","Shannon diversity",23.991,24.607,0.703,23.991,25.984,27,366,31,0.9979,1,4,2,2,0,0,2,3,1,0
"9","Bosque Ripario","Simpson diversity",20.878,21.3,0.638,20.878,22.551,27,366,31,0.9979,1,4,2,2,0,0,2,3,1,0
"10","Herbazal","Species richness",24,29.359,5.381,25.043,51.531,8,93,24,0.9353,7,4,1,3,1,1,4,3,0,0
"11","Herbazal","Shannon diversity",18.803,21.053,1.519,18.803,24.03,8,93,24,0.9353,7,4,1,3,1,1,4,3,0,0
"12","Herbazal","Simpson diversity",16.35,17.296,1.154,16.35,19.557,8,93,24,0.9353,7,4,1,3,1,1,4,3,0,0
"13","Palma","Species richness",13,13,0,NA,NA,1,13,13,1,13,0,0,0,0,0,0,0,0,0
"14","Palma","Shannon diversity",13,0,0,13,0,1,13,13,1,13,0,0,0,0,0,0,0,0,0
"15","Palma","Simpson diversity",13,13,0,13,13,1,13,13,1,13,0,0,0,0,0,0,0,0,0
"16","Pastos","Species richness",20,24.5,3.712,21.096,38.472,2,28,20,0.8163,12,8,0,0,0,0,0,0,0,0
"17","Pastos","Shannon diversity",18.843,24.5,2.206,20.175,28.825,2,28,20,0.8163,12,8,0,0,0,0,0,0,0,0
"18","Pastos","Simpson diversity",17.818,24.125,2.305,19.606,28.644,2,28,20,0.8163,12,8,0,0,0,0,0,0,0,0
