"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",6,6,0,NA,NA,1,6,6,1,6,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",6,0,0,6,0,1,6,6,1,6,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",6,6,0,6,6,1,6,6,1,6,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",24,28.288,4.297,24.836,45.982,8,91,24,0.9361,7,5,1,2,1,1,4,3,0,0
"5","Bosque Denso","Shannon diversity",18.594,20.782,1.494,18.594,23.711,8,91,24,0.9361,7,5,1,2,1,1,4,3,0,0
"6","Bosque Denso","Simpson diversity",16.017,16.947,1.209,16.017,19.317,8,91,24,0.9361,7,5,1,2,1,1,4,3,0,0
"7","Bosque Ripario","Species richness",32,34.17,3.286,32.255,50.441,28,372,32,0.9923,3,2,2,3,0,0,2,3,1,1
"8","Bosque Ripario","Shannon diversity",24.154,24.901,0.704,24.154,26.28,28,372,32,0.9923,3,2,2,3,0,0,2,3,1,1
"9","Bosque Ripario","Simpson diversity",20.872,21.302,0.679,20.872,22.632,28,372,32,0.9923,3,2,2,3,0,0,2,3,1,1
"10","Cultivos","Species richness",24,25.531,1.751,24.255,33.193,4,48,24,0.9319,7,12,3,2,0,0,0,0,0,0
"11","Cultivos","Shannon diversity",21.924,26.022,2.283,21.924,30.496,4,48,24,0.9319,7,12,3,2,0,0,0,0,0,0
"12","Cultivos","Simpson diversity",20.211,25.886,1.913,22.137,29.635,4,48,24,0.9319,7,12,3,2,0,0,0,0,0,0
"13","Herbazal","Species richness",11,11,0,NA,NA,1,11,11,1,11,0,0,0,0,0,0,0,0,0
"14","Herbazal","Shannon diversity",11,0,0,11,0,1,11,11,1,11,0,0,0,0,0,0,0,0,0
"15","Herbazal","Simpson diversity",11,11,0,11,11,1,11,11,1,11,0,0,0,0,0,0,0,0,0
"16","Palma","Species richness",15,24.375,8.155,17.153,55.822,4,21,15,0.6241,10,4,1,0,0,0,0,0,0,0
"17","Palma","Shannon diversity",13.784,24.044,6.024,13.784,35.851,4,21,15,0.6241,10,4,1,0,0,0,0,0,0,0
"18","Palma","Simpson diversity",12.6,22.75,4.533,13.865,31.635,4,21,15,0.6241,10,4,1,0,0,0,0,0,0,0
"19","Pastos","Species richness",26,27.674,2.078,26.252,37.108,16,104,26,0.9595,5,7,3,2,2,2,2,1,0,1
"20","Pastos","Shannon diversity",19.872,22.291,1.441,19.872,25.116,16,104,26,0.9595,5,7,3,2,2,2,2,1,0,1
"21","Pastos","Simpson diversity",16.095,17.743,1.365,16.095,20.419,16,104,26,0.9595,5,7,3,2,2,2,2,1,0,1
"22","Rios","Species richness",1,1,0.312,1,2.549,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"23","Rios","Shannon diversity",1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"24","Rios","Simpson diversity",1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"25","Vegetacion Secundaria","Species richness",25,33.229,6.362,27.151,56.477,5,45,25,0.7935,12,7,5,1,0,0,0,0,0,0
"26","Vegetacion Secundaria","Shannon diversity",22.233,30.952,3.573,23.949,37.956,5,45,25,0.7935,12,7,5,1,0,0,0,0,0,0
"27","Vegetacion Secundaria","Simpson diversity",20.05,28.486,3.253,22.109,34.862,5,45,25,0.7935,12,7,5,1,0,0,0,0,0,0
"28","Vias","Species richness",11,11,0,NA,NA,1,11,11,1,11,0,0,0,0,0,0,0,0,0
"29","Vias","Shannon diversity",11,0,0,11,0,1,11,11,1,11,0,0,0,0,0,0,0,0,0
"30","Vias","Simpson diversity",11,11,0,11,11,1,11,11,1,11,0,0,0,0,0,0,0,0,0
