"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_108_21","Species richness",11,13.994,4.498,11.356,36.188,"ANH_108","TrmpExHum",0.666666666666667
"2","ANH_108_21","Shannon diversity",2.178,2.207,0.14,2.178,2.481,"ANH_108","TrmpExHum",0.666666666666667
"3","ANH_108_21","Simpson diversity",1.437,1.438,0.054,1.437,1.545,"ANH_108","TrmpExHum",0.666666666666667
"4","ANH_109_21","Species richness",9,16.979,11.633,9.985,73.658,"ANH_109","TrmpExHum",0.666666666666667
"5","ANH_109_21","Shannon diversity",3.036,3.099,0.16,3.036,3.412,"ANH_109","TrmpExHum",0.666666666666667
"6","ANH_109_21","Simpson diversity",2.551,2.561,0.081,2.551,2.719,"ANH_109","TrmpExHum",0.666666666666667
"7","ANH_110_21","Species richness",21,24.998,5.289,21.557,49.705,"ANH_110","TrmpExHum",0.666666666666667
"8","ANH_110_21","Shannon diversity",4.903,4.939,0.144,4.903,5.221,"ANH_110","TrmpExHum",0.666666666666667
"9","ANH_110_21","Simpson diversity",3.379,3.384,0.084,3.379,3.549,"ANH_110","TrmpExHum",0.666666666666667
"10","ANH_110_NA","Species richness",10,12.979,4.464,10.355,34.985,"ANH_110","TrmpExHum",0.666666666666667
"11","ANH_110_NA","Shannon diversity",5.407,5.66,0.415,5.407,6.474,"ANH_110","TrmpExHum",0.666666666666667
"12","ANH_110_NA","Simpson diversity",4.216,4.313,0.346,4.216,4.992,"ANH_110","TrmpExHum",0.666666666666667
"13","ANH_112_NA","Species richness",3,3.95,2.024,3.073,15.344,"ANH_112","TrmpExHum",0.666666666666667
"14","ANH_112_NA","Shannon diversity",1.483,1.628,0.268,1.483,2.153,"ANH_112","TrmpExHum",0.666666666666667
"15","ANH_112_NA","Simpson diversity",1.227,1.242,0.185,1.227,1.604,"ANH_112","TrmpExHum",0.666666666666667
"16","ANH_112_21","Species richness",16,16.249,0.726,16.013,20.716,"ANH_112","TrmpExHum",0.666666666666667
"17","ANH_112_21","Shannon diversity",9.688,10.066,0.682,9.688,11.404,"ANH_112","TrmpExHum",0.666666666666667
"18","ANH_112_21","Simpson diversity",6.771,6.964,0.689,6.771,8.316,"ANH_112","TrmpExHum",0.666666666666667
"19","ANH_113_21","Species richness",10,10.498,1.318,10.029,18.412,"ANH_113","TrmpExHum",0.666666666666667
"20","ANH_113_21","Shannon diversity",2.722,2.782,0.249,2.722,3.27,"ANH_113","TrmpExHum",0.666666666666667
"21","ANH_113_21","Simpson diversity",1.708,1.713,0.12,1.708,1.948,"ANH_113","TrmpExHum",0.666666666666667
"22","ANH_114_NA","Species richness",10,14.445,7.11,10.489,50.445,"ANH_114","TrmpExHum",0.666666666666667
"23","ANH_114_NA","Shannon diversity",5.557,6.064,0.725,5.557,7.485,"ANH_114","TrmpExHum",0.666666666666667
"24","ANH_114_NA","Simpson diversity",4.361,4.549,0.481,4.361,5.493,"ANH_114","TrmpExHum",0.666666666666667
"25","ANH_114_21","Species richness",15,16.996,3.735,15.18,37.09,"ANH_114","TrmpExHum",0.666666666666667
"26","ANH_114_21","Shannon diversity",6.493,6.6,0.31,6.493,7.209,"ANH_114","TrmpExHum",0.666666666666667
"27","ANH_114_21","Simpson diversity",4.78,4.815,0.246,4.78,5.297,"ANH_114","TrmpExHum",0.666666666666667
"28","ANH_115_NA","Species richness",3,3.8,1.734,3.06,13.615,"ANH_115","TrmpExHum",0.666666666666667
"29","ANH_115_NA","Shannon diversity",2.586,3.699,1.743,2.586,7.115,"ANH_115","TrmpExHum",0.666666666666667
"30","ANH_115_NA","Simpson diversity",2.273,3.333,1.771,2.273,6.805,"ANH_115","TrmpExHum",0.666666666666667
"31","ANH_115_21","Species richness",11,13.996,4.501,11.356,36.203,"ANH_115","TrmpExHum",0.666666666666667
"32","ANH_115_21","Shannon diversity",2.209,2.229,0.094,2.209,2.413,"ANH_115","TrmpExHum",0.666666666666667
"33","ANH_115_21","Simpson diversity",1.592,1.593,0.052,1.592,1.694,"ANH_115","TrmpExHum",0.666666666666667
"34","ANH_116_21","Species richness",16,17.996,2.641,16.278,30.337,"ANH_116","TrmpExHum",0.666666666666667
"35","ANH_116_21","Shannon diversity",3.027,3.084,0.166,3.027,3.41,"ANH_116","TrmpExHum",0.666666666666667
"36","ANH_116_21","Simpson diversity",1.983,1.987,0.089,1.983,2.161,"ANH_116","TrmpExHum",0.666666666666667
"37","ANH_117_21","Species richness",12,12.167,0.535,12.008,15.531,"ANH_117","TrmpExHum",0.666666666666667
"38","ANH_117_21","Shannon diversity",2.785,2.801,0.086,2.785,2.969,"ANH_117","TrmpExHum",0.666666666666667
"39","ANH_117_21","Simpson diversity",2.303,2.306,0.04,2.303,2.384,"ANH_117","TrmpExHum",0.666666666666667
"40","ANH_118_21","Species richness",12,14.989,4.501,12.354,37.22,"ANH_118","TrmpExHum",0.666666666666667
"41","ANH_118_21","Shannon diversity",5.637,5.799,0.378,5.637,6.539,"ANH_118","TrmpExHum",0.666666666666667
"42","ANH_118_21","Simpson diversity",3.961,4.006,0.298,3.961,4.589,"ANH_118","TrmpExHum",0.666666666666667
"43","ANH_118_NA","Species richness",4,4.219,0.659,4.011,8.301,"ANH_118","TrmpExHum",0.666666666666667
"44","ANH_118_NA","Shannon diversity",3.747,4.729,1.544,3.747,7.755,"ANH_118","TrmpExHum",0.666666666666667
"45","ANH_118_NA","Simpson diversity",3.556,5.6,1.772,3.556,9.073,"ANH_118","TrmpExHum",0.666666666666667
"46","ANH_120_NA","Species richness",10,10.246,0.721,10.013,14.683,"ANH_120","TrmpExHum",0.666666666666667
"47","ANH_120_NA","Shannon diversity",6.793,7.299,0.74,6.793,8.749,"ANH_120","TrmpExHum",0.666666666666667
"48","ANH_120_NA","Simpson diversity",5.136,5.469,0.799,5.136,7.034,"ANH_120","TrmpExHum",0.666666666666667
"49","ANH_120_21","Species richness",12,17.957,7.123,12.94,49.764,"ANH_120","TrmpExHum",0.666666666666667
"50","ANH_120_21","Shannon diversity",7.028,7.496,0.585,7.028,8.642,"ANH_120","TrmpExHum",0.666666666666667
"51","ANH_120_21","Simpson diversity",5.512,5.699,0.567,5.512,6.811,"ANH_120","TrmpExHum",0.666666666666667
"52","ANH_121_21","Species richness",10,11.996,3.735,10.18,32.091,"ANH_121","TrmpExHum",0.666666666666667
"53","ANH_121_21","Shannon diversity",3.296,3.333,0.152,3.296,3.631,"ANH_121","TrmpExHum",0.666666666666667
"54","ANH_121_21","Simpson diversity",2.295,2.3,0.115,2.295,2.526,"ANH_121","TrmpExHum",0.666666666666667
"55","ANH_122_21","Species richness",7,7.495,1.311,7.029,15.37,"ANH_122","TrmpExHum",0.666666666666667
"56","ANH_122_21","Shannon diversity",3.582,3.713,0.379,3.582,4.456,"ANH_122","TrmpExHum",0.666666666666667
"57","ANH_122_21","Simpson diversity",2.593,2.636,0.29,2.593,3.205,"ANH_122","TrmpExHum",0.666666666666667
"58","ANH_123_21","Species richness",17,17,0.421,17,18.037,"ANH_123","TrmpExHum",0.666666666666667
"59","ANH_123_21","Shannon diversity",5.622,5.634,0.112,5.622,5.854,"ANH_123","TrmpExHum",0.666666666666667
"60","ANH_123_21","Simpson diversity",3.776,3.779,0.076,3.776,3.928,"ANH_123","TrmpExHum",0.666666666666667
"61","ANH_125_NA","Species richness",8,9.929,3.618,8.174,29.408,"ANH_125","TrmpExHum",0.666666666666667
"62","ANH_125_NA","Shannon diversity",5.737,6.853,1.369,5.737,9.538,"ANH_125","TrmpExHum",0.666666666666667
"63","ANH_125_NA","Simpson diversity",4.215,4.785,1.228,4.215,7.191,"ANH_125","TrmpExHum",0.666666666666667
