"","Bosque Abierto","Bosque Ripario","Herbazal","Bosque Denso","Pastos","Palma"
"Pseudocanthon perplexus",206,357,657,0,0,0
"Canthon septemmaculatus",219,766,501,3,33,6
"Eurysternus mexicanus",0,271,121,11,31,4
"Onthophagus lebasi",3,176,305,0,9,2
"Canthon juvencus",26,876,160,280,23,6
"Coprophanaeus gamezi",0,56,99,0,0,1
"Coprophanaeus corythus",1,238,3,9,0,0
"Sylvicanthon aequinoctialis",0,1252,0,672,2,0
"Onthophagus sp.01H",284,6797,2316,52,177,76
"Canthidium sp.02H",1,112,5,0,0,0
"Uroxys sp.02H",0,29,65,17,1,8
"Onthophagus marginicollis",85,199,1129,10,1000,14
"Canthon sp.06H",14,92,66,0,0,0
"Canthon sp.10H",3,34,128,1,47,0
"Ateuchus aeneomicans",0,262,0,1,0,1
"Canthidium sp.12H",0,67,0,0,0,2
"Dichotomius agenor",0,2175,398,75,88,22
"Deltochilum guildingii",1,55,45,5,1,0
"Onthophagus acuminatus",0,3,0,12,1,0
"Dichotomius andresi",0,0,0,17,0,0
"Trichillidium pilosum",0,39,0,20,0,0
"Canthon subhyalinus",0,156,1,1326,2,0
"Canthon sp.09H",0,69,0,70,2,0
"Pseudocanthon xanthurus",0,0,21,0,1,0
"Eurysternus foedus",0,26,0,8,0,0
"Phanaeus hermes",0,64,0,0,1,8
"Canthidium sp.10H",0,26,0,0,0,0
"Canthidium sp.05H",0,114,0,0,0,0
"Eurysternus plebejus",0,32,0,8,0,0
"Canthon sp.05H",0,5,15,0,0,0
"Canthon lituratus",0,0,2,0,9,0
"Digitonthophagus gazella",0,0,3,0,7,0
"Dichotomius sp.03H",0,56,219,0,1,14
"Canthidium sp.01H",0,10,81,0,0,0
"Sulcophanaeus steinheili",0,0,1,0,0,0
"Dichotomius reclinatus",0,0,0,1,0,0
"Uroxys sp.05H",0,16,3,15,1,0
"Scatimus ovatus",0,0,0,1,0,0
