"","Kale","Platero","Caracterizacion"
"Pseudocanthon perplexus",725,495,0
"Canthon septemmaculatus",830,642,56
"Eurysternus mexicanus",91,289,58
"Onthophagus lebasi",55,416,24
"Canthon juvencus",513,513,345
"Coprophanaeus gamezi",116,40,0
"Coprophanaeus corythus",42,178,31
"Sylvicanthon aequinoctialis",448,717,761
"Onthophagus sp.01H",3207,5860,635
"Canthidium sp.02H",105,6,7
"Uroxys sp.02H",42,55,23
"Onthophagus marginicollis",260,1154,1023
"Canthon sp.06H",98,74,0
"Canthon sp.10H",36,129,48
"Ateuchus aeneomicans",118,131,15
"Canthidium sp.12H",48,10,11
"Dichotomius agenor",881,1491,386
"Deltochilum guildingii",43,52,12
"Onthophagus acuminatus",0,3,13
"Dichotomius andresi",0,0,17
"Trichillidium pilosum",21,18,20
"Canthon subhyalinus",13,125,1347
"Canthon sp.09H",58,11,72
"Pseudocanthon xanthurus",6,15,1
"Eurysternus foedus",5,8,21
"Phanaeus hermes",16,53,4
"Canthidium sp.10H",0,25,1
"Canthidium sp.05H",26,80,8
"Eurysternus plebejus",0,32,8
"Canthon sp.05H",5,15,0
"Canthon lituratus",1,1,9
"Digitonthophagus gazella",0,3,7
"Dichotomius sp.03H",20,265,5
"Canthidium sp.01H",10,81,0
"Sulcophanaeus steinheili",0,1,0
"Dichotomius reclinatus",0,0,1
"Uroxys sp.05H",1,3,31
"Scatimus ovatus",0,0,1
