"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Herbazal","Species richness",23,26.999,5.29,23.557,51.714,4703,23,0.9991
"2","Herbazal","Shannon diversity",6.474,6.493,0.118,6.474,6.723,4703,23,0.9991
"3","Herbazal","Simpson diversity",4.073,4.076,0.081,4.073,4.235,4703,23,0.9991
"4","Bosque Denso","Species richness",21,30.995,10.301,22.886,73.959,2159,21,0.9977
"5","Bosque Denso","Shannon diversity",3.978,4.006,0.114,3.978,4.23,2159,21,0.9977
"6","Bosque Denso","Simpson diversity",2.465,2.466,0.063,2.465,2.59,2159,21,0.9977
"7","Bosque Ripario","Species richness",31,31,0.407,31,31.989,9710,31,1
"8","Bosque Ripario","Shannon diversity",6.015,6.024,0.101,6.015,6.222,9710,31,1
"9","Bosque Ripario","Simpson diversity",3.098,3.099,0.045,3.098,3.187,9710,31,1
"10","Pastos","Species richness",15,15.666,1.304,15.057,22.797,854,15,0.9977
"11","Pastos","Shannon diversity",3.379,3.41,0.163,3.379,3.73,854,15,0.9977
"12","Pastos","Simpson diversity",2.17,2.173,0.086,2.17,2.342,854,15,0.9977
"13","Bosque Abierto","Species richness",10,14.493,7.183,10.494,50.858,655,10,0.9954
"14","Bosque Abierto","Shannon diversity",4.062,4.106,0.124,4.062,4.35,655,10,0.9954
"15","Bosque Abierto","Simpson diversity",3.495,3.509,0.113,3.495,3.73,655,10,0.9954
