"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",23,32.333,9.051,24.892,69.035,8,84,23,0.914,8,3,2,1,2,2,2,3,0,0
"2","Bosque Abierto","Shannon diversity",17.651,20.478,1.95,17.651,24.301,8,84,23,0.914,8,3,2,1,2,2,2,3,0,0
"3","Bosque Abierto","Simpson diversity",15.142,16.095,1.268,15.142,18.58,8,84,23,0.914,8,3,2,1,2,2,2,3,0,0
"4","Bosque Denso","Species richness",31,31.641,1.265,31.054,38.577,26,279,31,0.9936,2,3,6,0,2,2,1,0,4,0
"5","Bosque Denso","Shannon diversity",22.89,23.829,0.752,22.89,25.303,26,279,31,0.9936,2,3,6,0,2,2,1,0,4,0
"6","Bosque Denso","Simpson diversity",18.926,19.49,0.768,18.926,20.996,26,279,31,0.9936,2,3,6,0,2,2,1,0,4,0
"7","Bosque Ripario","Species richness",21,23.273,2.193,21.464,32.143,2,32,21,0.9023,10,11,0,0,0,0,0,0,0,0
"8","Bosque Ripario","Shannon diversity",19.87,23.273,1.738,19.87,26.679,2,32,21,0.9023,10,11,0,0,0,0,0,0,0,0
"9","Bosque Ripario","Simpson diversity",18.963,23.045,1.821,19.476,26.615,2,32,21,0.9023,10,11,0,0,0,0,0,0,0,0
"10","Herbazal","Species richness",10,10,0,NA,NA,1,10,10,1,10,0,0,0,0,0,0,0,0,0
"11","Herbazal","Shannon diversity",10,0,0,10,0,1,10,10,1,10,0,0,0,0,0,0,0,0,0
"12","Herbazal","Simpson diversity",10,10,0,10,10,1,10,10,1,10,0,0,0,0,0,0,0,0,0
"13","Pastos","Species richness",15,17.286,2.376,15.427,27.234,2,22,15,0.8678,8,7,0,0,0,0,0,0,0,0
"14","Pastos","Shannon diversity",14.153,17.286,1.834,14.153,20.879,2,22,15,0.8678,8,7,0,0,0,0,0,0,0,0
"15","Pastos","Simpson diversity",13.444,17,1.6,13.864,20.136,2,22,15,0.8678,8,7,0,0,0,0,0,0,0,0
