"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_108_21","Species richness",9,11.993,4.47,9.358,33.992,"ANH_108","TrmpExHum",1
"2","ANH_108_21","Shannon diversity",1.692,1.716,0.101,1.692,1.913,"ANH_108","TrmpExHum",1
"3","ANH_108_21","Simpson diversity",1.256,1.257,0.042,1.256,1.339,"ANH_108","TrmpExHum",1
"4","ANH_109_21","Species richness",9,16.976,11.627,9.984,73.628,"ANH_109","TrmpExHum",1
"5","ANH_109_21","Shannon diversity",3.145,3.223,0.173,3.145,3.563,"ANH_109","TrmpExHum",1
"6","ANH_109_21","Simpson diversity",2.624,2.637,0.101,2.624,2.834,"ANH_109","TrmpExHum",1
"7","ANH_110_21","Species richness",19,28.994,10.283,20.89,71.849,"ANH_110","TrmpExHum",1
"8","ANH_110_21","Shannon diversity",4.462,4.5,0.142,4.462,4.779,"ANH_110","TrmpExHum",1
"9","ANH_110_21","Simpson diversity",3.127,3.131,0.073,3.127,3.274,"ANH_110","TrmpExHum",1
"10","ANH_112_21","Species richness",12,12.656,1.288,12.056,19.709,"ANH_112","TrmpExHum",1
"11","ANH_112_21","Shannon diversity",8.958,9.93,0.938,8.958,11.769,"ANH_112","TrmpExHum",1
"12","ANH_112_21","Simpson diversity",7.537,8.442,1.049,7.537,10.498,"ANH_112","TrmpExHum",1
"13","ANH_113_21","Species richness",10,10.663,1.299,10.057,17.772,"ANH_113","TrmpExHum",1
"14","ANH_113_21","Shannon diversity",2.813,2.897,0.284,2.813,3.454,"ANH_113","TrmpExHum",1
"15","ANH_113_21","Simpson diversity",1.797,1.805,0.145,1.797,2.088,"ANH_113","TrmpExHum",1
"16","ANH_114_NA","Species richness",10,14.445,7.11,10.489,50.445,"ANH_114","TrmpExHum",1
"17","ANH_114_NA","Shannon diversity",5.557,6.064,0.707,5.557,7.449,"ANH_114","TrmpExHum",1
"18","ANH_114_NA","Simpson diversity",4.361,4.549,0.481,4.361,5.492,"ANH_114","TrmpExHum",1
"19","ANH_114_21","Species richness",11,11,0.572,11,12.543,"ANH_114","TrmpExHum",1
"20","ANH_114_21","Shannon diversity",5.222,5.313,0.315,5.222,5.931,"ANH_114","TrmpExHum",1
"21","ANH_114_21","Simpson diversity",3.636,3.669,0.252,3.636,4.162,"ANH_114","TrmpExHum",1
"22","ANH_115_21","Species richness",11,16.992,7.149,11.948,48.879,"ANH_115","TrmpExHum",1
"23","ANH_115_21","Shannon diversity",2.192,2.217,0.096,2.192,2.406,"ANH_115","TrmpExHum",1
"24","ANH_115_21","Simpson diversity",1.604,1.606,0.054,1.604,1.712,"ANH_115","TrmpExHum",1
"25","ANH_116_21","Species richness",13,16.992,5.281,13.556,41.665,"ANH_116","TrmpExHum",1
"26","ANH_116_21","Shannon diversity",2.707,2.757,0.155,2.707,3.06,"ANH_116","TrmpExHum",1
"27","ANH_116_21","Simpson diversity",1.894,1.898,0.082,1.894,2.058,"ANH_116","TrmpExHum",1
"28","ANH_117_21","Species richness",8,20.44,17.059,9.657,101.397,"ANH_117","TrmpExHum",1
"29","ANH_117_21","Shannon diversity",1.547,1.616,0.138,1.547,1.887,"ANH_117","TrmpExHum",1
"30","ANH_117_21","Simpson diversity",1.217,1.218,0.049,1.217,1.313,"ANH_117","TrmpExHum",1
"31","ANH_118_21","Species richness",11,11.995,2.262,11.071,24.997,"ANH_118","TrmpExHum",1
"32","ANH_118_21","Shannon diversity",6.261,6.459,0.401,6.261,7.246,"ANH_118","TrmpExHum",1
"33","ANH_118_21","Simpson diversity",4.763,4.859,0.414,4.763,5.67,"ANH_118","TrmpExHum",1
"34","ANH_118_NA","Species richness",4,4.219,0.659,4.011,8.301,"ANH_118","TrmpExHum",1
"35","ANH_118_NA","Shannon diversity",3.747,4.729,1.622,3.747,7.907,"ANH_118","TrmpExHum",1
"36","ANH_118_NA","Simpson diversity",3.556,5.6,1.655,3.556,8.843,"ANH_118","TrmpExHum",1
"37","ANH_120_NA","Species richness",10,10.164,0.53,10.008,13.494,"ANH_120","TrmpExHum",1
