"","Kale","Caracterizacion","Platero"
"Dichotomius agenor",507,350,1216
"Coprophanaeus gamezi",99,0,20
"Deltochilum guildingii",34,6,24
"Canthon juvencus",227,210,244
"Canthon septemmaculatus",703,18,131
"Onthophagus sp.01H",2300,440,4916
"Onthophagus acuminatus",0,11,3
"Sylvicanthon aequinoctialis",58,432,148
"Dichotomius andresi",0,13,0
"Trichillidium pilosum",16,20,5
"Canthon subhyalinus",7,1320,103
"Canthon sp.09H",55,72,11
"Uroxys sp.02H",29,18,17
"Coprophanaeus corythus",15,21,106
"Eurysternus mexicanus",81,43,238
"Pseudocanthon xanthurus",3,1,4
"Onthophagus marginicollis",173,572,951
"Pseudocanthon perplexus",523,0,375
"Canthon sp.10H",21,9,84
"Onthophagus lebasi",44,23,361
"Eurysternus foedus",3,19,4
"Phanaeus hermes",6,1,33
"Canthidium sp.10H",0,1,6
"Eurysternus plebejus",0,3,11
"Ateuchus aeneomicans",93,10,97
"Canthon lituratus",1,3,0
"Digitonthophagus gazella",0,6,0
"Dichotomius sp.03H",5,1,40
"Canthidium sp.01H",10,0,26
"Canthidium sp.02H",75,0,1
"Canthon sp.06H",52,0,23
"Canthidium sp.05H",9,0,44
"Sulcophanaeus steinheili",0,0,1
"Canthidium sp.12H",26,0,1
"Canthon sp.05H",2,0,15
"Dichotomius reclinatus",0,1,0
"Uroxys sp.05H",1,18,2
