"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",7,7,0,NA,NA,1,7,7,1,7,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",7,0,0,7,0,1,7,7,1,7,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",7,7,0,7,7,1,7,7,1,7,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",17,18.778,1.926,17.316,26.998,2,26,17,0.9053,8,9,0,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",16.09,18.778,1.722,16.09,22.154,2,26,17,0.9053,8,9,0,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",15.364,18.556,1.765,15.364,22.015,2,26,17,0.9053,8,9,0,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",28,28.641,1.265,28.054,35.577,26,262,28,0.9932,2,3,1,1,3,3,1,1,1,1
"8","Bosque Ripario","Shannon diversity",21.716,22.557,0.724,21.716,23.975,26,262,28,0.9932,2,3,1,1,3,3,1,1,1,1
"9","Bosque Ripario","Simpson diversity",18.552,19.164,0.708,18.552,20.55,26,262,28,0.9932,2,3,1,1,3,3,1,1,1,1
"10","Herbazal","Species richness",21,28,7.165,22.332,57.787,7,58,21,0.8944,7,3,5,1,4,1,0,0,0,0
"11","Herbazal","Shannon diversity",17.614,21.454,2.265,17.614,25.893,7,58,21,0.8944,7,3,5,1,4,1,0,0,0,0
"12","Herbazal","Simpson diversity",15.574,18.078,1.804,15.574,21.613,7,58,21,0.8944,7,3,5,1,4,1,0,0,0,0
"13","Palma","Species richness",13,13,0,NA,NA,1,13,13,1,13,0,0,0,0,0,0,0,0,0
"14","Palma","Shannon diversity",13,0,0,13,0,1,13,13,1,13,0,0,0,0,0,0,0,0,0
"15","Palma","Simpson diversity",13,13,0,13,13,1,13,13,1,13,0,0,0,0,0,0,0,0,0
"16","Pastos limpios","Species richness",14,20.25,5.625,15.381,42.284,2,18,14,0.6914,10,4,0,0,0,0,0,0,0,0
"17","Pastos limpios","Shannon diversity",13.228,20.25,2.929,14.508,25.992,2,18,14,0.6914,10,4,0,0,0,0,0,0,0,0
"18","Pastos limpios","Simpson diversity",12.462,19.625,2.823,14.091,25.159,2,18,14,0.6914,10,4,0,0,0,0,0,0,0,0
