"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Bosque Abierto","Species richness",7,7.995,2.225,7.072,20.72,188,7,0.9895
"2","Bosque Abierto","Shannon diversity",3.734,3.812,0.248,3.734,4.299,188,7,0.9895
"3","Bosque Abierto","Simpson diversity",2.824,2.852,0.247,2.824,3.335,188,7,0.9895
"4","Bosque Ripario","Species richness",28,28,0.312,28,28.715,4720,28,1
"5","Bosque Ripario","Shannon diversity",8.751,8.776,0.168,8.751,9.106,4720,28,1
"6","Bosque Ripario","Simpson diversity",5.302,5.306,0.11,5.302,5.523,4720,28,1
"7","Herbazal","Species richness",21,23.998,4.57,21.35,46.683,1641,21,0.9982
"8","Herbazal","Shannon diversity",9.655,9.727,0.218,9.655,10.153,1641,21,0.9982
"9","Herbazal","Simpson diversity",7.55,7.58,0.184,7.55,7.941,1641,21,0.9982
"10","Bosque Denso","Species richness",17,18.596,2.158,17.217,28.771,455,17,0.9913
"11","Bosque Denso","Shannon diversity",3.411,3.485,0.226,3.411,3.928,455,17,0.9913
"12","Bosque Denso","Simpson diversity",2.256,2.262,0.116,2.256,2.489,455,17,0.9913
"13","Pastos limpios","Species richness",14,28.974,13.591,17.277,82.419,583,14,0.9897
"14","Pastos limpios","Shannon diversity",2.712,2.775,0.178,2.712,3.124,583,14,0.9897
"15","Pastos limpios","Simpson diversity",1.697,1.699,0.079,1.697,1.854,583,14,0.9897
"16","Palma","Species richness",13,13.994,1.861,13.09,24.009,164,13,0.988
"17","Palma","Shannon diversity",6.316,6.593,0.576,6.316,7.722,164,13,0.988
"18","Palma","Simpson diversity",3.91,3.982,0.443,3.91,4.849,164,13,0.988
