"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",6,6,0,NA,NA,1,6,6,1,6,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",6,0,0,6,0,1,6,6,1,6,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",6,6,0,6,6,1,6,6,1,6,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",20,26.48,5.791,21.443,49.093,5,40,20,0.8239,9,5,3,3,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",17.331,22.998,2.92,17.331,28.722,5,40,20,0.8239,9,5,3,3,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",15.385,19.7,2.142,15.501,23.899,5,40,20,0.8239,9,5,3,3,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",28,31.833,5.087,28.532,55.629,24,241,28,0.9841,4,2,2,1,3,2,2,0,0,0
"8","Bosque Ripario","Shannon diversity",20.931,21.992,0.973,20.931,23.9,24,241,28,0.9841,4,2,2,1,3,2,2,0,0,0
"9","Bosque Ripario","Simpson diversity",17.866,18.457,0.734,17.866,19.896,24,241,28,0.9841,4,2,2,1,3,2,2,0,0,0
"10","Cultivos","Species richness",20,21.837,2.026,20.32,30.555,4,36,20,0.9004,7,10,3,0,0,0,0,0,0,0
"11","Cultivos","Shannon diversity",18.612,23.172,2.607,18.612,28.282,4,36,20,0.9004,7,10,3,0,0,0,0,0,0,0
"12","Cultivos","Simpson diversity",17.514,25.118,2.421,20.373,29.864,4,36,20,0.9004,7,10,3,0,0,0,0,0,0,0
"13","Herbazal","Species richness",7,7,0,NA,NA,1,7,7,1,7,0,0,0,0,0,0,0,0,0
"14","Herbazal","Shannon diversity",7,0,0,7,0,1,7,7,1,7,0,0,0,0,0,0,0,0,0
"15","Herbazal","Simpson diversity",7,7,0,7,7,1,7,7,1,7,0,0,0,0,0,0,0,0,0
"16","Palma","Species richness",15,24.375,8.155,17.153,55.822,4,21,15,0.6241,10,4,1,0,0,0,0,0,0,0
"17","Palma","Shannon diversity",13.784,24.044,7.598,13.784,38.935,4,21,15,0.6241,10,4,1,0,0,0,0,0,0,0
"18","Palma","Simpson diversity",12.6,22.75,4.305,14.313,31.187,4,21,15,0.6241,10,4,1,0,0,0,0,0,0,0
"19","Pastos","Species richness",26,27.674,2.078,26.252,37.108,16,104,26,0.9595,5,7,3,2,2,2,2,1,0,1
"20","Pastos","Shannon diversity",19.872,22.291,1.442,19.872,25.117,16,104,26,0.9595,5,7,3,2,2,2,2,1,0,1
"21","Pastos","Simpson diversity",16.095,17.743,1.402,16.095,20.49,16,104,26,0.9595,5,7,3,2,2,2,2,1,0,1
"22","Rios","Species richness",1,1,0.312,1,2.549,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"23","Rios","Shannon diversity",1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"24","Rios","Simpson diversity",1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"25","Vegetacion Secundaria","Species richness",23,41,13.008,28.053,87.125,5,34,23,0.6218,15,5,3,0,0,0,0,0,0,0
"26","Vegetacion Secundaria","Shannon diversity",20.732,37.22,13.047,20.732,62.793,5,34,23,0.6218,15,5,3,0,0,0,0,0,0,0
"27","Vegetacion Secundaria","Simpson diversity",18.645,32.257,6.549,19.421,45.093,5,34,23,0.6218,15,5,3,0,0,0,0,0,0,0
"28","Vias","Species richness",11,11,0,NA,NA,1,11,11,1,11,0,0,0,0,0,0,0,0,0
"29","Vias","Shannon diversity",11,0,0,11,0,1,11,11,1,11,0,0,0,0,0,0,0,0,0
"30","Vias","Simpson diversity",11,11,0,11,11,1,11,11,1,11,0,0,0,0,0,0,0,0,0
