"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_2___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Species richness",4,4.947,2.064,4.071,16.651,"ANH_108","TrmpExHum",0.5
"2","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_2___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Shannon diversity",2.285,2.59,0.538,2.285,3.644,"ANH_108","TrmpExHum",0.5
"3","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_2___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Simpson diversity",1.744,1.819,0.393,1.744,2.59,"ANH_108","TrmpExHum",0.5
"4","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_3___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Species richness",3,3,0.39,3,4.011,"ANH_108","TrmpExHum",0.5
"5","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_3___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Shannon diversity",2.44,2.634,0.452,2.44,3.519,"ANH_108","TrmpExHum",0.5
"6","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_3___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Simpson diversity",2.085,2.275,0.547,2.085,3.346,"ANH_108","TrmpExHum",0.5
"7","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_4___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Species richness",6,13.5,10.954,6.923,66.916,"ANH_108","TrmpExHum",0.5
"8","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_4___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Shannon diversity",3.479,5.206,2.289,3.479,9.693,"ANH_108","TrmpExHum",0.5
"9","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_4___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Simpson diversity",2.37,2.609,1.262,2.37,5.082,"ANH_108","TrmpExHum",0.5
"10","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_1___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Species richness",2,2,0.082,2,2.167,"ANH_108","TrmpExHum",0.5
"11","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_1___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Shannon diversity",1.89,1.956,0.172,1.89,2.293,"ANH_108","TrmpExHum",0.5
"12","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_1___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Simpson diversity",1.8,1.909,0.26,1.8,2.419,"ANH_108","TrmpExHum",0.5
"13","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_5___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Species richness",3,5,2.921,3.246,19.244,"ANH_108","TrmpExHum",0.5
"14","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_5___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Shannon diversity",3,7.184,2.487,3,12.058,"ANH_108","TrmpExHum",0.5
"15","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_5___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Simpson diversity",3,3,0.574,3,4.125,"ANH_108","TrmpExHum",0.5
"16","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_6___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Species richness",5,6.895,3.559,5.17,26.067,"ANH_108","TrmpExHum",0.5
"17","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_6___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Shannon diversity",3.292,3.932,1.019,3.292,5.929,"ANH_108","TrmpExHum",0.5
"18","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_6___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Simpson diversity",2.524,2.758,0.804,2.524,4.334,"ANH_108","TrmpExHum",0.5
"19","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_7___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Species richness",1,1,0.2,1,1.464,"ANH_108","TrmpExHum",0.5
"20","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_7___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Shannon diversity",1,1,0,1,1,"ANH_108","TrmpExHum",0.5
"21","_A_N_H___1_0_8___T_._ _E_x_c_._ _H_u_m_a_n_7___2_0_2_1___0_7___1_3_/_2_0_2_1___0_7___1_5_","Simpson diversity",1,1,0,1,1,"ANH_108","TrmpExHum",0.5
"22","_A_N_H___1_0_9___T_._ _E_x_c_._ _H_u_m_a_n_1___2_0_2_1___0_7___1_5_/_2_0_2_1___0_7___1_7_","Species richness",2,2,0.471,2,3.583,"ANH_109","TrmpExHum",0.5
"23","_A_N_H___1_0_9___T_._ _E_x_c_._ _H_u_m_a_n_1___2_0_2_1___0_7___1_5_/_2_0_2_1___0_7___1_7_","Shannon diversity",1.312,1.371,0.276,1.312,1.912,"ANH_109","TrmpExHum",0.5
"24","_A_N_H___1_0_9___T_._ _E_x_c_._ _H_u_m_a_n_1___2_0_2_1___0_7___1_5_/_2_0_2_1___0_7___1_7_","Simpson diversity",1.166,1.166,0.225,1.166,1.607,"ANH_109","TrmpExHum",0.5
