"","Bosque Abierto","Bosque Ripario","Herbazal","Bosque Denso","Pastos limpios","Palma"
"Pseudocanthon perplexus",40,136,146,0,0,0
"Canthon septemmaculatus",101,181,363,2,23,6
"Eurysternus mexicanus",0,53,7,2,10,4
"Onthophagus lebasi",0,56,9,0,0,2
"Canthon juvencus",20,485,66,107,6,6
"Coprophanaeus gamezi",0,22,14,0,0,1
"Coprophanaeus corythus",0,107,1,1,0,0
"Sylvicanthon aequinoctialis",0,1006,0,282,0,0
"Onthophagus sp.01H",12,1616,299,2,41,76
"Canthidium sp.02H",0,38,4,0,0,0
"Uroxys sp.02H",0,15,30,3,0,8
"Onthophagus marginicollis",0,99,183,2,443,14
"Canthon sp.06H",13,70,14,0,0,0
"Canthon sp.10H",1,10,49,0,39,0
"Ateuchus aeneomicans",0,63,0,0,0,1
"Canthidium sp.12H",0,40,0,0,0,2
"Deltochilum guildingii",1,23,14,4,1,0
"Dichotomius agenor",0,495,158,1,9,22
"Canthidium sp.05H",0,61,0,0,0,0
"Eurysternus foedus",0,6,0,2,0,0
"Trichillidium pilosum",0,18,0,0,0,0
"Canthon subhyalinus",0,31,0,24,0,0
"Eurysternus plebejus",0,21,0,5,0,0
"Canthon sp.05H",0,3,0,0,0,0
"Dichotomius andresi",0,0,0,4,0,0
"Phanaeus hermes",0,24,0,0,1,8
"Pseudocanthon xanthurus",0,0,14,0,0,0
"Dichotomius sp.03H",0,19,210,0,1,14
"Canthon lituratus",0,0,1,0,6,0
"Uroxys sp.05H",0,0,1,12,1,0
"Canthidium sp.10H",0,19,0,0,0,0
"Scatimus ovatus",0,0,0,1,0,0
"Onthophagus acuminatus",0,0,0,1,1,0
"Digitonthophagus gazella",0,0,3,0,1,0
"Canthon sp.09H",0,3,0,0,0,0
"Canthidium sp.01H",0,0,55,0,0,0
