"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Herbazal","Species richness",3,3,0.486,3,4.538,14,3,1
"2","Herbazal","Shannon diversity",2.294,2.482,0.423,2.294,3.312,14,3,1
"3","Herbazal","Simpson diversity",2,2.167,0.453,2,3.055,14,3,1
"4","Pastos limpios","Species richness",2,2.333,0.943,2.018,8.09,3,2,0.8333
"5","Pastos limpios","Shannon diversity",1.89,2.52,1.752,1.89,5.953,3,2,0.8333
"6","Pastos limpios","Simpson diversity",1.8,3,0.9,1.8,4.764,3,2,0.8333
"7","Bosque Ripario","Species richness",4,4,0.398,4,5.013,30,4,1
"8","Bosque Ripario","Shannon diversity",3.026,3.19,0.384,3.026,3.942,30,4,1
"9","Bosque Ripario","Simpson diversity",2.571,2.719,0.396,2.571,3.495,30,4,1
"10","Palma","Species richness",3,3,0.506,3,4.639,11,3,1
"11","Palma","Shannon diversity",2.363,2.614,0.463,2.363,3.522,11,3,1
"12","Palma","Simpson diversity",2.051,2.292,0.616,2.051,3.499,11,3,1
