"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","_A_N_H___1_1_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_6_","Species richness",2,2.5,1.107,2.037,8.808,"ANH_117","CapManual",0.2
"2","_A_N_H___1_1_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_6_","Shannon diversity",2,3.375,1.136,2,5.601,"ANH_117","CapManual",0.2
"3","_A_N_H___1_1_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_6_","Simpson diversity",2,2,0.485,2,2.951,"ANH_117","CapManual",0.2
"4","_A_N_H___1_2_0___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___1_8_","Species richness",1,1,0.08,1,1.165,"ANH_120","CapManual",0.8
"5","_A_N_H___1_2_0___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___1_8_","Shannon diversity",1,1,0,1,1,"ANH_120","CapManual",0.8
"6","_A_N_H___1_2_0___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___1_8_","Simpson diversity",1,1,0,1,1,"ANH_120","CapManual",0.8
"7","_A_N_H___1_2_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___1_6_","Species richness",1,1,0.312,1,2.549,"ANH_122","CapManual",0.8
"8","_A_N_H___1_2_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___1_6_","Shannon diversity",1,0,0,1,0,"ANH_122","CapManual",0.8
"9","_A_N_H___1_2_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___1_6_","Simpson diversity",1,NA,0,NA,NA,"ANH_122","CapManual",0.8
"10","_A_N_H___1_2_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_2_","Species richness",2,2.5,1.107,2.037,8.808,"ANH_123","CapManual",0.8
"11","_A_N_H___1_2_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_2_","Shannon diversity",2,3.375,1.111,2,5.552,"ANH_123","CapManual",0.8
"12","_A_N_H___1_2_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_2_","Simpson diversity",2,2,0.45,2,2.882,"ANH_123","CapManual",0.8
"13","_A_N_H___1_2_5___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___1_3_","Species richness",1,1,0.284,1,1.799,"ANH_125","CapManual",0.8
"14","_A_N_H___1_2_5___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___1_3_","Shannon diversity",1,1,0,1,1,"ANH_125","CapManual",0.8
"15","_A_N_H___1_2_5___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___1_3_","Simpson diversity",1,1,0,1,1,"ANH_125","CapManual",0.8
"16","_A_N_H___1_2_5___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___1_3_","Species richness",2,2.5,1.107,2.037,8.808,"ANH_125","CapManual",0.8
"17","_A_N_H___1_2_5___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___1_3_","Shannon diversity",2,3.375,1.143,2,5.615,"ANH_125","CapManual",0.8
"18","_A_N_H___1_2_5___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___1_3_","Simpson diversity",2,2,0.485,2,2.951,"ANH_125","CapManual",0.8
"19","_A_N_H___1_3_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_5_","Species richness",1,1,0.284,1,1.799,"ANH_133","CapManual",0.2
