"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","LVBe3","Species richness",2,2,0,NA,NA,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"2","LVBe3","Shannon diversity",2,0,0,2,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"3","LVBe3","Simpson diversity",2,2,0,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"4","PVAa","Species richness",5,5.143,0.481,5.006,8.192,7,12,5,0.9583,1,3,0,0,1,0,0,0,0,0
"5","PVAa","Shannon diversity",4.339,5.112,1.237,4.339,7.536,7,12,5,0.9583,1,3,0,0,1,0,0,0,0,0
"6","PVAa","Simpson diversity",3.789,4.495,1.077,3.789,6.606,7,12,5,0.9583,1,3,0,0,1,0,0,0,0,0
"7","PVAb2","Species richness",1,1,0.312,1,2.549,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"8","PVAb2","Shannon diversity",1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"9","PVAb2","Simpson diversity",1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"10","PVCb2","Species richness",2,2,0,NA,NA,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"11","PVCb2","Shannon diversity",2,0,0,2,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"12","PVCb2","Simpson diversity",2,2,0,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"13","PVFa","Species richness",2,2,0,NA,NA,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"14","PVFa","Shannon diversity",2,0,0,2,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"15","PVFa","Simpson diversity",2,2,0,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"16","RVAa","Species richness",2,2,0,NA,NA,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"17","RVAa","Shannon diversity",2,0,0,2,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"18","RVAa","Simpson diversity",2,2,0,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"19","RVCa","Species richness",2,2,0,NA,NA,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"20","RVCa","Shannon diversity",2,0,0,2,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"21","RVCa","Simpson diversity",2,2,0,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0
