"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","PVAa","Species richness",5,5,0.305,5,5.711,43,5,1
"2","PVAa","Shannon diversity",4.086,4.288,0.376,4.086,5.025,43,5,1
"3","PVAa","Simpson diversity",3.59,3.826,0.44,3.59,4.689,43,5,1
"4","LVBe3","Species richness",2,2.333,0.943,2.018,8.09,3,2,0.8333
"5","LVBe3","Shannon diversity",1.89,2.52,1.892,1.89,6.228,3,2,0.8333
"6","LVBe3","Simpson diversity",1.8,3,0.856,1.8,4.678,3,2,0.8333
"7","PVAb2","Species richness",1,1,0.312,1,2.549,1,1,1
"8","PVAb2","Shannon diversity",1,0,0,1,0,1,1,1
"9","PVAb2","Simpson diversity",1,1,0,1,1,1,1,1
"10","PVCb2","Species richness",2,2.5,1.107,2.037,8.808,2,2,0.6667
"11","PVCb2","Shannon diversity",2,3.375,1.146,2,5.622,2,2,0.6667
"12","PVCb2","Simpson diversity",2,2,0.468,2,2.917,2,2,0.6667
"13","RVCa","Species richness",2,2,0.461,2,3.671,4,2,1
"14","RVCa","Shannon diversity",1.755,2.031,0.541,1.755,3.091,4,2,1
"15","RVCa","Simpson diversity",1.6,2,0.723,1.6,3.417,4,2,1
"16","PVFa","Species richness",2,2.333,0.943,2.018,8.09,3,2,0.8333
"17","PVFa","Shannon diversity",1.89,2.52,1.951,1.89,6.344,3,2,0.8333
"18","PVFa","Simpson diversity",1.8,3,0.915,1.8,4.793,3,2,0.8333
"19","RVAa","Species richness",2,2.5,1.107,2.037,8.808,2,2,0.6667
"20","RVAa","Shannon diversity",2,3.375,1.12,2,5.569,2,2,0.6667
"21","RVAa","Simpson diversity",2,2,0.455,2,2.892,2,2,0.6667
