"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Area Urbana","Species richness",4,4.75,1.468,4.064,12.78,4,6,4,0.8,2,2,0,0,0,0,0,0,0,0
"2","Area Urbana","Shannon diversity",3.78,5.319,2.213,3.78,9.656,4,6,4,0.8,2,2,0,0,0,0,0,0,0,0
"3","Area Urbana","Simpson diversity",3.6,5.875,1.893,3.6,9.584,4,6,4,0.8,2,2,0,0,0,0,0,0,0,0
"4","Bosque Ripario","Species richness",4,4,0.485,4,5.491,10,17,4,1,1,0,0,1,1,0,1,0,0,0
"5","Bosque Ripario","Shannon diversity",3.429,3.694,0.422,3.429,4.521,10,17,4,1,1,0,0,1,1,0,1,0,0,0
"6","Bosque Ripario","Simpson diversity",3.176,3.408,0.423,3.176,4.237,10,17,4,1,1,0,0,1,1,0,1,0,0,0
"7","Herbazal","Species richness",4,7,3.601,4.471,23.104,2,4,4,0.4,4,0,0,0,0,0,0,0,0,0
"8","Herbazal","Shannon diversity",4,9.21,3.195,4,15.472,2,4,4,0.4,4,0,0,0,0,0,0,0,0,0
"9","Herbazal","Simpson diversity",4,4,2.015,4,7.948,2,4,4,0.4,4,0,0,0,0,0,0,0,0,0
"10","Palma","Species richness",2,2,0,NA,NA,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"11","Palma","Shannon diversity",2,0,0,2,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"12","Palma","Simpson diversity",2,2,0,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"13","Pastos","Species richness",2,2,0,NA,NA,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"14","Pastos","Shannon diversity",2,0,0,2,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"15","Pastos","Simpson diversity",2,2,0,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0
