"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","_A_N_H___1_1_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_2___0_3___3_0_","Species richness",1,1,0.312,1,2.549,"ANH_112","CapManual",0.888888888888889
"2","_A_N_H___1_1_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_2___0_3___3_0_","Shannon diversity",1,0,0,1,0,"ANH_112","CapManual",0.888888888888889
"3","_A_N_H___1_1_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_2___0_3___3_0_","Simpson diversity",1,1,0,1,1,"ANH_112","CapManual",0.888888888888889
"4","_A_N_H___1_1_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_2___0_3___3_0_","Species richness",1,1,0.312,1,2.549,"ANH_112","CapManual",0.888888888888889
"5","_A_N_H___1_1_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_2___0_3___3_0_","Shannon diversity",1,0,0,1,0,"ANH_112","CapManual",0.888888888888889
"6","_A_N_H___1_1_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_2___0_3___3_0_","Simpson diversity",1,1,0,1,1,"ANH_112","CapManual",0.888888888888889
"7","_A_N_H___1_1_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_6_","Species richness",2,2.5,1.107,2.037,8.808,"ANH_117","CapManual",0.555555555555556
"8","_A_N_H___1_1_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_6_","Shannon diversity",2,3.375,1.106,2,5.543,"ANH_117","CapManual",0.555555555555556
"9","_A_N_H___1_1_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_6_","Simpson diversity",2,2,0.47,2,2.92,"ANH_117","CapManual",0.555555555555556
"10","_A_N_H___1_2_0___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___1_8_","Species richness",1,1,0.08,1,1.165,"ANH_120","CapManual",0.888888888888889
"11","_A_N_H___1_2_0___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___1_8_","Shannon diversity",1,1,0,1,1,"ANH_120","CapManual",0.888888888888889
"12","_A_N_H___1_2_0___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___1_8_","Simpson diversity",1,1,0,1,1,"ANH_120","CapManual",0.888888888888889
"13","_A_N_H___1_2_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___1_6_","Species richness",1,1,0.312,1,2.549,"ANH_122","CapManual",0.888888888888889
"14","_A_N_H___1_2_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___1_6_","Shannon diversity",1,0,0,1,0,"ANH_122","CapManual",0.888888888888889
"15","_A_N_H___1_2_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___1_6_","Simpson diversity",1,NA,0,NA,NA,"ANH_122","CapManual",0.888888888888889
"16","_A_N_H___1_2_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_2_","Species richness",2,2.5,1.107,2.037,8.808,"ANH_123","CapManual",0.888888888888889
"17","_A_N_H___1_2_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_2_","Shannon diversity",2,3.375,1.139,2,5.608,"ANH_123","CapManual",0.888888888888889
"18","_A_N_H___1_2_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_2_","Simpson diversity",2,2,0.47,2,2.92,"ANH_123","CapManual",0.888888888888889
"19","_A_N_H___1_2_5___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___1_3_","Species richness",1,1,0.284,1,1.799,"ANH_125","CapManual",0.888888888888889
"20","_A_N_H___1_2_5___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___1_3_","Shannon diversity",1,1,0,1,1,"ANH_125","CapManual",0.888888888888889
"21","_A_N_H___1_2_5___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___1_3_","Simpson diversity",1,1,0,1,1,"ANH_125","CapManual",0.888888888888889
