"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","CapManual","Bosque Ripario_21","Ceraspis sp.NA",TRUE,1,23,48.9,NA,NA,48.9,1.4,20
"2","CapManual","Bosque Ripario_21","Plectris sp.NA",TRUE,2,15,31.9,NA,NA,80.9,1.2,40
"3","CapManual","Bosque Ripario_21","Aegidinus candezei",TRUE,3,3,6.4,NA,NA,87.2,0.5,60
"4","CapManual","Bosque Ripario_21","Barybas sp.NA",FALSE,4,3,6.4,NA,NA,93.6,0.5,80
"5","CapManual","Bosque Ripario_21","Phyllophaga sp.NA",FALSE,5,3,6.4,NA,NA,100,0.5,100
"6","CapManual","Bosque Ripario_NA","Aegidinus candezei",TRUE,1,3,100,NA,NA,100,0.5,100
"7","CapManual","Herbazal_21","Cyclocephala sp.NA",TRUE,1,9,52.9,NA,NA,52.9,1,25
"8","CapManual","Herbazal_21","Plectris sp.NA",TRUE,2,5,29.4,NA,NA,82.4,0.7,50
"9","CapManual","Herbazal_21","Leucothyreus sp.NA",TRUE,3,2,11.8,NA,NA,94.1,0.3,75
"10","CapManual","Herbazal_21","Phyllophaga sp.NA",FALSE,4,1,5.9,NA,NA,100,0,100
"11","CapManual","Pastos_21","Astaena sp.NA",TRUE,1,2,66.7,NA,NA,66.7,0.3,50
"12","CapManual","Pastos_21","Leucothyreus sp.NA",TRUE,2,1,33.3,NA,NA,100,0,100
