"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","CapManual","Caracterizacion","Ceraspis sp.NA",TRUE,1,2,28.6,NA,NA,28.6,0.3,20
"2","CapManual","Caracterizacion","Astaena sp.NA",TRUE,2,2,28.6,NA,NA,57.1,0.3,40
"3","CapManual","Caracterizacion","Aegidinus candezei",TRUE,3,1,14.3,NA,NA,71.4,0,60
"4","CapManual","Caracterizacion","Plectris sp.NA",FALSE,4,1,14.3,NA,NA,85.7,0,80
"5","CapManual","Caracterizacion","Leucothyreus sp.NA",FALSE,5,1,14.3,NA,NA,100,0,100
"6","CapManual","Kale","Cyclocephala sp.NA",TRUE,1,3,33.3,NA,NA,33.3,0.5,20
"7","CapManual","Kale","Ceraspis sp.NA",TRUE,2,2,22.2,NA,NA,55.6,0.3,40
"8","CapManual","Kale","Plectris sp.NA",TRUE,3,2,22.2,NA,NA,77.8,0.3,60
"9","CapManual","Kale","Aegidinus candezei",FALSE,4,1,11.1,NA,NA,88.9,0,80
"10","CapManual","Kale","Phyllophaga sp.NA",FALSE,5,1,11.1,NA,NA,100,0,100
"11","CapManual","Platero","Ceraspis sp.NA",TRUE,1,9,36,NA,NA,36,1,14.3
"12","CapManual","Platero","Plectris sp.NA",TRUE,2,8,32,NA,NA,68,0.9,28.6
"13","CapManual","Platero","Aegidinus candezei",TRUE,3,2,8,NA,NA,76,0.3,42.9
"14","CapManual","Platero","Barybas sp.NA",FALSE,4,2,8,NA,NA,84,0.3,57.1
"15","CapManual","Platero","Cyclocephala sp.NA",FALSE,5,2,8,NA,NA,92,0.3,71.4
"16","CapManual","Platero","Phyllophaga sp.NA",FALSE,6,1,4,NA,NA,96,0,85.7
"17","CapManual","Platero","Leucothyreus sp.NA",FALSE,7,1,4,NA,NA,100,0,100
