"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobCopr","samplEff.1"
"1","ANH_137","Species richness",1,1,0.284,1,1.799,3249.6971626,5300.74814197,2998.82116791,0,0,39.6740433363,4247.0202919,4198.63557887,3015.20865344,5104.29075125,4483.12248492,4019.63149168,1897.12466021,"Platero","Bosque Ripario",1
"2","ANH_137","Shannon diversity",1,1,0,1,1,3249.6971626,5300.74814197,2998.82116791,0,0,39.6740433363,4247.0202919,4198.63557887,3015.20865344,5104.29075125,4483.12248492,4019.63149168,1897.12466021,"Platero","Bosque Ripario",1
"3","ANH_137","Simpson diversity",1,1,0,1,1,3249.6971626,5300.74814197,2998.82116791,0,0,39.6740433363,4247.0202919,4198.63557887,3015.20865344,5104.29075125,4483.12248492,4019.63149168,1897.12466021,"Platero","Bosque Ripario",1
"4","ANH_365","Species richness",1,1,0.312,1,2.549,1252.26637029,10830.5067878,640.85987812,0,0,55.5231894305,1863.87276874,2295.41625677,6904.70571563,6904.70571563,4512.23449541,9191.13484621,82.3485781298,"Kale","Bosque Ripario",1
"5","ANH_365","Shannon diversity",1,0,0,1,0,1252.26637029,10830.5067878,640.85987812,0,0,55.5231894305,1863.87276874,2295.41625677,6904.70571563,6904.70571563,4512.23449541,9191.13484621,82.3485781298,"Kale","Bosque Ripario",1
"6","ANH_365","Simpson diversity",1,1,0,1,1,1252.26637029,10830.5067878,640.85987812,0,0,55.5231894305,1863.87276874,2295.41625677,6904.70571563,6904.70571563,4512.23449541,9191.13484621,82.3485781298,"Kale","Bosque Ripario",1
"7","ANH_142","Species richness",1,1,0.312,1,2.549,11164.8874488,7894.17095092,30.3195804972,0,0,664.464997752,712.004767372,321.277878317,1448.76838204,9187.73879096,885.93568311,636.338589231,6907.38779167,"Caracterizacion","Bosque Ripario",1
"8","ANH_142","Shannon diversity",1,0,0,1,0,11164.8874488,7894.17095092,30.3195804972,0,0,664.464997752,712.004767372,321.277878317,1448.76838204,9187.73879096,885.93568311,636.338589231,6907.38779167,"Caracterizacion","Bosque Ripario",1
"9","ANH_142","Simpson diversity",1,1,0,1,1,11164.8874488,7894.17095092,30.3195804972,0,0,664.464997752,712.004767372,321.277878317,1448.76838204,9187.73879096,885.93568311,636.338589231,6907.38779167,"Caracterizacion","Bosque Ripario",1
"10","ANH_138","Species richness",2,2.5,1.107,2.037,8.808,2023.0996943,4599.36726538,5937.17323501,0,0,78.6478687443,4954.44724907,6147.00390552,2270.74147776,2270.74147776,7190.65001517,5786.90125696,1054.5816454,"Platero","Bosque Ripario",1
"11","ANH_138","Shannon diversity",2,3.375,1.146,2,5.622,2023.0996943,4599.36726538,5937.17323501,0,0,78.6478687443,4954.44724907,6147.00390552,2270.74147776,2270.74147776,7190.65001517,5786.90125696,1054.5816454,"Platero","Bosque Ripario",1
"12","ANH_138","Simpson diversity",2,2,0.45,2,2.882,2023.0996943,4599.36726538,5937.17323501,0,0,78.6478687443,4954.44724907,6147.00390552,2270.74147776,2270.74147776,7190.65001517,5786.90125696,1054.5816454,"Platero","Bosque Ripario",1
"13","ANH_112","Species richness",2,2.5,1.107,2.037,8.808,2947.09730655,5775.1310261,32.3766510733,0,0,61.3915848758,1400.95931847,1316.71792944,6468.68738409,6468.68738409,770.028384384,899.641733784,1372.13229726,"Kale","Bosque Ripario",1
"14","ANH_112","Shannon diversity",2,3.375,1.08,2,5.493,2947.09730655,5775.1310261,32.3766510733,0,0,61.3915848758,1400.95931847,1316.71792944,6468.68738409,6468.68738409,770.028384384,899.641733784,1372.13229726,"Kale","Bosque Ripario",1
"15","ANH_112","Simpson diversity",2,2,0.44,2,2.862,2947.09730655,5775.1310261,32.3766510733,0,0,61.3915848758,1400.95931847,1316.71792944,6468.68738409,6468.68738409,770.028384384,899.641733784,1372.13229726,"Kale","Bosque Ripario",1
"16","ANH_147","Species richness",2,2.333,0.943,2.018,8.09,8302.58243891,3617.92239452,5734.18772127,563.299829417,0,84.6054235413,3692.18219991,229.189819958,3851.79656364,4048.94849176,3383.03377986,887.019885277,4174.37764141,"Platero","Herbazal",1
"17","ANH_147","Shannon diversity",1.89,2.52,2.015,1.89,6.47,8302.58243891,3617.92239452,5734.18772127,563.299829417,0,84.6054235413,3692.18219991,229.189819958,3851.79656364,4048.94849176,3383.03377986,887.019885277,4174.37764141,"Platero","Herbazal",1
"18","ANH_147","Simpson diversity",1.8,3,0.868,1.8,4.702,8302.58243891,3617.92239452,5734.18772127,563.299829417,0,84.6054235413,3692.18219991,229.189819958,3851.79656364,4048.94849176,3383.03377986,887.019885277,4174.37764141,"Platero","Herbazal",1
"19","ANH_368","Species richness",1,1,0.312,1,2.549,2729.85095313,5689.23419082,93.4324920071,0,0,61.3915848758,1575.3478284,1428.21372064,6208.33777501,6208.33777501,1141.52136153,1274.37570273,1427.07644303,"Kale","Bosque Ripario",1
"20","ANH_368","Shannon diversity",1,0,0,1,0,2729.85095313,5689.23419082,93.4324920071,0,0,61.3915848758,1575.3478284,1428.21372064,6208.33777501,6208.33777501,1141.52136153,1274.37570273,1427.07644303,"Kale","Bosque Ripario",1
"21","ANH_368","Simpson diversity",1,1,0,1,1,2729.85095313,5689.23419082,93.4324920071,0,0,61.3915848758,1575.3478284,1428.21372064,6208.33777501,6208.33777501,1141.52136153,1274.37570273,1427.07644303,"Kale","Bosque Ripario",1
