"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","grp","cmb_smpEf","verbatimLa","verbatimLo","decimalLat","decimalLon","GrupoBiolo","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_Kale","Dis_Plater","DisBosque","Dis_CobNat","Dis_Cienag","Dis_MGSG","Dis_Dre345","UCSuelo","Cobertura","CobAves","CobHerp","CobCopr","CobMarip","CobHorm","CobColl","CobMam","CobBot","Tam_Parche","Plataf","Dis_PlatEf","Orden","Dis_ViaPri","Dia_ViaSec","Red.Hidrica","CuerpAgua","NomCuerpAg","FInt19meanx","HEH18meanx"
"1","ANH_112","Species richness",2,2.5,1.107,2.037,8.808,"CapManual",1,"7°20' 10,100"" N","73°51' 11,900"" W",7.33613888913,-73.8533055556,"Escarabajos",1400.95931847,1316.71792944,6468.68738409,6468.68738409,770.028384384,2675.61684712,7665.42606432,0,0,2947.09730655,5775.1310261,32.3766510733,"PVAa","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,61.3915848758,"Kale",2675.61684712,0,899.641733784,1372.13229726,NA,NA,NA,NA,NA
"2","ANH_112","Shannon diversity",2,3.375,1.414,2,6.147,"CapManual",1,"7°20' 10,100"" N","73°51' 11,900"" W",7.33613888913,-73.8533055556,"Escarabajos",1400.95931847,1316.71792944,6468.68738409,6468.68738409,770.028384384,2675.61684712,7665.42606432,0,0,2947.09730655,5775.1310261,32.3766510733,"PVAa","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,61.3915848758,"Kale",2675.61684712,0,899.641733784,1372.13229726,NA,NA,NA,NA,NA
"3","ANH_112","Simpson diversity",2,2,0.785,2,3.538,"CapManual",1,"7°20' 10,100"" N","73°51' 11,900"" W",7.33613888913,-73.8533055556,"Escarabajos",1400.95931847,1316.71792944,6468.68738409,6468.68738409,770.028384384,2675.61684712,7665.42606432,0,0,2947.09730655,5775.1310261,32.3766510733,"PVAa","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,61.3915848758,"Kale",2675.61684712,0,899.641733784,1372.13229726,NA,NA,NA,NA,NA
"4","ANH_137","Species richness",1,1,0.312,1,2.549,"CapManual",1,"7°17' 21,000"" N","73°51' 39,000"" W",7.2891666669,-73.8608333333,"Escarabajos",4247.0202919,4198.63557887,3015.20865344,5104.29075125,4483.12248492,7876.11412269,2776.47102717,0,0,3249.6971626,5300.74814197,2998.82116791,"PVAa","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,39.6740433363,"Platero",2776.47102717,0,4019.63149168,1897.12466021,NA,NA,NA,NA,NA
"5","ANH_137","Shannon diversity",1,0,0,1,0,"CapManual",1,"7°17' 21,000"" N","73°51' 39,000"" W",7.2891666669,-73.8608333333,"Escarabajos",4247.0202919,4198.63557887,3015.20865344,5104.29075125,4483.12248492,7876.11412269,2776.47102717,0,0,3249.6971626,5300.74814197,2998.82116791,"PVAa","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,39.6740433363,"Platero",2776.47102717,0,4019.63149168,1897.12466021,NA,NA,NA,NA,NA
"6","ANH_137","Simpson diversity",1,1,0,1,1,"CapManual",1,"7°17' 21,000"" N","73°51' 39,000"" W",7.2891666669,-73.8608333333,"Escarabajos",4247.0202919,4198.63557887,3015.20865344,5104.29075125,4483.12248492,7876.11412269,2776.47102717,0,0,3249.6971626,5300.74814197,2998.82116791,"PVAa","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,39.6740433363,"Platero",2776.47102717,0,4019.63149168,1897.12466021,NA,NA,NA,NA,NA
"7","ANH_138","Species richness",2,2,0,NA,NA,"CapManual",1,"7°15' 57,170"" N","73°52' 31,510"" W",7.26588055579,-73.8754194444,"Escarabajos",4954.44724907,6147.00390552,2270.74147776,2270.74147776,7190.65001517,10554.742766,387.242317501,0,0,2023.0996943,4599.36726538,5937.17323501,"PVAa","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,78.6478687443,"Platero",387.242317501,0,5786.90125696,1054.5816454,NA,NA,NA,NA,NA
"8","ANH_138","Shannon diversity",2,0,0,2,0,"CapManual",1,"7°15' 57,170"" N","73°52' 31,510"" W",7.26588055579,-73.8754194444,"Escarabajos",4954.44724907,6147.00390552,2270.74147776,2270.74147776,7190.65001517,10554.742766,387.242317501,0,0,2023.0996943,4599.36726538,5937.17323501,"PVAa","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,78.6478687443,"Platero",387.242317501,0,5786.90125696,1054.5816454,NA,NA,NA,NA,NA
"9","ANH_138","Simpson diversity",2,2,0,2,2,"CapManual",1,"7°15' 57,170"" N","73°52' 31,510"" W",7.26588055579,-73.8754194444,"Escarabajos",4954.44724907,6147.00390552,2270.74147776,2270.74147776,7190.65001517,10554.742766,387.242317501,0,0,2023.0996943,4599.36726538,5937.17323501,"PVAa","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,78.6478687443,"Platero",387.242317501,0,5786.90125696,1054.5816454,NA,NA,NA,NA,NA
"10","ANH_142","Species richness",1,1,0.312,1,2.549,"CapManual",1,"7°19' 0,200"" N","73°46' 44,100"" W",7.31672222246,-73.7789166667,"Escarabajos",712.004767372,321.277878317,1448.76838204,9187.73879096,885.93568311,8695.92999457,12111.4757092,0,0,11164.8874488,7894.17095092,30.3195804972,"PVBc2","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,664.464997752,"Caracterizacion",8695.92999457,0,636.338589231,6907.38779167,NA,NA,NA,NA,NA
"11","ANH_142","Shannon diversity",1,0,0,1,0,"CapManual",1,"7°19' 0,200"" N","73°46' 44,100"" W",7.31672222246,-73.7789166667,"Escarabajos",712.004767372,321.277878317,1448.76838204,9187.73879096,885.93568311,8695.92999457,12111.4757092,0,0,11164.8874488,7894.17095092,30.3195804972,"PVBc2","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,664.464997752,"Caracterizacion",8695.92999457,0,636.338589231,6907.38779167,NA,NA,NA,NA,NA
"12","ANH_142","Simpson diversity",1,1,0,1,1,"CapManual",1,"7°19' 0,200"" N","73°46' 44,100"" W",7.31672222246,-73.7789166667,"Escarabajos",712.004767372,321.277878317,1448.76838204,9187.73879096,885.93568311,8695.92999457,12111.4757092,0,0,11164.8874488,7894.17095092,30.3195804972,"PVBc2","Bosque Ripario",NA,NA,"Bosque Ripario",NA,NA,NA,NA,NA,664.464997752,"Caracterizacion",8695.92999457,0,636.338589231,6907.38779167,NA,NA,NA,NA,NA
