"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Herbazal","Species richness",3,3,0.394,3,4.047,9,3,1
"2","Herbazal","Shannon diversity",2.889,3.257,0.437,2.889,4.115,9,3,1
"3","Herbazal","Simpson diversity",2.793,3.6,0.638,2.793,4.85,9,3,1
"4","Palma","Species richness",4,4,0.518,4,5.611,16,4,1
"5","Palma","Shannon diversity",3.361,3.721,0.502,3.361,4.705,16,4,1
"6","Palma","Simpson diversity",3.048,3.529,0.612,3.048,4.73,16,4,1
"7","Pastos","Species richness",2,2.333,0.943,2.018,8.09,3,2,0.8333
"8","Pastos","Shannon diversity",1.89,2.52,1.967,1.89,6.376,3,2,0.8333
"9","Pastos","Simpson diversity",1.8,3,0.879,1.8,4.724,3,2,0.8333
"10","Bosque Ripario","Species richness",3,3,0.216,3,3.481,28,3,1
"11","Bosque Ripario","Shannon diversity",2.519,2.614,0.277,2.519,3.156,28,3,1
"12","Bosque Ripario","Simpson diversity",2.266,2.377,0.307,2.266,2.979,28,3,1
"13","Area Urbana","Species richness",2,2.5,1.107,2.037,8.808,2,2,0.6667
"14","Area Urbana","Shannon diversity",2,3.375,1.143,2,5.615,2,2,0.6667
"15","Area Urbana","Simpson diversity",2,2,0.468,2,2.917,2,2,0.6667
