"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","CapManual","Caracterizacion","Ceraspis sp.NA",TRUE,1,2,33.3,NA,NA,33.3,0.3,25
"2","CapManual","Caracterizacion","Astaena sp.NA",TRUE,2,2,33.3,NA,NA,66.7,0.3,50
"3","CapManual","Caracterizacion","Plectris sp.NA",TRUE,3,1,16.7,NA,NA,83.3,0,75
"4","CapManual","Caracterizacion","Leucothyreus sp.NA",FALSE,4,1,16.7,NA,NA,100,0,100
"5","CapManual","Kale","Cyclocephala sp.NA",TRUE,1,3,42.9,NA,NA,42.9,0.5,25
"6","CapManual","Kale","Ceraspis sp.NA",TRUE,2,2,28.6,NA,NA,71.4,0.3,50
"7","CapManual","Kale","Phyllophaga sp.NA",TRUE,3,1,14.3,NA,NA,85.7,0,75
"8","CapManual","Kale","Plectris sp.NA",FALSE,4,1,14.3,NA,NA,100,0,100
"9","CapManual","Platero","Ceraspis sp.NA",TRUE,1,9,42.9,NA,NA,42.9,1,20
"10","CapManual","Platero","Plectris sp.NA",TRUE,2,7,33.3,NA,NA,76.2,0.8,40
"11","CapManual","Platero","Barybas sp.NA",TRUE,3,2,9.5,NA,NA,85.7,0.3,60
"12","CapManual","Platero","Cyclocephala sp.NA",FALSE,4,2,9.5,NA,NA,95.2,0.3,80
"13","CapManual","Platero","Phyllophaga sp.NA",FALSE,5,1,4.8,NA,NA,100,0,100
