"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Ripario","Species richness",20,34.222,14.714,22.672,95.699,9,67,20,0.8876,8,2,4,1,1,0,0,2,2,0
"2","Bosque Ripario","Shannon diversity",14.538,17.95,2.323,14.538,22.503,9,67,20,0.8876,8,2,4,1,1,0,0,2,2,0
"3","Bosque Ripario","Simpson diversity",11.721,12.55,1.182,11.721,14.866,9,67,20,0.8876,8,2,4,1,1,0,0,2,2,0
"4","Palma","Species richness",27,32.903,4.919,28.422,51.501,18,107,27,0.9146,10,8,2,0,0,1,1,0,3,0
"5","Palma","Shannon diversity",16.265,18.861,1.795,16.265,22.38,18,107,27,0.9146,10,8,2,0,0,1,1,0,3,0
"6","Palma","Simpson diversity",11.438,12.038,0.962,11.438,13.922,18,107,27,0.9146,10,8,2,0,0,1,1,0,3,0
"7","Pastos","Species richness",6,6,0,NA,NA,1,6,6,1,6,0,0,0,0,0,0,0,0,0
"8","Pastos","Shannon diversity",6,0,0,6,0,1,6,6,1,6,0,0,0,0,0,0,0,0,0
"9","Pastos","Simpson diversity",6,6,0,6,6,1,6,6,1,6,0,0,0,0,0,0,0,0,0
"10","Vias","Species richness",14,16.143,2.595,14.333,27.797,7,34,14,0.8897,5,5,2,0,0,1,1,0,0,0
"11","Vias","Shannon diversity",11.154,13.631,1.746,11.154,17.054,7,34,14,0.8897,5,5,2,0,0,1,1,0,0,0
"12","Vias","Simpson diversity",9.031,10.374,1.251,9.031,12.825,7,34,14,0.8897,5,5,2,0,0,1,1,0,0,0
