"","Bosque Ripario","Palma"
"Artibeus anderseni",14,3
"Molossops temminckii",0,2
"Artibeus lituratus",242,366
"Carollia perspicillata",635,291
"Molossus molossus",0,1
"Phyllostomus discolor",23,36
"Eptesicus brasiliensis",0,3
"Artibeus planirostris",26,14
"Carollia brevicauda",70,24
"Platyrrhinus helleri",2,2
"Phyllostomus hastatus",94,32
"Lophostoma brasiliense",5,5
"Sturnira giannae",12,7
"Micronycteris schmidtorum",3,2
"Glossophaga soricina",16,14
"Carollia castanea",7,6
"Rhogeessa io",3,1
"Myotis riparius",1,0
"Desmodus rotundus",1,0
"Noctilio albiventris",0,3
"Saccopteryx leptura",2,0
"Artibeus phaeotis",1,0
"Marmosa robinsoni",0,1
"Tonatia maresi",1,0
"Gardnerycteris keenani",1,0
"Platyrrhinus angustirostris",0,2
"Platyrrhinus brachycephalus",0,1
"Noctilio leporinus",0,3
"Saccopteryx canescens",0,1
"Myotis nigricans",0,2
"Uroderma convexum",0,2
"Lampronycteris brachyotis",1,0
"Micronycteris hirsuta",1,0
