"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobMam","samplEff.1"
"1","ANH_97","Species richness",9,13.476,7.158,9.492,49.715,4606.35946233,2871.4363033,8221.53872304,0,0,45.7606127029,2307.99158293,4097.64529583,250.354132317,3677.2648422,8028.08634281,3322.98521392,1847.63222433,"Platero","Bosque Ripario",0.977443609022556
"2","ANH_97","Shannon diversity",3.288,3.405,0.272,3.288,3.937,4606.35946233,2871.4363033,8221.53872304,0,0,45.7606127029,2307.99158293,4097.64529583,250.354132317,3677.2648422,8028.08634281,3322.98521392,1847.63222433,"Platero","Bosque Ripario",0.977443609022556
"3","ANH_97","Simpson diversity",2.495,2.515,0.17,2.495,2.847,4606.35946233,2871.4363033,8221.53872304,0,0,45.7606127029,2307.99158293,4097.64529583,250.354132317,3677.2648422,8028.08634281,3322.98521392,1847.63222433,"Platero","Bosque Ripario",0.977443609022556
"4","ANH_93","Species richness",15,19.477,4.781,15.81,39.745,5735.55367351,13430.6962531,261.024939786,50.8986688367,50.8986688367,841.669467865,4561.14705348,1777.38846677,3909.69705531,10027.9846914,194.637141498,4812.91766651,4864.35735389,"Kale","Palma",0.977443609022556
"5","ANH_93","Shannon diversity",4.373,4.611,0.411,4.373,5.416,5735.55367351,13430.6962531,261.024939786,50.8986688367,50.8986688367,841.669467865,4561.14705348,1777.38846677,3909.69705531,10027.9846914,194.637141498,4812.91766651,4864.35735389,"Kale","Palma",0.977443609022556
"6","ANH_93","Simpson diversity",3.073,3.105,0.211,3.073,3.519,5735.55367351,13430.6962531,261.024939786,50.8986688367,50.8986688367,841.669467865,4561.14705348,1777.38846677,3909.69705531,10027.9846914,194.637141498,4812.91766651,4864.35735389,"Kale","Palma",0.977443609022556
"7","ANH_64","Species richness",10,10.166,0.533,10.008,13.518,1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma",1
"8","ANH_64","Shannon diversity",4.16,4.289,0.349,4.16,4.973,1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma",1
"9","ANH_64","Simpson diversity",3.054,3.094,0.227,3.054,3.539,1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma",1
"10","ANH_92","Species richness",11,11.396,0.861,11.03,16.273,6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma",0.834586466165414
"11","ANH_92","Shannon diversity",3.551,3.761,0.543,3.551,4.825,6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma",0.834586466165414
"12","ANH_92","Simpson diversity",2.082,2.105,0.278,2.082,2.648,6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma",0.834586466165414
"13","ANH_96","Species richness",13,22.926,10.148,14.892,65.092,1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario",0.869172932330827
"14","ANH_96","Shannon diversity",5.085,5.517,0.623,5.085,6.739,1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario",0.869172932330827
"15","ANH_96","Simpson diversity",3.3,3.358,0.371,3.3,4.085,1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario",0.869172932330827
