"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_103_20","Species richness",6,6.245,0.717,6.013,10.66,"ANH_103","RdN",0.903759398496241
"2","ANH_103_20","Shannon diversity",3.443,3.662,0.516,3.443,4.672,"ANH_103","RdN",0.903759398496241
"3","ANH_103_20","Simpson diversity",2.614,2.709,0.443,2.614,3.577,"ANH_103","RdN",0.903759398496241
"4","ANH_103_21","Species richness",7,7,0.431,7,8.074,"ANH_103","RdN",0.903759398496241
"5","ANH_103_21","Shannon diversity",3.943,4.071,0.39,3.943,4.834,"ANH_103","RdN",0.903759398496241
"6","ANH_103_21","Simpson diversity",2.95,3.01,0.3,2.95,3.598,"ANH_103","RdN",0.903759398496241
"7","ANH_103_19","Species richness",4,4,0.487,4,5.467,"ANH_103","RdN",0.903759398496241
"8","ANH_103_19","Shannon diversity",2.023,2.063,0.197,2.023,2.449,"ANH_103","RdN",0.903759398496241
"9","ANH_103_19","Simpson diversity",1.585,1.597,0.142,1.585,1.876,"ANH_103","RdN",0.903759398496241
"10","ANH_103_18","Species richness",5,6.962,3.675,5.177,26.741,"ANH_103","RdN",0.903759398496241
"11","ANH_103_18","Shannon diversity",2.218,2.367,0.346,2.218,3.046,"ANH_103","RdN",0.903759398496241
"12","ANH_103_18","Simpson diversity",1.682,1.704,0.221,1.682,2.138,"ANH_103","RdN",0.903759398496241
"13","ANH_240_21","Species richness",1,1,0.312,1,2.549,"ANH_240","RdN",0.0691729323308271
"14","ANH_240_21","Shannon diversity",1,0,0,1,0,"ANH_240","RdN",0.0691729323308271
"15","ANH_240_21","Simpson diversity",1,NA,0,NA,NA,"ANH_240","RdN",0.0691729323308271
"16","ANH_360_21","Species richness",8,10.184,3.306,8.257,26.547,"ANH_360","RdN",0.315789473684211
"17","ANH_360_21","Shannon diversity",4.148,4.848,0.957,4.148,6.724,"ANH_360","RdN",0.315789473684211
"18","ANH_360_21","Simpson diversity",2.651,2.791,0.616,2.651,3.998,"ANH_360","RdN",0.315789473684211
"19","ANH_360_20","Species richness",2,2.5,1.107,2.037,8.808,"ANH_360","RdN",0.315789473684211
"20","ANH_360_20","Shannon diversity",2,3.375,1.132,2,5.593,"ANH_360","RdN",0.315789473684211
"21","ANH_360_20","Simpson diversity",2,2,0.475,2,2.931,"ANH_360","RdN",0.315789473684211
"22","ANH_360_19","Species richness",1,1,0.284,1,1.799,"ANH_360","RdN",0.315789473684211
