"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","RedNiebla_Av","Caracterizacion","Carollia perspicillata",TRUE,1,28,43.1,NA,NA,43.1,1.4,11.1
"2","RedNiebla_Av","Caracterizacion","Artibeus lituratus",TRUE,2,24,36.9,NA,NA,80,1.4,22.2
"3","RedNiebla_Av","Caracterizacion","Carollia brevicauda",TRUE,3,4,6.2,NA,NA,86.2,0.6,33.3
"4","RedNiebla_Av","Caracterizacion","Artibeus anderseni",FALSE,4,3,4.6,NA,NA,90.8,0.5,44.4
"5","RedNiebla_Av","Caracterizacion","Phyllostomus discolor",FALSE,5,2,3.1,NA,NA,93.8,0.3,55.6
"6","RedNiebla_Av","Caracterizacion","Sturnira giannae",FALSE,6,1,1.5,NA,NA,95.4,0,66.7
"7","RedNiebla_Av","Caracterizacion","Carollia castanea",FALSE,7,1,1.5,NA,NA,96.9,0,77.8
"8","RedNiebla_Av","Caracterizacion","Lampronycteris brachyotis",FALSE,8,1,1.5,NA,NA,98.5,0,88.9
"9","RedNiebla_Av","Caracterizacion","Platyrrhinus helleri",FALSE,9,1,1.5,NA,NA,100,0,100
"10","RedNiebla_Av","Kale","Carollia perspicillata",TRUE,1,677,42,NA,NA,42,2.8,3.2
"11","RedNiebla_Av","Kale","Artibeus lituratus",TRUE,2,430,26.7,NA,NA,68.7,2.6,6.5
"12","RedNiebla_Av","Kale","Carollia brevicauda",TRUE,3,215,13.3,NA,NA,82,2.3,9.7
"13","RedNiebla_Av","Kale","Artibeus planirostris",FALSE,4,63,3.9,NA,NA,85.9,1.8,12.9
"14","RedNiebla_Av","Kale","Phyllostomus hastatus",FALSE,5,49,3,NA,NA,89,1.7,16.1
"15","RedNiebla_Av","Kale","Phyllostomus discolor",FALSE,6,38,2.4,NA,NA,91.3,1.6,19.4
"16","RedNiebla_Av","Kale","Glossophaga soricina",FALSE,7,25,1.6,NA,NA,92.9,1.4,22.6
"17","RedNiebla_Av","Kale","Sturnira giannae",FALSE,8,19,1.2,NA,NA,94,1.3,25.8
"18","RedNiebla_Av","Kale","Carollia castanea",FALSE,9,18,1.1,NA,NA,95.2,1.3,29
"19","RedNiebla_Av","Kale","Uroderma convexum",FALSE,10,13,0.8,NA,NA,96,1.1,32.3
"20","RedNiebla_Av","Kale","Artibeus anderseni",FALSE,11,9,0.6,NA,NA,96.5,1,35.5
"21","RedNiebla_Av","Kale","Rhogeessa io",FALSE,12,8,0.5,NA,NA,97,0.9,38.7
"22","RedNiebla_Av","Kale","Lophostoma brasiliense",FALSE,13,7,0.4,NA,NA,97.5,0.8,41.9
"23","RedNiebla_Av","Kale","Myotis nigricans",FALSE,14,5,0.3,NA,NA,97.8,0.7,45.2
"24","RedNiebla_Av","Kale","Noctilio leporinus",FALSE,15,4,0.2,NA,NA,98,0.6,48.4
"25","RedNiebla_Av","Kale","Saccopteryx leptura",FALSE,16,4,0.2,NA,NA,98.3,0.6,51.6
"26","RedNiebla_Av","Kale","Micronycteris schmidtorum",FALSE,17,4,0.2,NA,NA,98.5,0.6,54.8
"27","RedNiebla_Av","Kale","Platyrrhinus helleri",FALSE,18,3,0.2,NA,NA,98.7,0.5,58.1
"28","RedNiebla_Av","Kale","Lasiurus ega",FALSE,19,3,0.2,NA,NA,98.9,0.5,61.3
"29","RedNiebla_Av","Kale","Eptesicus brasiliensis",FALSE,20,2,0.1,NA,NA,99,0.3,64.5
"30","RedNiebla_Av","Kale","Desmodus rotundus",FALSE,21,2,0.1,NA,NA,99.1,0.3,67.7
"31","RedNiebla_Av","Kale","Micronycteris microtis",FALSE,22,2,0.1,NA,NA,99.3,0.3,71
"32","RedNiebla_Av","Kale","Platyrrhinus angustirostris",FALSE,23,2,0.1,NA,NA,99.4,0.3,74.2
"33","RedNiebla_Av","Kale","Artibeus jamaicensis cf. jamaicensis",FALSE,24,2,0.1,NA,NA,99.5,0.3,77.4
"34","RedNiebla_Av","Kale","Myotis riparius",FALSE,25,2,0.1,NA,NA,99.6,0.3,80.6
"35","RedNiebla_Av","Kale","Platyrrhinus brachycephalus",FALSE,26,1,0.1,NA,NA,99.7,0,83.9
"36","RedNiebla_Av","Kale","Lophostoma silvicola",FALSE,27,1,0.1,NA,NA,99.8,0,87.1
"37","RedNiebla_Av","Kale","Artibeus phaeotis",FALSE,28,1,0.1,NA,NA,99.8,0,90.3
"38","RedNiebla_Av","Kale","Saccopteryx canescens",FALSE,29,1,0.1,NA,NA,99.9,0,93.5
"39","RedNiebla_Av","Kale","Rhynchonycteris naso",FALSE,30,1,0.1,NA,NA,99.9,0,96.8
"40","RedNiebla_Av","Kale","Micronycteris hirsuta",FALSE,31,1,0.1,NA,NA,100,0,100
"41","RedNiebla_Av","Platero","Carollia perspicillata",TRUE,1,638,38.5,NA,NA,38.5,2.8,3.3
"42","RedNiebla_Av","Platero","Artibeus lituratus",TRUE,2,489,29.5,NA,NA,68.1,2.7,6.7
"43","RedNiebla_Av","Platero","Carollia brevicauda",TRUE,3,161,9.7,NA,NA,77.8,2.2,10
"44","RedNiebla_Av","Platero","Phyllostomus hastatus",FALSE,4,160,9.7,NA,NA,87.4,2.2,13.3
"45","RedNiebla_Av","Platero","Phyllostomus discolor",FALSE,5,54,3.3,NA,NA,90.7,1.7,16.7
"46","RedNiebla_Av","Platero","Glossophaga soricina",FALSE,6,34,2.1,NA,NA,92.8,1.5,20
"47","RedNiebla_Av","Platero","Artibeus planirostris",FALSE,7,27,1.6,NA,NA,94.4,1.4,23.3
"48","RedNiebla_Av","Platero","Artibeus anderseni",FALSE,8,15,0.9,NA,NA,95.3,1.2,26.7
"49","RedNiebla_Av","Platero","Uroderma convexum",FALSE,9,13,0.8,NA,NA,96.1,1.1,30
"50","RedNiebla_Av","Platero","Sturnira giannae",FALSE,10,11,0.7,NA,NA,96.7,1,33.3
"51","RedNiebla_Av","Platero","Carollia castanea",FALSE,11,6,0.4,NA,NA,97.1,0.8,36.7
"52","RedNiebla_Av","Platero","Noctilio leporinus",FALSE,12,6,0.4,NA,NA,97.5,0.8,40
"53","RedNiebla_Av","Platero","Lophostoma brasiliense",FALSE,13,6,0.4,NA,NA,97.8,0.8,43.3
"54","RedNiebla_Av","Platero","Uroderma magnirostrum",FALSE,14,6,0.4,NA,NA,98.2,0.8,46.7
"55","RedNiebla_Av","Platero","Molossus molossus",FALSE,15,5,0.3,NA,NA,98.5,0.7,50
"56","RedNiebla_Av","Platero","Noctilio albiventris",FALSE,16,5,0.3,NA,NA,98.8,0.7,53.3
"57","RedNiebla_Av","Platero","Rhogeessa io",FALSE,17,3,0.2,NA,NA,99,0.5,56.7
"58","RedNiebla_Av","Platero","Eptesicus brasiliensis",FALSE,18,3,0.2,NA,NA,99.2,0.5,60
"59","RedNiebla_Av","Platero","Molossops temminckii",FALSE,19,2,0.1,NA,NA,99.3,0.3,63.3
"60","RedNiebla_Av","Platero","Myotis nigricans",FALSE,20,2,0.1,NA,NA,99.4,0.3,66.7
"61","RedNiebla_Av","Platero","Tonatia maresi",FALSE,21,1,0.1,NA,NA,99.5,0,70
"62","RedNiebla_Av","Platero","Gardnerycteris keenani",FALSE,22,1,0.1,NA,NA,99.5,0,73.3
"63","RedNiebla_Av","Platero","Artibeus jamaicensis cf. jamaicensis",FALSE,23,1,0.1,NA,NA,99.6,0,76.7
"64","RedNiebla_Av","Platero","Saccopteryx canescens",FALSE,24,1,0.1,NA,NA,99.6,0,80
"65","RedNiebla_Av","Platero","Saccopteryx leptura",FALSE,25,1,0.1,NA,NA,99.7,0,83.3
"66","RedNiebla_Av","Platero","Micronycteris microtis",FALSE,26,1,0.1,NA,NA,99.8,0,86.7
"67","RedNiebla_Av","Platero","Platyrrhinus helleri",FALSE,27,1,0.1,NA,NA,99.8,0,90
"68","RedNiebla_Av","Platero","Marmosa robinsoni",FALSE,28,1,0.1,NA,NA,99.9,0,93.3
"69","RedNiebla_Av","Platero","Micronycteris schmidtorum",FALSE,29,1,0.1,NA,NA,99.9,0,96.7
"70","RedNiebla_Av","Platero","Artibeus glaucus",FALSE,30,1,0.1,NA,NA,100,0,100
