"","Platero","Kale","Caracterizacion"
"Artibeus anderseni",9,5,3
"Molossops temminckii",2,0,0
"Artibeus lituratus",291,298,19
"Carollia perspicillata",446,454,26
"Molossus molossus",1,0,0
"Phyllostomus discolor",37,20,2
"Eptesicus brasiliensis",1,2,0
"Artibeus planirostris",2,38,0
"Carollia brevicauda",39,51,4
"Platyrrhinus helleri",1,2,1
"Phyllostomus hastatus",108,18,0
"Lophostoma brasiliense",5,5,0
"Sturnira giannae",7,11,1
"Micronycteris schmidtorum",1,4,0
"Glossophaga soricina",10,20,0
"Carollia castanea",3,9,1
"Rhogeessa io",1,3,0
"Myotis riparius",0,1,0
"Desmodus rotundus",0,1,0
"Noctilio albiventris",3,0,0
"Saccopteryx leptura",0,2,0
"Artibeus phaeotis",0,1,0
"Marmosa robinsoni",1,0,0
"Tonatia maresi",1,0,0
"Gardnerycteris keenani",1,0,0
"Platyrrhinus angustirostris",0,2,0
"Platyrrhinus brachycephalus",0,1,0
"Noctilio leporinus",3,0,0
"Saccopteryx canescens",1,0,0
"Myotis nigricans",2,0,0
"Uroderma convexum",2,0,0
"Lampronycteris brachyotis",0,0,1
"Micronycteris hirsuta",0,1,0
