"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","RedNiebla_Av","Kale","Carollia perspicillata",TRUE,1,144,36.7,NA,NA,36.7,2.2,4.3
"2","RedNiebla_Av","Kale","Artibeus lituratus",TRUE,2,74,18.9,NA,NA,55.6,1.9,8.7
"3","RedNiebla_Av","Kale","Carollia brevicauda",TRUE,3,39,9.9,NA,NA,65.6,1.6,13
"4","RedNiebla_Av","Kale","Phyllostomus discolor",FALSE,4,35,8.9,NA,NA,74.5,1.5,17.4
"5","RedNiebla_Av","Kale","Artibeus planirostris",FALSE,5,32,8.2,NA,NA,82.7,1.5,21.7
"6","RedNiebla_Av","Kale","Phyllostomus hastatus",FALSE,6,13,3.3,NA,NA,86,1.1,26.1
"7","RedNiebla_Av","Kale","Carollia castanea",FALSE,7,11,2.8,NA,NA,88.8,1,30.4
"8","RedNiebla_Av","Kale","Glossophaga soricina",FALSE,8,8,2,NA,NA,90.8,0.9,34.8
"9","RedNiebla_Av","Kale","Sturnira giannae",FALSE,9,6,1.5,NA,NA,92.3,0.8,39.1
"10","RedNiebla_Av","Kale","Rhogeessa io",FALSE,10,5,1.3,NA,NA,93.6,0.7,43.5
"11","RedNiebla_Av","Kale","Lophostoma brasiliense",FALSE,11,5,1.3,NA,NA,94.9,0.7,47.8
"12","RedNiebla_Av","Kale","Uroderma convexum",FALSE,12,4,1,NA,NA,95.9,0.6,52.2
"13","RedNiebla_Av","Kale","Noctilio leporinus",FALSE,13,3,0.8,NA,NA,96.7,0.5,56.5
"14","RedNiebla_Av","Kale","Lasiurus ega",FALSE,14,3,0.8,NA,NA,97.4,0.5,60.9
"15","RedNiebla_Av","Kale","Myotis nigricans",FALSE,15,2,0.5,NA,NA,98,0.3,65.2
"16","RedNiebla_Av","Kale","Micronycteris microtis",FALSE,16,1,0.3,NA,NA,98.2,0,69.6
"17","RedNiebla_Av","Kale","Artibeus jamaicensis cf. jamaicensis",FALSE,17,1,0.3,NA,NA,98.5,0,73.9
"18","RedNiebla_Av","Kale","Desmodus rotundus",FALSE,18,1,0.3,NA,NA,98.7,0,78.3
"19","RedNiebla_Av","Kale","Saccopteryx leptura",FALSE,19,1,0.3,NA,NA,99,0,82.6
"20","RedNiebla_Av","Kale","Saccopteryx canescens",FALSE,20,1,0.3,NA,NA,99.2,0,87
"21","RedNiebla_Av","Kale","Artibeus anderseni",FALSE,21,1,0.3,NA,NA,99.5,0,91.3
"22","RedNiebla_Av","Kale","Micronycteris hirsuta",FALSE,22,1,0.3,NA,NA,99.7,0,95.7
"23","RedNiebla_Av","Kale","Myotis riparius",FALSE,23,1,0.3,NA,NA,100,0,100
"24","RedNiebla_Av","Platero","Artibeus lituratus",TRUE,1,143,54,NA,NA,54,2.2,7.1
"25","RedNiebla_Av","Platero","Carollia perspicillata",TRUE,2,60,22.6,NA,NA,76.6,1.8,14.3
"26","RedNiebla_Av","Platero","Phyllostomus hastatus",TRUE,3,15,5.7,NA,NA,82.3,1.2,21.4
"27","RedNiebla_Av","Platero","Phyllostomus discolor",FALSE,4,10,3.8,NA,NA,86,1,28.6
"28","RedNiebla_Av","Platero","Glossophaga soricina",FALSE,5,9,3.4,NA,NA,89.4,1,35.7
"29","RedNiebla_Av","Platero","Carollia brevicauda",FALSE,6,8,3,NA,NA,92.5,0.9,42.9
"30","RedNiebla_Av","Platero","Noctilio leporinus",FALSE,7,5,1.9,NA,NA,94.3,0.7,50
"31","RedNiebla_Av","Platero","Molossus molossus",FALSE,8,3,1.1,NA,NA,95.5,0.5,57.1
"32","RedNiebla_Av","Platero","Lophostoma brasiliense",FALSE,9,3,1.1,NA,NA,96.6,0.5,64.3
"33","RedNiebla_Av","Platero","Uroderma convexum",FALSE,10,3,1.1,NA,NA,97.7,0.5,71.4
"34","RedNiebla_Av","Platero","Eptesicus brasiliensis",FALSE,11,2,0.8,NA,NA,98.5,0.3,78.6
"35","RedNiebla_Av","Platero","Noctilio albiventris",FALSE,12,2,0.8,NA,NA,99.2,0.3,85.7
"36","RedNiebla_Av","Platero","Micronycteris microtis",FALSE,13,1,0.4,NA,NA,99.6,0,92.9
"37","RedNiebla_Av","Platero","Artibeus planirostris",FALSE,14,1,0.4,NA,NA,100,0,100
