"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobMam","samplEff.1"
"1","ANH_93","Species richness",8,12.455,7.124,8.49,48.526,5735.55367351,13430.6962531,261.024939786,50.8986688367,50.8986688367,841.669467865,4561.14705348,1777.38846677,3909.69705531,10027.9846914,194.637141498,4812.91766651,4864.35735389,"Kale","Palma",0.947368421052632
"2","ANH_93","Shannon diversity",4.081,4.342,0.408,4.081,5.141,5735.55367351,13430.6962531,261.024939786,50.8986688367,50.8986688367,841.669467865,4561.14705348,1777.38846677,3909.69705531,10027.9846914,194.637141498,4812.91766651,4864.35735389,"Kale","Palma",0.947368421052632
"3","ANH_93","Simpson diversity",3.494,3.585,0.224,3.494,4.025,5735.55367351,13430.6962531,261.024939786,50.8986688367,50.8986688367,841.669467865,4561.14705348,1777.38846677,3909.69705531,10027.9846914,194.637141498,4812.91766651,4864.35735389,"Kale","Palma",0.947368421052632
"4","ANH_64","Species richness",11,13.228,3.366,11.263,29.878,1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma",1
"5","ANH_64","Shannon diversity",4.679,4.998,0.544,4.679,6.064,1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma",1
"6","ANH_64","Simpson diversity",3.27,3.343,0.345,3.27,4.019,1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma",1
"7","ANH_103","Species richness",8,8,0.611,8,9.843,2734.05030653,5680.05872496,134.786884046,1.18567703904,1.18567703904,21.34877336,1570.84550932,1444.30033367,6220.56711591,6220.56711591,1098.13401049,1234.67315862,1442.05947306,"Kale","Bosque Ripario",0.789473684210526
"8","ANH_103","Shannon diversity",4.506,4.681,0.434,4.506,5.531,2734.05030653,5680.05872496,134.786884046,1.18567703904,1.18567703904,21.34877336,1570.84550932,1444.30033367,6220.56711591,6220.56711591,1098.13401049,1234.67315862,1442.05947306,"Kale","Bosque Ripario",0.789473684210526
"9","ANH_103","Simpson diversity",3.425,3.514,0.385,3.425,4.269,2734.05030653,5680.05872496,134.786884046,1.18567703904,1.18567703904,21.34877336,1570.84550932,1444.30033367,6220.56711591,6220.56711591,1098.13401049,1234.67315862,1442.05947306,"Kale","Bosque Ripario",0.789473684210526
"10","ANH_92","Species richness",8,8.123,0.434,8.005,10.896,6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma",0.894736842105263
"11","ANH_92","Shannon diversity",2.627,2.756,0.401,2.627,3.542,6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma",0.894736842105263
"12","ANH_92","Simpson diversity",1.677,1.691,0.203,1.677,2.088,6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma",0.894736842105263
"13","ANH_76","Species richness",9,18.804,9.957,10.883,60.05,1868.15359448,12038.9796725,99.4318006865,119.299591654,119.299591654,116.701861761,2031.12791191,3664.56164277,7275.65196227,7916.46815566,3186.44977553,8397.65838551,1354.57572843,"Kale","Bosque Ripario",0.736842105263158
"14","ANH_76","Shannon diversity",4.957,5.914,0.976,4.957,7.827,1868.15359448,12038.9796725,99.4318006865,119.299591654,119.299591654,116.701861761,2031.12791191,3664.56164277,7275.65196227,7916.46815566,3186.44977553,8397.65838551,1354.57572843,"Kale","Bosque Ripario",0.736842105263158
"15","ANH_76","Simpson diversity",3.808,4.035,0.585,3.808,5.181,1868.15359448,12038.9796725,99.4318006865,119.299591654,119.299591654,116.701861761,2031.12791191,3664.56164277,7275.65196227,7916.46815566,3186.44977553,8397.65838551,1354.57572843,"Kale","Bosque Ripario",0.736842105263158
"16","ANH_97","Species richness",5,5.983,2.165,5.073,18.302,4606.35946233,2871.4363033,8221.53872304,0,0,45.7606127029,2307.99158293,4097.64529583,250.354132317,3677.2648422,8028.08634281,3322.98521392,1847.63222433,"Platero","Bosque Ripario",0.842105263157895
"17","ANH_97","Shannon diversity",2.634,2.764,0.289,2.634,3.33,4606.35946233,2871.4363033,8221.53872304,0,0,45.7606127029,2307.99158293,4097.64529583,250.354132317,3677.2648422,8028.08634281,3322.98521392,1847.63222433,"Platero","Bosque Ripario",0.842105263157895
"18","ANH_97","Simpson diversity",2.032,2.068,0.273,2.032,2.603,4606.35946233,2871.4363033,8221.53872304,0,0,45.7606127029,2307.99158293,4097.64529583,250.354132317,3677.2648422,8028.08634281,3322.98521392,1847.63222433,"Platero","Bosque Ripario",0.842105263157895
"19","ANH_67","Species richness",4,4,0.495,4,5.503,3338.79297819,11690.5265126,320.272475261,52.7992541208,52.7992541208,4.17605050556,3617.10669637,4185.25857953,6937.71123073,7284.25629713,3173.11526587,6926.02393609,1821.64143735,"Kale","Palma",0.736842105263158
"20","ANH_67","Shannon diversity",2.703,2.843,0.376,2.703,3.581,3338.79297819,11690.5265126,320.272475261,52.7992541208,52.7992541208,4.17605050556,3617.10669637,4185.25857953,6937.71123073,7284.25629713,3173.11526587,6926.02393609,1821.64143735,"Kale","Palma",0.736842105263158
"21","ANH_67","Simpson diversity",2.197,2.286,0.395,2.197,3.059,3338.79297819,11690.5265126,320.272475261,52.7992541208,52.7992541208,4.17605050556,3617.10669637,4185.25857953,6937.71123073,7284.25629713,3173.11526587,6926.02393609,1821.64143735,"Kale","Palma",0.736842105263158
"22","ANH_75","Species richness",10,10.99,1.854,10.089,20.971,3717.63765382,5811.41453458,438.513192257,0,0,135.594330327,2379.35461199,2288.21005169,5471.53321411,7326.93321537,1866.61710036,1413.37069691,2489.71146124,"Platero","Bosque Ripario",1
"23","ANH_75","Shannon diversity",6.638,7.02,0.559,6.638,8.116,3717.63765382,5811.41453458,438.513192257,0,0,135.594330327,2379.35461199,2288.21005169,5471.53321411,7326.93321537,1866.61710036,1413.37069691,2489.71146124,"Platero","Bosque Ripario",1
"24","ANH_75","Simpson diversity",5.438,5.699,0.613,5.438,6.9,3717.63765382,5811.41453458,438.513192257,0,0,135.594330327,2379.35461199,2288.21005169,5471.53321411,7326.93321537,1866.61710036,1413.37069691,2489.71146124,"Platero","Bosque Ripario",1
"25","ANH_71","Species richness",11,11.165,0.533,11.008,14.514,8095.50646776,1419.98538267,6547.21973759,162.612633163,162.612633163,212.199627141,3084.35910123,68.3447673805,2643.53549982,2940.26383241,4040.74570414,1170.5400953,2297.45174435,"Platero","Palma",0.947368421052632
"26","ANH_71","Shannon diversity",4.568,4.773,0.511,4.568,5.775,8095.50646776,1419.98538267,6547.21973759,162.612633163,162.612633163,212.199627141,3084.35910123,68.3447673805,2643.53549982,2940.26383241,4040.74570414,1170.5400953,2297.45174435,"Platero","Palma",0.947368421052632
"27","ANH_71","Simpson diversity",2.81,2.852,0.333,2.81,3.505,8095.50646776,1419.98538267,6547.21973759,162.612633163,162.612633163,212.199627141,3084.35910123,68.3447673805,2643.53549982,2940.26383241,4040.74570414,1170.5400953,2297.45174435,"Platero","Palma",0.947368421052632
"28","ANH_68","Species richness",9,9.993,1.859,9.09,19.997,6115.43947553,5964.36696127,3169.6272687,275.797984873,275.797984873,106.041699534,4276.10969873,1924.59402728,3184.53261018,6862.25279011,4335.87852934,1935.331026,3790.29591829,"Platero","Palma",1
"29","ANH_68","Shannon diversity",3.723,3.862,0.337,3.723,4.523,6115.43947553,5964.36696127,3169.6272687,275.797984873,275.797984873,106.041699534,4276.10969873,1924.59402728,3184.53261018,6862.25279011,4335.87852934,1935.331026,3790.29591829,"Platero","Palma",1
"30","ANH_68","Simpson diversity",2.8,2.838,0.213,2.8,3.256,6115.43947553,5964.36696127,3169.6272687,275.797984873,275.797984873,106.041699534,4276.10969873,1924.59402728,3184.53261018,6862.25279011,4335.87852934,1935.331026,3790.29591829,"Platero","Palma",1
"31","ANH_72","Species richness",13,20.949,11.589,13.981,77.418,4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario",0.947368421052632
"32","ANH_72","Shannon diversity",7.883,8.409,0.64,7.883,9.664,4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario",0.947368421052632
"33","ANH_72","Simpson diversity",6.723,6.98,0.383,6.723,7.731,4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario",0.947368421052632
"34","ANH_98","Species richness",12,16.477,7.159,12.492,52.723,4060.58755429,6079.81947844,3281.94537,0.888457895257,0.888457895257,33.2175724199,4708.76370534,3773.30101065,2496.04800377,5452.50125899,4765.73043557,3780.549963,2189.98762914,"Platero","Bosque Ripario",1
"35","ANH_98","Shannon diversity",5.47,5.7,0.397,5.47,6.479,4060.58755429,6079.81947844,3281.94537,0.888457895257,0.888457895257,33.2175724199,4708.76370534,3773.30101065,2496.04800377,5452.50125899,4765.73043557,3780.549963,2189.98762914,"Platero","Bosque Ripario",1
"36","ANH_98","Simpson diversity",4.125,4.191,0.3,4.125,4.778,4060.58755429,6079.81947844,3281.94537,0.888457895257,0.888457895257,33.2175724199,4708.76370534,3773.30101065,2496.04800377,5452.50125899,4765.73043557,3780.549963,2189.98762914,"Platero","Bosque Ripario",1
"37","ANH_65","Species richness",8,9.973,3.695,8.178,29.86,4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma",1
"38","ANH_65","Shannon diversity",4.481,4.785,0.533,4.481,5.829,4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma",1
"39","ANH_65","Simpson diversity",3.445,3.562,0.385,3.445,4.317,4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma",1
"40","ANH_66","Species richness",11,16.954,7.106,11.942,48.654,6444.70297069,9967.35352795,2558.60551808,177.268535888,177.268535888,556.005415522,4925.87140822,2124.4755005,6148.38323168,6148.38323168,3139.36435155,4895.07245173,2636.01413902,"Kale","Palma",0.894736842105263
"41","ANH_66","Shannon diversity",6.044,6.448,0.495,6.044,7.418,6444.70297069,9967.35352795,2558.60551808,177.268535888,177.268535888,556.005415522,4925.87140822,2124.4755005,6148.38323168,6148.38323168,3139.36435155,4895.07245173,2636.01413902,"Kale","Palma",0.894736842105263
"42","ANH_66","Simpson diversity",5.028,5.189,0.347,5.028,5.868,6444.70297069,9967.35352795,2558.60551808,177.268535888,177.268535888,556.005415522,4925.87140822,2124.4755005,6148.38323168,6148.38323168,3139.36435155,4895.07245173,2636.01413902,"Kale","Palma",0.894736842105263
"43","ANH_360","Species richness",10,16.086,7.364,10.946,49.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caracterizacion","Bosque Ripario",0.736842105263158
"44","ANH_360","Shannon diversity",4.452,5.559,1.548,4.452,8.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caracterizacion","Bosque Ripario",0.736842105263158
"45","ANH_360","Simpson diversity",2.579,2.693,0.743,2.579,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caracterizacion","Bosque Ripario",0.736842105263158
"46","ANH_73","Species richness",12,15.064,3.594,12.495,30.975,5873.24802239,8266.85422185,3724.63800342,5.71548110289,5.71548110289,556.005415522,4823.6430347,1631.09793043,4394.99356807,4394.99356807,4921.30277814,5176.86135705,932.078329958,"Kale","Bosque Ripario",0.947368421052632
"47","ANH_73","Shannon diversity",5.406,6.349,1.245,5.406,8.788,5873.24802239,8266.85422185,3724.63800342,5.71548110289,5.71548110289,556.005415522,4823.6430347,1631.09793043,4394.99356807,4394.99356807,4921.30277814,5176.86135705,932.078329958,"Kale","Bosque Ripario",0.947368421052632
"48","ANH_73","Simpson diversity",3.16,3.303,0.769,3.16,4.81,5873.24802239,8266.85422185,3724.63800342,5.71548110289,5.71548110289,556.005415522,4823.6430347,1631.09793043,4394.99356807,4394.99356807,4921.30277814,5176.86135705,932.078329958,"Kale","Bosque Ripario",0.947368421052632
"49","ANH_90","Species richness",8,10.933,4.369,8.352,32.414,967.583378597,3468.12360471,5613.2908585,611.470164542,611.470164542,260.342062684,3792.96444988,7204.34443592,2150.415655,2150.415655,6439.47031425,5543.82948253,1101.79237584,"Platero","Palma",0.894736842105263
"50","ANH_90","Shannon diversity",4.881,5.524,0.821,4.881,7.134,967.583378597,3468.12360471,5613.2908585,611.470164542,611.470164542,260.342062684,3792.96444988,7204.34443592,2150.415655,2150.415655,6439.47031425,5543.82948253,1101.79237584,"Platero","Palma",0.894736842105263
"51","ANH_90","Simpson diversity",3.571,3.793,0.691,3.571,5.148,967.583378597,3468.12360471,5613.2908585,611.470164542,611.470164542,260.342062684,3792.96444988,7204.34443592,2150.415655,2150.415655,6439.47031425,5543.82948253,1101.79237584,"Platero","Palma",0.894736842105263
"52","ANH_96","Species richness",11,20.855,10.046,12.884,62.54,1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario",0.894736842105263
"53","ANH_96","Shannon diversity",6.113,7.071,1.014,6.113,9.058,1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario",0.894736842105263
"54","ANH_96","Simpson diversity",4.627,4.888,0.641,4.627,6.143,1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario",0.894736842105263
"55","ANH_74","Species richness",13,18.878,6.358,14.047,45.995,4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario",0.631578947368421
"56","ANH_74","Shannon diversity",5.926,7.298,1.574,5.926,10.383,4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario",0.631578947368421
"57","ANH_74","Simpson diversity",3.258,3.419,0.871,3.258,5.125,4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario",0.631578947368421
"58","ANH_89","Species richness",2,2,0.332,2,2.854,14539.6281844,3507.28783913,1917.33846534,953.97453018,953.97453018,834.954271967,3872.01053849,213.728215677,3498.66297258,6310.48988596,3024.66460613,4440.37635945,2819.78018937,"Caracterizacion","Palma",0.263157894736842
"59","ANH_89","Shannon diversity",1.819,1.966,0.361,1.819,2.673,14539.6281844,3507.28783913,1917.33846534,953.97453018,953.97453018,834.954271967,3872.01053849,213.728215677,3498.66297258,6310.48988596,3024.66460613,4440.37635945,2819.78018937,"Caracterizacion","Palma",0.263157894736842
"60","ANH_89","Simpson diversity",1.69,1.909,0.433,1.69,2.757,14539.6281844,3507.28783913,1917.33846534,953.97453018,953.97453018,834.954271967,3872.01053849,213.728215677,3498.66297258,6310.48988596,3024.66460613,4440.37635945,2819.78018937,"Caracterizacion","Palma",0.263157894736842
