"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_103_M_R09","Species richness",3,3,0.474,3,4.481,"ANH_103","RdN",0.789473684210526
"2","ANH_103_M_R09","Shannon diversity",2.415,2.586,0.34,2.415,3.252,"ANH_103","RdN",0.789473684210526
"3","ANH_103_M_R09","Simpson diversity",2.246,2.449,0.331,2.246,3.098,"ANH_103","RdN",0.789473684210526
"4","ANH_103_M_R04","Species richness",3,3.833,1.798,3.063,13.998,"ANH_103","RdN",0.789473684210526
"5","ANH_103_M_R04","Shannon diversity",2.381,3.216,0.948,2.381,5.074,"ANH_103","RdN",0.789473684210526
"6","ANH_103_M_R04","Simpson diversity",2,2.5,1.118,2,4.69,"ANH_103","RdN",0.789473684210526
"7","ANH_103_M_R01","Species richness",2,2.333,0.943,2.018,8.09,"ANH_103","RdN",0.789473684210526
"8","ANH_103_M_R01","Shannon diversity",1.89,2.52,1.811,1.89,6.069,"ANH_103","RdN",0.789473684210526
"9","ANH_103_M_R01","Simpson diversity",1.8,3,0.869,1.8,4.704,"ANH_103","RdN",0.789473684210526
"10","ANH_103_M_R08","Species richness",2,2,0.133,2,2.281,"ANH_103","RdN",0.789473684210526
"11","ANH_103_M_R08","Shannon diversity",1.786,1.849,0.234,1.786,2.308,"ANH_103","RdN",0.789473684210526
"12","ANH_103_M_R08","Simpson diversity",1.642,1.721,0.267,1.642,2.245,"ANH_103","RdN",0.789473684210526
"13","ANH_103_M_R05","Species richness",3,4.5,2.872,3.132,20.083,"ANH_103","RdN",0.789473684210526
"14","ANH_103_M_R05","Shannon diversity",2.828,4.891,3.032,2.828,10.834,"ANH_103","RdN",0.789473684210526
"15","ANH_103_M_R05","Simpson diversity",2.667,2.667,1.679,2.667,5.957,"ANH_103","RdN",0.789473684210526
"16","ANH_103_M_R02","Species richness",2,2,0.401,2,3.222,"ANH_103","RdN",0.789473684210526
"17","ANH_103_M_R02","Shannon diversity",2,2.301,0.397,2,3.079,"ANH_103","RdN",0.789473684210526
"18","ANH_103_M_R02","Simpson diversity",2,3,0.712,2,4.396,"ANH_103","RdN",0.789473684210526
"19","ANH_103_M_R06","Species richness",2,2.333,0.943,2.018,8.09,"ANH_103","RdN",0.789473684210526
