"","Bosque Ripario","Palma"
"Carollia castanea",4,1
"Carollia perspicillata",71,43
"Artibeus planirostris",21,2
"Artibeus lituratus",20,80
"Carollia brevicauda",22,12
"Phyllostomus discolor",15,11
"Uroderma convexum",2,2
"Glossophaga soricina",6,4
"Noctilio leporinus",0,2
"Phyllostomus hastatus",8,10
"Lophostoma brasiliense",3,3
"Noctilio albiventris",0,2
"Rhogeessa io",1,0
"Artibeus anderseni",4,0
"Lampronycteris brachyotis",1,0
"Sturnira giannae",1,1
"Platyrrhinus helleri",1,0
"Micronycteris hirsuta",1,0
