"","Kale","Platero","Caracterizacion"
"Carollia castanea",4,0,1
"Carollia perspicillata",59,32,23
"Artibeus planirostris",22,1,0
"Artibeus lituratus",31,67,2
"Carollia brevicauda",23,8,3
"Phyllostomus discolor",19,5,2
"Uroderma convexum",1,2,1
"Glossophaga soricina",6,4,0
"Noctilio leporinus",0,2,0
"Phyllostomus hastatus",10,8,0
"Lophostoma brasiliense",3,3,0
"Noctilio albiventris",0,2,0
"Rhogeessa io",1,0,0
"Artibeus anderseni",1,0,3
"Lampronycteris brachyotis",0,0,1
"Sturnira giannae",1,0,1
"Platyrrhinus helleri",0,0,1
"Micronycteris hirsuta",1,0,0
