"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","grp","cmb_smpEf","Temp","OxgD","COrgT","FDisp","TSolidDis","Nitratos","Silicatos","GrasAceit","SAAM","Alcalinid","Log_Cond","sed_Nitrog","sed_p_limo","sed_fosforo","sed_Sodio","sed_hierro","sed_Magnes","Cantos.rodados","Grava","Vrip","CDosel","ProfProm","Ancho","ProfCapFot","Plataf","Red.Hidrica","CuerpAgua","decimalLat","decimalLon","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche"
"1","ANH_11","Species richness",9,12,3.464,9.494,27.224,"Ar_At",0.355464159811986,29.96,0.87,42.13,0.38,40,2.3337,0.207,2.24,0.071,62.969,1.43136376415899,0.2686,18,0.00309,30.59,0.15,221.66,0,0,3,4,1.7,15,0.81,"Kale","CAÑO NEGRO Y AFLUENTES","Caño",7.40042103478,-73.8631269895,3143.08228299,657.371780177,788.304345388,788.304345388,7393.82443318,3140.11838373,4284.2546732,4879.51382428,3421.04954718,2047.9986448,57.7612879971,0,1.43969797613
"2","ANH_11","Shannon diversity",8.485,12,2.237,8.485,16.385,"Ar_At",0.355464159811986,29.96,0.87,42.13,0.38,40,2.3337,0.207,2.24,0.071,62.969,1.43136376415899,0.2686,18,0.00309,30.59,0.15,221.66,0,0,3,4,1.7,15,0.81,"Kale","CAÑO NEGRO Y AFLUENTES","Caño",7.40042103478,-73.8631269895,3143.08228299,657.371780177,788.304345388,788.304345388,7393.82443318,3140.11838373,4284.2546732,4879.51382428,3421.04954718,2047.9986448,57.7612879971,0,1.43969797613
"3","ANH_11","Simpson diversity",8,11.5,1.925,8,15.273,"Ar_At",0.355464159811986,29.96,0.87,42.13,0.38,40,2.3337,0.207,2.24,0.071,62.969,1.43136376415899,0.2686,18,0.00309,30.59,0.15,221.66,0,0,3,4,1.7,15,0.81,"Kale","CAÑO NEGRO Y AFLUENTES","Caño",7.40042103478,-73.8631269895,3143.08228299,657.371780177,788.304345388,788.304345388,7393.82443318,3140.11838373,4284.2546732,4879.51382428,3421.04954718,2047.9986448,57.7612879971,0,1.43969797613
"4","ANH_12","Species richness",8,12.5,5.303,8.723,36.025,"Ar_At",0.846063454759107,27.15,2.93,18.03,0.775,52,2.135,0.554,1.94,0.052,35.982,1.36172783601759,0.1645,8,0.00386,42.55,3.8,4.83,0,0,4,2,1,4.5,2.16,"Kale","CAÑO NEGRO Y AFLUENTES","Quebrada",7.39715997024,-73.840138,5702.50701035,245.332733129,1522.35401603,1522.35401603,7603.00393613,5695.82993406,2150.08287116,5954.15813108,5952.48793932,4356.68418962,0,0,85.2412681866
"5","ANH_12","Shannon diversity",7.579,12.5,2.895,7.579,18.175,"Ar_At",0.846063454759107,27.15,2.93,18.03,0.775,52,2.135,0.554,1.94,0.052,35.982,1.36172783601759,0.1645,8,0.00386,42.55,3.8,4.83,0,0,4,2,1,4.5,2.16,"Kale","CAÑO NEGRO Y AFLUENTES","Quebrada",7.39715997024,-73.840138,5702.50701035,245.332733129,1522.35401603,1522.35401603,7603.00393613,5695.82993406,2150.08287116,5954.15813108,5952.48793932,4356.68418962,0,0,85.2412681866
"6","ANH_12","Simpson diversity",7.143,11.75,2.632,7.143,16.908,"Ar_At",0.846063454759107,27.15,2.93,18.03,0.775,52,2.135,0.554,1.94,0.052,35.982,1.36172783601759,0.1645,8,0.00386,42.55,3.8,4.83,0,0,4,2,1,4.5,2.16,"Kale","CAÑO NEGRO Y AFLUENTES","Quebrada",7.39715997024,-73.840138,5702.50701035,245.332733129,1522.35401603,1522.35401603,7603.00393613,5695.82993406,2150.08287116,5954.15813108,5952.48793932,4356.68418962,0,0,85.2412681866
"7","ANH_13","Species richness",6,8,2.828,6.256,21.603,"Ar_At",0.780846063454759,26.6,6.01,20.105,0.1,18,2.5098,0.391,2.12,0.046,11.22,1.57978359661681,0.3356,10,0.00404,15.98,9.33,68.15,0,0,2,2,1.5,6,1.2,"Kale","CAÑO NEGRO Y AFLUENTES","Quebrada",7.38989504078,-73.8280400075,6266.48257857,1493.97765866,3002.04160307,3002.04160307,6336.64745952,7016.71945265,788.461330746,5312.69584555,7463.90153357,3888.45939747,0,0,13.7071031146
"8","ANH_13","Shannon diversity",5.657,8,1.839,5.657,11.604,"Ar_At",0.780846063454759,26.6,6.01,20.105,0.1,18,2.5098,0.391,2.12,0.046,11.22,1.57978359661681,0.3356,10,0.00404,15.98,9.33,68.15,0,0,2,2,1.5,6,1.2,"Kale","CAÑO NEGRO Y AFLUENTES","Quebrada",7.38989504078,-73.8280400075,6266.48257857,1493.97765866,3002.04160307,3002.04160307,6336.64745952,7016.71945265,788.461330746,5312.69584555,7463.90153357,3888.45939747,0,0,13.7071031146
"9","ANH_13","Simpson diversity",5.333,7.5,1.686,5.333,10.805,"Ar_At",0.780846063454759,26.6,6.01,20.105,0.1,18,2.5098,0.391,2.12,0.046,11.22,1.57978359661681,0.3356,10,0.00404,15.98,9.33,68.15,0,0,2,2,1.5,6,1.2,"Kale","CAÑO NEGRO Y AFLUENTES","Quebrada",7.38989504078,-73.8280400075,6266.48257857,1493.97765866,3002.04160307,3002.04160307,6336.64745952,7016.71945265,788.461330746,5312.69584555,7463.90153357,3888.45939747,0,0,13.7071031146
"10","ANH_14","Species richness",7,16,12,8.241,72.254,"Ar_At",0.556404230317274,27.49,4.91,21.2,0.03,48,2.7345,0.39,1.64,0.052,16.32,1.90308998699194,0.2016,8,0.00288,3.78,2,54.68,0,0,2,2,0.6,5,0.6,"Kale","CAÑO NEGRO Y AFLUENTES","Quebrada",7.36967897998,-73.8226230349,4628.03302338,1502.43908388,4687.1308849,4687.1308849,4649.41053925,4957.63449374,1183.52224662,5936.36807041,8455.25438281,3637.10318469,0,0,34.180294317
