"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","AGUA BONITA-PAREDES","Species richness",25,40.042,10.019,29.587,74.328,2,31,25,0.6243,19,6,0,0,0,0,0,0,0,0
"2","AGUA BONITA-PAREDES","Shannon diversity",23.705,40.042,4.907,30.425,49.658,2,31,25,0.6243,19,6,0,0,0,0,0,0,0,0
"3","AGUA BONITA-PAREDES","Simpson diversity",22.349,39.25,5.128,29.199,49.301,2,31,25,0.6243,19,6,0,0,0,0,0,0,0,0
"4","CAÑO NEGRO Y AFLUENTES","Species richness",39,83.462,34.184,50.692,208.073,13,137,39,0.8795,17,3,3,4,2,3,1,2,3,0
"5","CAÑO NEGRO Y AFLUENTES","Shannon diversity",28.073,36.095,3.622,28.996,43.195,13,137,39,0.8795,17,3,3,4,2,3,1,2,3,0
"6","CAÑO NEGRO Y AFLUENTES","Simpson diversity",22.917,25.295,1.788,22.917,28.8,13,137,39,0.8795,17,3,3,4,2,3,1,2,3,0
"7","CAÑO RAICERO","Species richness",4,4,0,NA,NA,1,4,4,1,4,0,0,0,0,0,0,0,0,0
"8","CAÑO RAICERO","Shannon diversity",4,0,0,4,0,1,4,4,1,4,0,0,0,0,0,0,0,0,0
"9","CAÑO RAICERO","Simpson diversity",4,4,0,4,4,1,4,4,1,4,0,0,0,0,0,0,0,0,0
"10","CORREDOR","Species richness",20,61.667,49.721,26.589,283.476,6,51,20,0.8115,10,1,2,3,3,1,0,0,0,0
"11","CORREDOR","Shannon diversity",15.88,23.847,5.191,15.88,34.02,6,51,20,0.8115,10,1,2,3,3,1,0,0,0,0
"12","CORREDOR","Simpson diversity",13.618,15.345,1.92,13.618,19.109,6,51,20,0.8115,10,1,2,3,3,1,0,0,0,0
"13","LA MORENA-TRECE","Species richness",39,46.41,4.955,41.251,63.396,3,70,39,0.8624,17,13,9,0,0,0,0,0,0,0
"14","LA MORENA-TRECE","Shannon diversity",35.42,43.919,3.57,36.922,50.916,3,70,39,0.8624,17,13,9,0,0,0,0,0,0,0
"15","LA MORENA-TRECE","Simpson diversity",32.667,40.583,2.505,35.674,45.493,3,70,39,0.8624,17,13,9,0,0,0,0,0,0,0
"16","MONTECRISTO-YARIRI","Species richness",21,31.083,8.513,23.394,63.465,3,37,21,0.782,11,4,6,0,0,0,0,0,0,0
"17","MONTECRISTO-YARIRI","Shannon diversity",18.664,25.611,4.312,18.664,34.062,3,37,21,0.782,11,4,6,0,0,0,0,0,0,0
"18","MONTECRISTO-YARIRI","Simpson diversity",16.901,20.515,1.951,16.901,24.339,3,37,21,0.782,11,4,6,0,0,0,0,0,0,0
"19","RIO MAGDALENA","Species richness",39,50.378,7.624,42.449,76.535,5,92,39,0.8643,16,9,3,6,5,0,0,0,0,0
"20","RIO MAGDALENA","Shannon diversity",32.45,40.177,2.883,34.526,45.827,5,92,39,0.8643,16,9,3,6,5,0,0,0,0,0
"21","RIO MAGDALENA","Simpson diversity",28.213,32.4,2.09,28.304,36.496,5,92,39,0.8643,16,9,3,6,5,0,0,0,0,0
"22","SALADO-MAGDALENA","Species richness",33,48.482,10.302,37.726,83.719,4,63,33,0.7883,17,7,4,5,0,0,0,0,0,0
"23","SALADO-MAGDALENA","Shannon diversity",28.212,38.772,4,30.933,46.612,4,63,33,0.7883,17,7,4,5,0,0,0,0,0,0
"24","SALADO-MAGDALENA","Simpson diversity",24.652,30.143,2.657,24.934,35.351,4,63,33,0.7883,17,7,4,5,0,0,0,0,0,0
"25","SOGAMOSITO-PAREDES","Species richness",32,37.654,4.153,33.56,52.486,4,56,32,0.8456,14,13,4,1,0,0,0,0,0,0
"26","SOGAMOSITO-PAREDES","Shannon diversity",29.052,37.892,3.053,31.908,43.877,4,56,32,0.8456,14,13,4,1,0,0,0,0,0,0
"27","SOGAMOSITO-PAREDES","Simpson diversity",26.576,37.508,2.958,31.71,43.306,4,56,32,0.8456,14,13,4,1,0,0,0,0,0,0
