"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_11_D","Species richness",9,13.457,7.128,9.49,49.545,"ANH_11","Ar_At",0.355464159811986
"2","ANH_11_D","Shannon diversity",3.79,4.04,0.464,3.79,4.95,"ANH_11","Ar_At",0.355464159811986
"3","ANH_11_D","Simpson diversity",2.486,2.523,0.338,2.486,3.186,"ANH_11","Ar_At",0.355464159811986
"4","ANH_12_D","Species richness",8,22.318,12.902,11.16,72.887,"ANH_12","Ar_At",0.846063454759107
"5","ANH_12_D","Shannon diversity",4.739,7.52,2.913,4.739,13.229,"ANH_12","Ar_At",0.846063454759107
"6","ANH_12_D","Simpson diversity",3.408,3.85,1.188,3.408,6.178,"ANH_12","Ar_At",0.846063454759107
"7","ANH_13_D","Species richness",6,6.489,1.298,6.029,14.289,"ANH_13","Ar_At",0.780846063454759
"8","ANH_13_D","Shannon diversity",3.677,3.927,0.556,3.677,5.016,"ANH_13","Ar_At",0.780846063454759
"9","ANH_13_D","Simpson diversity",2.77,2.883,0.463,2.77,3.791,"ANH_13","Ar_At",0.780846063454759
"10","ANH_14_D","Species richness",7,7.159,0.518,7.007,10.42,"ANH_14","Ar_At",0.556404230317274
"11","ANH_14_D","Shannon diversity",6.089,7.156,1.201,6.089,9.509,"ANH_14","Ar_At",0.556404230317274
"12","ANH_14_D","Simpson diversity",5.444,7,1.411,5.444,9.766,"ANH_14","Ar_At",0.556404230317274
"13","ANH_15_D","Species richness",15,15.663,1.299,15.057,22.771,"ANH_15","Ar_At",0.520564042303173
"14","ANH_15_D","Shannon diversity",8.085,8.454,0.586,8.085,9.603,"ANH_15","Ar_At",0.520564042303173
"15","ANH_15_D","Simpson diversity",5.864,6.03,0.503,5.864,7.016,"ANH_15","Ar_At",0.520564042303173
"16","ANH_16_D","Species richness",9,9,0.507,9,10.451,"ANH_16","Ar_At",0.444183313748531
"17","ANH_16_D","Shannon diversity",4.999,5.105,0.333,4.999,5.758,"ANH_16","Ar_At",0.444183313748531
"18","ANH_16_D","Simpson diversity",3.786,3.84,0.308,3.786,4.444,"ANH_16","Ar_At",0.444183313748531
"19","ANH_17_D","Species richness",4,4.963,2.095,4.072,16.835,"ANH_17","Ar_At",0.411280846063455
"20","ANH_17_D","Shannon diversity",2.587,2.824,0.297,2.587,3.406,"ANH_17","Ar_At",0.411280846063455
"21","ANH_17_D","Simpson diversity",2.285,2.404,0.249,2.285,2.892,"ANH_17","Ar_At",0.411280846063455
"22","ANH_18_D","Species richness",17,26.951,10.222,18.886,69.517,"ANH_18","Ar_At",0.846063454759107
"23","ANH_18_D","Shannon diversity",8.193,8.733,0.688,8.193,10.083,"ANH_18","Ar_At",0.846063454759107
"24","ANH_18_D","Simpson diversity",5.987,6.136,0.469,5.987,7.056,"ANH_18","Ar_At",0.846063454759107
"25","ANH_19_D","Species richness",20,30.516,10.133,22.148,71.482,"ANH_19","Ar_At",1.08754406580494
"26","ANH_19_D","Shannon diversity",12.918,16.213,2.829,12.918,21.757,"ANH_19","Ar_At",1.08754406580494
"27","ANH_19_D","Simpson diversity",9.116,10.311,1.738,9.116,13.718,"ANH_19","Ar_At",1.08754406580494
"28","ANH_20_D","Species richness",14,20.162,7.451,14.959,53.603,"ANH_20","Ar_At",1.01410105757932
"29","ANH_20_D","Shannon diversity",8.795,10.196,1.23,8.795,12.607,"ANH_20","Ar_At",1.01410105757932
"30","ANH_20_D","Simpson diversity",6.659,7.245,1.016,6.659,9.236,"ANH_20","Ar_At",1.01410105757932
"31","ANH_21_D","Species richness",20,33.292,12.277,22.852,81.96,"ANH_21","Ar_At",1.12808460634548
"32","ANH_21_D","Shannon diversity",13.79,18.018,2.927,13.79,23.754,"ANH_21","Ar_At",1.12808460634548
"33","ANH_21_D","Simpson diversity",10.484,12.308,2.138,10.484,16.498,"ANH_21","Ar_At",1.12808460634548
"34","ANH_291_D","Species richness",11,15.421,7.073,11.486,51.238,"ANH_291","Ar_At",0.7475910693302
"35","ANH_291_D","Shannon diversity",6.698,7.667,1.176,6.698,9.973,"ANH_291","Ar_At",0.7475910693302
"36","ANH_291_D","Simpson diversity",4.481,4.778,1.041,4.481,6.819,"ANH_291","Ar_At",0.7475910693302
"37","ANH_292_D","Species richness",16,25.963,10.222,17.89,68.508,"ANH_292","Ar_At",0.452996474735605
"38","ANH_292_D","Shannon diversity",6.635,6.953,0.511,6.635,7.955,"ANH_292","Ar_At",0.452996474735605
"39","ANH_292_D","Simpson diversity",4.386,4.442,0.356,4.386,5.14,"ANH_292","Ar_At",0.452996474735605
"40","ANH_293_D","Species richness",14,25.89,12.781,16.134,80.244,"ANH_293","Ar_At",0.746768507638073
"41","ANH_293_D","Shannon diversity",10.772,15.842,3.362,10.772,22.432,"ANH_293","Ar_At",0.746768507638073
"42","ANH_293_D","Simpson diversity",8.758,11.449,2.677,8.758,16.695,"ANH_293","Ar_At",0.746768507638073
"43","ANH_294_D","Species richness",10,10.985,1.847,10.089,20.93,"ANH_294","Ar_At",0.588249118683901
"44","ANH_294_D","Shannon diversity",5.549,6.02,0.708,5.549,7.408,"ANH_294","Ar_At",0.588249118683901
