"","Río Magdalena"
"Triportheus magdalenae",2
"Astyanax magdalenae",3
"Astyanax sp. 1",16
"Hyphessobrycon natagaima aff. natagaima",2
"Argopleura magdalenensis",61
"Creagrutus magdalenae",73
"Hemibrycon",1
"Acestrocephalus anomalus",5
"Crossoloricaria variegata",2
"Sturisomatichthys aureus",1
"Pimelodus grosskopfii",9
"Pimelodus yuma",28
"Caquetaia kraussii",1
"Poecilia caucana",11
"Characidium zebra cf. zebra",1
"Parodon magdalenensis",1
"Astyanax sp. 2",2
"Creagrutus affinis",2
"Ancistrus caucanus",1
"Pimelodella floridablancaensis",1
