"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Caño","Species richness",43,87.462,34.184,54.692,212.073,13,173,43,0.9045,17,3,3,7,0,2,2,1,4,1
"2","Caño","Shannon diversity",30.633,37.52,3.613,30.633,44.602,13,173,43,0.9045,17,3,3,7,0,2,2,1,4,1
"3","Caño","Simpson diversity",25.172,27.111,1.603,25.172,30.254,13,173,43,0.9045,17,3,3,7,0,2,2,1,4,1
"4","Ciénaga","Species richness",18,25.714,8.783,19.292,64.066,7,52,18,0.8962,6,2,4,1,4,1,0,0,0,0
"5","Ciénaga","Shannon diversity",15.059,18.354,2.56,15.059,23.372,7,52,18,0.8962,6,2,4,1,4,1,0,0,0,0
"6","Ciénaga","Simpson diversity",13.386,15.297,1.527,13.386,18.29,7,52,18,0.8962,6,2,4,1,4,1,0,0,0,0
"7","Quebrada","Species richness",44,47.75,3.541,44.784,61.932,16,224,44,0.9685,8,8,2,4,5,3,3,5,1,1
"8","Quebrada","Shannon diversity",33.794,36.792,1.452,33.945,39.639,16,224,44,0.9685,8,8,2,4,5,3,3,5,1,1
"9","Quebrada","Simpson diversity",28.38,30.393,1.474,28.38,33.282,16,224,44,0.9685,8,8,2,4,5,3,3,5,1,1
"10","Río Magdalena","Species richness",39,50.378,7.624,42.449,76.535,5,92,39,0.8643,16,9,3,6,5,0,0,0,0,0
"11","Río Magdalena","Shannon diversity",32.45,40.177,2.941,34.412,45.941,5,92,39,0.8643,16,9,3,6,5,0,0,0,0,0
"12","Río Magdalena","Simpson diversity",28.213,32.4,2.159,28.213,36.631,5,92,39,0.8643,16,9,3,6,5,0,0,0,0,0
