"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_11_D","Species richness",9,13.457,7.128,9.49,49.545,"ANH_11","Ar_At",0.324452435436417
"2","ANH_11_D","Shannon diversity",3.79,4.04,0.465,3.79,4.951,"ANH_11","Ar_At",0.324452435436417
"3","ANH_11_D","Simpson diversity",2.486,2.523,0.309,2.486,3.128,"ANH_11","Ar_At",0.324452435436417
"4","ANH_12_D","Species richness",8,22.318,12.902,11.16,72.887,"ANH_12","Ar_At",0.688460281137627
"5","ANH_12_D","Shannon diversity",4.739,7.52,2.678,4.739,12.768,"ANH_12","Ar_At",0.688460281137627
"6","ANH_12_D","Simpson diversity",3.408,3.85,1.272,3.408,6.344,"ANH_12","Ar_At",0.688460281137627
"7","ANH_13_D","Species richness",6,6.489,1.298,6.029,14.289,"ANH_13","Ar_At",0.595292579274273
"8","ANH_13_D","Shannon diversity",3.677,3.927,0.578,3.677,5.06,"ANH_13","Ar_At",0.595292579274273
"9","ANH_13_D","Simpson diversity",2.77,2.883,0.45,2.77,3.765,"ANH_13","Ar_At",0.595292579274273
"10","ANH_14_D","Species richness",7,7.159,0.518,7.007,10.42,"ANH_14","Ar_At",0.485289310232102
"11","ANH_14_D","Shannon diversity",6.089,7.156,1.147,6.089,9.403,"ANH_14","Ar_At",0.485289310232102
"12","ANH_14_D","Simpson diversity",5.444,7,1.389,5.444,9.723,"ANH_14","Ar_At",0.485289310232102
"13","ANH_15_D","Species richness",15,15.663,1.299,15.057,22.771,"ANH_15","Ar_At",0.396861719516182
"14","ANH_15_D","Shannon diversity",8.085,8.454,0.606,8.085,9.642,"ANH_15","Ar_At",0.396861719516182
"15","ANH_15_D","Simpson diversity",5.864,6.03,0.555,5.864,7.117,"ANH_15","Ar_At",0.396861719516182
"16","ANH_16_D","Species richness",9,9,0.495,9,10.412,"ANH_16","Ar_At",1.30957829355999
"17","ANH_16_D","Shannon diversity",5.284,5.388,0.31,5.284,5.996,"ANH_16","Ar_At",1.30957829355999
"18","ANH_16_D","Simpson diversity",4.019,4.078,0.317,4.019,4.698,"ANH_16","Ar_At",1.30957829355999
"19","ANH_17_D","Species richness",4,4.963,2.095,4.072,16.835,"ANH_17","Ar_At",0.440013076168683
"20","ANH_17_D","Shannon diversity",2.587,2.824,0.329,2.587,3.468,"ANH_17","Ar_At",0.440013076168683
"21","ANH_17_D","Simpson diversity",2.285,2.404,0.279,2.285,2.952,"ANH_17","Ar_At",0.440013076168683
"22","ANH_18_D","Species richness",17,26.951,10.222,18.886,69.517,"ANH_18","Ar_At",0.688460281137627
"23","ANH_18_D","Shannon diversity",8.193,8.733,0.691,8.193,10.088,"ANH_18","Ar_At",0.688460281137627
"24","ANH_18_D","Simpson diversity",5.987,6.136,0.51,5.987,7.135,"ANH_18","Ar_At",0.688460281137627
"25","ANH_19_D","Species richness",20,30.516,10.133,22.148,71.482,"ANH_19","Ar_At",1.14743380189604
"26","ANH_19_D","Shannon diversity",12.918,16.213,2.569,12.918,21.249,"ANH_19","Ar_At",1.14743380189604
"27","ANH_19_D","Simpson diversity",9.116,10.311,1.83,9.116,13.899,"ANH_19","Ar_At",1.14743380189604
"28","ANH_20_D","Species richness",14,20.162,7.451,14.959,53.603,"ANH_20","Ar_At",1.14743380189604
"29","ANH_20_D","Shannon diversity",8.795,10.196,1.328,8.795,12.798,"ANH_20","Ar_At",1.14743380189604
"30","ANH_20_D","Simpson diversity",6.659,7.245,1.111,6.659,9.423,"ANH_20","Ar_At",1.14743380189604
"31","ANH_21_D","Species richness",20,33.292,12.277,22.852,81.96,"ANH_21","Ar_At",1.14743380189604
"32","ANH_21_D","Shannon diversity",13.79,18.018,2.79,13.79,23.487,"ANH_21","Ar_At",1.14743380189604
"33","ANH_21_D","Simpson diversity",10.484,12.308,2.029,10.484,16.285,"ANH_21","Ar_At",1.14743380189604
"34","ANH_291_D","Species richness",11,15.421,7.073,11.486,51.238,"ANH_291","Ar_At",0.505720823798627
"35","ANH_291_D","Shannon diversity",6.698,7.667,1.176,6.698,9.972,"ANH_291","Ar_At",0.505720823798627
"36","ANH_291_D","Simpson diversity",4.481,4.778,0.979,4.481,6.697,"ANH_291","Ar_At",0.505720823798627
"37","ANH_292_D","Species richness",16,25.963,10.222,17.89,68.508,"ANH_292","Ar_At",0.458973520758418
"38","ANH_292_D","Shannon diversity",6.635,6.953,0.542,6.635,8.015,"ANH_292","Ar_At",0.458973520758418
"39","ANH_292_D","Simpson diversity",4.386,4.442,0.369,4.386,5.166,"ANH_292","Ar_At",0.458973520758418
"40","ANH_293_D","Species richness",14,25.89,12.781,16.134,80.244,"ANH_293","Ar_At",0.743216737495914
"41","ANH_293_D","Shannon diversity",10.772,15.842,3.953,10.772,23.589,"ANH_293","Ar_At",0.743216737495914
"42","ANH_293_D","Simpson diversity",8.758,11.449,2.564,8.758,16.475,"ANH_293","Ar_At",0.743216737495914
"43","ANH_294_D","Species richness",10,10.985,1.847,10.089,20.93,"ANH_294","Ar_At",0.551814318404707
"44","ANH_294_D","Shannon diversity",5.549,6.02,0.78,5.549,7.549,"ANH_294","Ar_At",0.551814318404707
"45","ANH_294_D","Simpson diversity",3.693,3.848,0.577,3.693,4.978,"ANH_294","Ar_At",0.551814318404707
"46","ANH_295_D","Species richness",11,13.216,3.349,11.261,29.785,"ANH_295","Ar_At",0.669499836547891
"47","ANH_295_D","Shannon diversity",6.502,7.213,0.889,6.502,8.954,"ANH_295","Ar_At",0.669499836547891
"48","ANH_295_D","Simpson diversity",4.605,4.875,0.866,4.605,6.573,"ANH_295","Ar_At",0.669499836547891
"49","ANH_297_D","Species richness",14,17.945,5.224,14.549,42.361,"ANH_297","Ar_At",0.352664269369075
"50","ANH_297_D","Shannon diversity",8.844,10.057,1.262,8.844,12.531,"ANH_297","Ar_At",0.352664269369075
"51","ANH_297_D","Simpson diversity",6.587,7.141,0.998,6.587,9.096,"ANH_297","Ar_At",0.352664269369075
"52","ANH_298_D","Species richness",17,37.812,17.196,22.062,102.579,"ANH_298","Ar_At",1.23586139261196
"53","ANH_298_D","Shannon diversity",10.113,11.743,1.51,10.113,14.703,"ANH_298","Ar_At",1.23586139261196
"54","ANH_298_D","Simpson diversity",7.753,8.255,0.886,7.753,9.992,"ANH_298","Ar_At",1.23586139261196
"55","ANH_299_C","Species richness",3,3,0.393,3,4.018,"ANH_299","Ar_At",1.18633540372671
"56","ANH_299_C","Shannon diversity",2.177,2.31,0.382,2.177,3.059,"ANH_299","Ar_At",1.18633540372671
"57","ANH_299_C","Simpson diversity",1.78,1.866,0.443,1.78,2.734,"ANH_299","Ar_At",1.18633540372671
"58","ANH_299_D","Species richness",8,15.86,11.463,8.969,71.723,"ANH_299","Ar_At",1.18633540372671
"59","ANH_299_D","Shannon diversity",3.846,4.39,0.777,3.846,5.913,"ANH_299","Ar_At",1.18633540372671
"60","ANH_299_D","Simpson diversity",2.978,3.087,0.343,2.978,3.759,"ANH_299","Ar_At",1.18633540372671
"61","ANH_300_D","Species richness",9,9.981,2.22,9.07,22.723,"ANH_300","Ar_At",0.688460281137627
"62","ANH_300_D","Shannon diversity",6.897,7.561,0.645,6.897,8.826,"ANH_300","Ar_At",0.688460281137627
"63","ANH_300_D","Simpson diversity",5.879,6.475,0.823,5.879,8.089,"ANH_300","Ar_At",0.688460281137627
"64","ANH_302_D","Species richness",11,13.626,3.438,11.371,29.616,"ANH_302","Ar_At",1.16639424648578
"65","ANH_302_D","Shannon diversity",5.314,5.931,0.886,5.314,7.669,"ANH_302","Ar_At",1.16639424648578
"66","ANH_302_D","Simpson diversity",3.636,3.79,0.516,3.636,4.801,"ANH_302","Ar_At",1.16639424648578
"67","ANH_302_C","Species richness",9,14.938,7.195,9.921,47.259,"ANH_302","Ar_At",1.16639424648578
"68","ANH_302_C","Shannon diversity",6.802,10.08,2.767,6.802,15.503,"ANH_302","Ar_At",1.16639424648578
"69","ANH_302_C","Simpson diversity",5.405,7.037,2.308,5.405,11.56,"ANH_302","Ar_At",1.16639424648578
"70","ANH_303_D","Species richness",13,22.941,10.162,14.894,65.166,"ANH_303","Ar_At",0.880026152337365
"71","ANH_303_D","Shannon diversity",6.237,6.657,0.579,6.237,7.792,"ANH_303","Ar_At",0.880026152337365
"72","ANH_303_D","Simpson diversity",4.564,4.662,0.423,4.564,5.491,"ANH_303","Ar_At",0.880026152337365
"73","ANH_304_D","Species richness",13,20.929,11.562,13.978,77.266,"ANH_304","Ar_At",0.87741091860085
"74","ANH_304_D","Shannon diversity",6.936,7.586,0.942,6.936,9.432,"ANH_304","Ar_At",0.87741091860085
"75","ANH_304_D","Simpson diversity",4.978,5.162,0.6,4.978,6.337,"ANH_304","Ar_At",0.87741091860085
"76","ANH_305_D","Species richness",23,23.746,1.257,23.077,30.247,"ANH_305","Ar_At",1.01794704151684
"77","ANH_305_D","Shannon diversity",13.929,14.846,0.999,13.929,16.804,"ANH_305","Ar_At",1.01794704151684
"78","ANH_305_D","Simpson diversity",9.942,10.43,1.094,9.942,12.575,"ANH_305","Ar_At",1.01794704151684
"79","ANH_305_C","Species richness",18,38.025,19.969,21.93,120.048,"ANH_305","Ar_At",1.01794704151684
"80","ANH_305_C","Shannon diversity",8.241,10.09,1.895,8.241,13.804,"ANH_305","Ar_At",1.01794704151684
"81","ANH_305_C","Simpson diversity",5.127,5.376,0.86,5.127,7.062,"ANH_305","Ar_At",1.01794704151684
"82","ANH_32_D","Species richness",15,19.128,4.842,15.667,40.558,"ANH_32","Ar_At",0.600555737169009
"83","ANH_32_D","Shannon diversity",7.603,8.355,0.844,7.603,10.008,"ANH_32","Ar_At",0.600555737169009
"84","ANH_32_D","Simpson diversity",5.129,5.335,0.702,5.129,6.712,"ANH_32","Ar_At",0.600555737169009
