"","Caño","Quebrada","Ciénaga","Río Magdalena"
"Astyanax sp. 2",250,19,34,2
"Hyphessobrycon natagaima",328,19,128,2
"Gephyrocharax melanocheir",6,51,0,0
"Roeboides dayi",32,11,27,0
"Poecilia caucana",54,70,1,12
"Cyphocharax magdalenae",85,1,12,0
"Gasteropelecus maculatus",3,19,0,0
"Astyanax magdalenae",47,108,19,3
"Caquetaia kraussii",64,6,10,1
"Hoplias malabaricus",3,7,2,0
"Eigenmannia camposi",79,26,35,0
"Andinoacara latifrons",17,22,6,0
"Rineloricaria magdalenae",40,10,0,0
"Astyanax sp. 1",6,11,2,35
"Astyanax yariguies",0,53,0,0
"Creagrutus affinis",0,7,0,2
"Geophagus steindachneri",1,6,0,0
"Rivulus xi",6,23,0,0
"Ctenolucius hujeta",37,1,3,0
"Creagrutus magdalenae",1,0,0,93
"Saccoderma hastata",181,80,0,1
"Characidium boavistae",3,0,0,1
"Characidium zebra",83,42,0,4
"Rhamdia guatemalensis",8,3,0,1
"Parodon magdalenensis",0,0,0,2
"Argopleura magdalenensis",0,0,0,76
"Hemibrycon",0,0,0,13
"Trichomycterus sp. 2",0,0,0,1
"Sturisomatichthys aureus",1,9,0,11
"Pimelodella floridablancaensis",0,1,0,8
"Astyanax filiferus",0,10,0,2
"Pimelodus grosskopfii",0,0,0,15
"Pimelodus yuma",0,0,0,35
"Pseudopimelodus atricaudus",0,0,0,1
"Megaleporinus muyscorum",0,0,0,1
"Ancistrus caucanus",0,2,0,2
"Cetopsis othonops",0,0,0,1
"Trachelyopterus insignis",13,0,0,1
"Triportheus magdalenae",0,0,0,2
"Acestrocephalus anomalus",0,0,0,5
"Crossoloricaria variegata",0,0,0,2
"Brachyhypopomus occidentalis",0,12,0,0
"Synbranchus marmoratus",3,0,1,0
"Prochilodus magdalenae",3,0,2,0
"Brycon moorei",1,0,0,0
"Nanocheirodon insignis",90,22,0,0
"Hoplosternum magdalenae",3,0,0,0
"Hypostomus hondae",0,1,0,0
"Bunocephalus colombianus",1,7,0,0
"Leporinus striatus",1,1,0,0
"Trichopodus pectoralis",18,0,8,0
"Apteronotus milesi",0,4,0,0
"Callichthys oibaensis",1,0,0,0
"Sternopygus aequilabiatus",1,0,0,0
"Kronoheros umbrifer",0,1,0,0
