"","Platero","Caracterizacion","Kale"
"Cyphocharax magdalenae",60,11,154
"Roeboides dayi",43,7,1
"Eigenmannia camposi",1,0,0
"Rineloricaria magdalenae",53,0,24
"Astyanax magdalenae",93,73,29
"Andinoacara latifrons",20,33,46
"Caquetaia kraussii",22,1,14
"Gasteropelecus maculatus",8,9,27
"Sternopygus aequilabiatus",2,0,0
"Astyanax sp. 1",33,39,0
"Geophagus steindachneri",1,4,1
"Triportheus magdalenae",6,8,15
"Trachelyopterus insignis",4,5,2
"Curimata mivartii",1,1,1
"Astyanax filiferus",0,1,19
"Bunocephalus colombianus",5,5,0
"Astyanax yariguies",4,0,3
"Megaleporinus muyscorum",1,0,5
"Ichthyoelephas longirostris",0,0,1
"Prochilodus magdalenae",24,0,8
"Crossoloricaria variegata",0,0,4
"Loricariichthys brunneus",0,0,1
"Pimelodus grosskopfii",2,0,14
"Pimelodus yuma",21,0,12
"Pseudopimelodus atricaudus",0,0,2
"Argopleura magdalenensis",0,0,6
"Cynopotamus magdalenae",0,0,1
"Sturisomatichthys aureus",47,7,2
"Potamotrygon magdalenae",0,0,1
"Crossoloricaria cephalaspis",0,0,1
"Dasyloricaria filamentosa",9,3,1
"Rhamdia guatemalensis",4,4,0
"Astyanax sp. 2",0,13,48
"Hoplosternum magdalenae",0,0,1
"Hypostomus hondae",12,0,14
"Trichopodus pectoralis",23,0,5
"Ancistrus caucanus",30,0,0
"Oreochromis niloticus",2,0,1
"Hoplias",1,0,0
"Ctenolucius hujeta",1,0,1
"Leporinus striatus",1,1,0
"Hyphessobrycon natagaima",0,0,3
"Hoplias malabaricus",1,0,0
