"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Quebrada","Species richness",42,47.998,6.479,43.07,75.611,2925,42,0.9979
"2","Quebrada","Shannon diversity",14.713,14.839,0.295,14.713,15.418,2925,42,0.9979
"3","Quebrada","Simpson diversity",9.494,9.521,0.265,9.494,10.04,2925,42,0.9979
"4","Ciénaga","Species richness",16,21.975,6.456,17.066,49.494,240,16,0.9751
"5","Ciénaga","Shannon diversity",5.122,5.377,0.49,5.122,6.338,240,16,0.9751
"6","Ciénaga","Simpson diversity",3.214,3.244,0.28,3.214,3.794,240,16,0.9751
"7","Caño","Species richness",33,40.995,11.654,33.987,97.777,1492,33,0.9973
"8","Caño","Shannon diversity",19.656,19.923,0.387,19.656,20.682,1492,33,0.9973
"9","Caño","Simpson diversity",16.517,16.69,0.419,16.517,17.512,1492,33,0.9973
"10","Río Magdalena","Species richness",21,34.47,12.433,23.892,83.745,447,21,0.9799
"11","Río Magdalena","Shannon diversity",4.857,5.055,0.33,4.857,5.702,447,21,0.9799
"12","Río Magdalena","Simpson diversity",2.803,2.815,0.182,2.803,3.172,447,21,0.9799
