"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","AGUA BONITA-PAREDES","Species richness",24,25.786,1.814,24.343,33.298,2,38,24,0.9307,10,14,0,0,0,0,0,0,0,0
"2","AGUA BONITA-PAREDES","Shannon diversity",22.802,25.786,1.92,22.802,29.548,2,38,24,0.9307,10,14,0,0,0,0,0,0,0,0
"3","AGUA BONITA-PAREDES","Simpson diversity",21.879,25.607,1.796,22.086,29.128,2,38,24,0.9307,10,14,0,0,0,0,0,0,0,0
"4","CAÑO NEGRO Y AFLUENTES","Species richness",37,40.769,3.776,37.736,56.31,13,160,37,0.9617,7,6,5,4,4,3,1,2,1,4
"5","CAÑO NEGRO Y AFLUENTES","Shannon diversity",29.562,32.705,1.759,29.562,36.153,13,160,37,0.9617,7,6,5,4,4,3,1,2,1,4
"6","CAÑO NEGRO Y AFLUENTES","Simpson diversity",25.447,27.835,1.58,25.447,30.931,13,160,37,0.9617,7,6,5,4,4,3,1,2,1,4
"7","CAÑO RAICERO","Species richness",9,9,0,NA,NA,1,9,9,1,9,0,0,0,0,0,0,0,0,0
"8","CAÑO RAICERO","Shannon diversity",9,0,0,9,0,1,9,9,1,9,0,0,0,0,0,0,0,0,0
"9","CAÑO RAICERO","Simpson diversity",9,9,0,9,9,1,9,9,1,9,0,0,0,0,0,0,0,0,0
"10","CORREDOR","Species richness",23,24.111,1.597,23.14,31.848,6,70,23,0.9643,4,6,3,5,5,0,0,0,0,0
"11","CORREDOR","Shannon diversity",20.441,22.67,1.29,20.441,25.199,6,70,23,0.9643,4,6,3,5,5,0,0,0,0,0
"12","CORREDOR","Simpson diversity",18.846,21.351,1.31,18.846,23.918,6,70,23,0.9643,4,6,3,5,5,0,0,0,0,0
"13","LA MORENA-TRECE","Species richness",37,40.03,2.746,37.665,50.818,3,80,37,0.9405,10,11,16,0,0,0,0,0,0,0
"14","LA MORENA-TRECE","Shannon diversity",34.201,38.087,2.268,34.201,42.531,3,80,37,0.9405,10,11,16,0,0,0,0,0,0,0
"15","LA MORENA-TRECE","Simpson diversity",32.323,36.04,1.819,32.475,39.604,3,80,37,0.9405,10,11,16,0,0,0,0,0,0,0
"16","MONTECRISTO-YARIRI","Species richness",18,22.762,4.132,19.097,38.676,3,27,18,0.7821,10,7,1,0,0,0,0,0,0,0
"17","MONTECRISTO-YARIRI","Shannon diversity",16.682,23.265,3.691,16.682,30.5,3,27,18,0.7821,10,7,1,0,0,0,0,0,0,0
"18","MONTECRISTO-YARIRI","Simpson diversity",15.511,23.733,2.759,18.327,29.14,3,27,18,0.7821,10,7,1,0,0,0,0,0,0,0
"19","RIO MAGDALENA","Species richness",30,48,13.008,35.053,94.125,5,58,30,0.7783,15,5,7,3,0,0,0,0,0,0
"20","RIO MAGDALENA","Shannon diversity",25.954,37.335,4.803,27.921,46.749,5,58,30,0.7783,15,5,7,3,0,0,0,0,0,0
"21","RIO MAGDALENA","Simpson diversity",23.041,30.255,3.487,23.421,37.088,5,58,30,0.7783,15,5,7,3,0,0,0,0,0,0
"22","SALADO-MAGDALENA","Species richness",34,42.438,5.877,36.46,62.943,4,63,34,0.8352,15,10,8,1,0,0,0,0,0,0
"23","SALADO-MAGDALENA","Shannon diversity",30.464,39.747,3.024,33.82,45.674,4,63,34,0.8352,15,10,8,1,0,0,0,0,0,0
"24","SALADO-MAGDALENA","Simpson diversity",27.755,36.869,2.785,31.409,42.328,4,63,34,0.8352,15,10,8,1,0,0,0,0,0,0
"25","SOGAMOSITO-PAREDES","Species richness",40,44.527,3.507,41.181,57.352,4,87,40,0.913,13,14,6,7,0,0,0,0,0,0
"26","SOGAMOSITO-PAREDES","Shannon diversity",35.494,41.787,2.689,36.517,47.056,4,87,40,0.913,13,14,6,7,0,0,0,0,0,0
"27","SOGAMOSITO-PAREDES","Simpson diversity",32.209,38.166,2.337,33.585,42.746,4,87,40,0.913,13,14,6,7,0,0,0,0,0,0
