"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","LA MORENA-TRECE","Species richness",16,16.249,0.727,16.013,20.722,323,16,0.9969
"2","LA MORENA-TRECE","Shannon diversity",6.273,6.431,0.456,6.273,7.325,323,16,0.9969
"3","LA MORENA-TRECE","Simpson diversity",3.645,3.675,0.29,3.645,4.243,323,16,0.9969
"4","CAÑO NEGRO Y AFLUENTES","Species richness",15,15.997,2.286,15.07,29.167,378,15,0.9947
"5","CAÑO NEGRO Y AFLUENTES","Shannon diversity",8.15,8.324,0.381,8.15,9.071,378,15,0.9947
"6","CAÑO NEGRO Y AFLUENTES","Simpson diversity",5.919,5.998,0.405,5.919,6.791,378,15,0.9947
"7","SOGAMOSITO-PAREDES","Species richness",19,21.656,3.474,19.375,37.8,261,19,0.9848
"8","SOGAMOSITO-PAREDES","Shannon diversity",8.145,8.508,0.592,8.145,9.668,261,19,0.9848
"9","SOGAMOSITO-PAREDES","Simpson diversity",5.694,5.799,0.41,5.694,6.603,261,19,0.9848
"10","SALADO-MAGDALENA","Species richness",14,22.101,8.215,15.559,56.107,125,14,0.9444
"11","SALADO-MAGDALENA","Shannon diversity",2.758,3.032,0.464,2.758,3.941,125,14,0.9444
"12","SALADO-MAGDALENA","Simpson diversity",1.61,1.618,0.139,1.61,1.891,125,14,0.9444
"13","CORREDOR","Species richness",11,15.467,7.144,11.491,51.635,137,11,0.9782
"14","CORREDOR","Shannon diversity",4.933,5.217,0.51,4.933,6.217,137,11,0.9782
"15","CORREDOR","Simpson diversity",3.529,3.596,0.318,3.529,4.219,137,11,0.9782
"16","MONTECRISTO-YARIRI","Species richness",7,7.496,1.313,7.029,15.38,113,7,0.9913
"17","MONTECRISTO-YARIRI","Shannon diversity",4.115,4.246,0.321,4.115,4.875,113,7,0.9913
"18","MONTECRISTO-YARIRI","Simpson diversity",3.214,3.279,0.304,3.214,3.875,113,7,0.9913
"19","CAÑO RAICERO","Species richness",9,9,0.402,9,9.982,52,9,1
"20","CAÑO RAICERO","Shannon diversity",8.16,8.84,0.573,8.16,9.962,52,9,1
"21","CAÑO RAICERO","Simpson diversity",7.553,8.667,0.821,7.553,10.275,52,9,1
"22","RIO MAGDALENA","Species richness",19,34.863,16.356,21.992,103.092,117,19,0.9319
"23","RIO MAGDALENA","Shannon diversity",8.666,10.038,1.334,8.666,12.651,117,19,0.9319
"24","RIO MAGDALENA","Simpson diversity",5.636,5.87,0.739,5.636,7.32,117,19,0.9319
