"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","CORREDOR","Species richness",17,19.246,3.391,17.265,36.01,597,17,0.995
"2","CORREDOR","Shannon diversity",8.179,8.315,0.321,8.179,8.945,597,17,0.995
"3","CORREDOR","Simpson diversity",6.295,6.352,0.261,6.295,6.863,597,17,0.995
"4","AGUA BONITA-PAREDES","Species richness",12,39.364,20.792,19.287,114.756,44,12,0.8194
"5","AGUA BONITA-PAREDES","Shannon diversity",5.857,8.45,2.344,5.857,13.043,44,12,0.8194
"6","AGUA BONITA-PAREDES","Simpson diversity",3.653,3.893,0.907,3.653,5.67,44,12,0.8194
"7","LA MORENA-TRECE","Species richness",28,40.476,17.106,29.662,121.656,512,28,0.9902
"8","LA MORENA-TRECE","Shannon diversity",13.739,14.269,0.688,13.739,15.617,512,28,0.9902
"9","LA MORENA-TRECE","Simpson diversity",8.355,8.477,0.61,8.355,9.672,512,28,0.9902
"10","CAÑO NEGRO Y AFLUENTES","Species richness",15,22.941,11.579,15.98,79.359,136,15,0.9707
"11","CAÑO NEGRO Y AFLUENTES","Shannon diversity",9.817,10.654,0.911,9.817,12.44,136,15,0.9707
"12","CAÑO NEGRO Y AFLUENTES","Simpson diversity",8.084,8.532,0.732,8.084,9.966,136,15,0.9707
"13","SOGAMOSITO-PAREDES","Species richness",21,25.844,4.79,21.96,45.442,87,21,0.9209
"14","SOGAMOSITO-PAREDES","Shannon diversity",13.409,15.77,1.596,13.409,18.899,87,21,0.9209
"15","SOGAMOSITO-PAREDES","Simpson diversity",9.667,10.75,1.545,9.667,13.778,87,21,0.9209
"16","MONTECRISTO-YARIRI","Species richness",7,7.969,2.173,7.07,20.403,32,7,0.9413
"17","MONTECRISTO-YARIRI","Shannon diversity",5.836,6.599,0.639,5.836,7.851,32,7,0.9413
"18","MONTECRISTO-YARIRI","Simpson diversity",5.389,6.278,0.714,5.389,7.677,32,7,0.9413
"19","SALADO-MAGDALENA","Species richness",12,13.102,1.74,12.123,21.864,50,12,0.9431
"20","SALADO-MAGDALENA","Shannon diversity",8.557,9.806,1.102,8.557,11.965,50,12,0.9431
"21","SALADO-MAGDALENA","Simpson diversity",6.983,7.955,0.974,6.983,9.863,50,12,0.9431
