"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","CORREDOR","Species richness",18,18,0.507,18,19.419,1078,18,1
"2","CORREDOR","Shannon diversity",9.918,9.997,0.283,9.918,10.552,1078,18,1
"3","CORREDOR","Simpson diversity",6.793,6.83,0.323,6.793,7.462,1078,18,1
"4","AGUA BONITA-PAREDES","Species richness",22,30.968,10.138,23.515,75.096,278,22,0.9785
"5","AGUA BONITA-PAREDES","Shannon diversity",11.27,11.93,0.725,11.27,13.351,278,22,0.9785
"6","AGUA BONITA-PAREDES","Simpson diversity",8.424,8.656,0.593,8.424,9.818,278,22,0.9785
"7","LA MORENA-TRECE","Species richness",29,35.241,7.542,29.972,69.079,732,29,0.9932
"8","LA MORENA-TRECE","Shannon diversity",12.394,12.704,0.554,12.394,13.79,732,29,0.9932
"9","LA MORENA-TRECE","Simpson diversity",7.398,7.463,0.491,7.398,8.425,732,29,0.9932
"10","CAÑO NEGRO Y AFLUENTES","Species richness",34,48.989,13.77,37.235,103.443,1351,34,0.9956
"11","CAÑO NEGRO Y AFLUENTES","Shannon diversity",14.291,14.541,0.452,14.291,15.427,1351,34,0.9956
"12","CAÑO NEGRO Y AFLUENTES","Simpson diversity",9.2,9.256,0.4,9.2,10.039,1351,34,0.9956
"13","SOGAMOSITO-PAREDES","Species richness",31,34.119,3.652,31.505,50.269,546,31,0.9909
"14","SOGAMOSITO-PAREDES","Shannon diversity",14.892,15.389,0.697,14.892,16.755,546,31,0.9909
"15","SOGAMOSITO-PAREDES","Simpson diversity",9.936,10.102,0.758,9.936,11.586,546,31,0.9909
"16","SALADO-MAGDALENA","Species richness",32,47.969,16.462,35.013,116.633,518,32,0.9846
"17","SALADO-MAGDALENA","Shannon diversity",13.363,13.992,0.692,13.363,15.349,518,32,0.9846
"18","SALADO-MAGDALENA","Simpson diversity",8.438,8.562,0.612,8.438,9.761,518,32,0.9846
"19","MONTECRISTO-YARIRI","Species richness",16,25.935,10.194,17.885,68.368,154,16,0.9676
"20","MONTECRISTO-YARIRI","Shannon diversity",9.531,10.345,0.854,9.531,12.019,154,16,0.9676
"21","MONTECRISTO-YARIRI","Simpson diversity",7.695,8.047,0.599,7.695,9.222,154,16,0.9676
"22","RIO MAGDALENA","Species richness",21,34.47,12.433,23.892,83.745,447,21,0.9799
"23","RIO MAGDALENA","Shannon diversity",4.857,5.055,0.375,4.857,5.79,447,21,0.9799
"24","RIO MAGDALENA","Simpson diversity",2.803,2.815,0.19,2.803,3.187,447,21,0.9799
