"","Quebrada","Ciénaga","Caño","Río Magdalena"
"Hoplias malabaricus",13,0,15,0
"Andinoacara latifrons",39,35,66,0
"Caquetaia kraussii",21,23,16,0
"Gasteropelecus maculatus",46,0,0,0
"Bunocephalus colombianus",4,0,3,0
"Ancistrus caucanus",9,0,0,0
"Astyanax magdalenae",268,27,46,3
"Astyanax sp. 1",14,0,0,0
"Leporinus striatus",4,0,0,0
"Roeboides dayi",7,12,6,3
"Cyphocharax magdalenae",110,51,269,6
"Ctenolucius hujeta",1,0,4,0
"Prochilodus magdalenae",1,1,2,1
"Triportheus magdalenae",0,12,0,37
"Eigenmannia camposi",0,1,1,2
"Pimelodus yuma",0,0,3,26
"Sternopygus aequilabiatus",0,0,6,1
"Trachelyopterus insignis",0,0,2,8
"Hypostomus hondae",0,0,11,0
"Megaleporinus muyscorum",0,0,1,0
"Curimata mivartii",0,0,1,4
"Rineloricaria magdalenae",9,0,21,0
"Sturisomatichthys aureus",18,0,0,1
"Pimelodella floridablancaensis",1,0,0,0
"Geophagus steindachneri",4,0,0,0
"Cynopotamus magdalenae",1,0,0,3
"Astyanax filiferus",43,0,2,0
"Dasyloricaria filamentosa",0,0,66,0
"Hoplosternum magdalenae",5,0,13,0
"Rhamdia guatemalensis",1,0,26,0
"Gymnotus ardilai",1,0,0,0
"Trichopodus pectoralis",0,0,16,0
"Trichopodus trichopterus aff. trichopterus",0,0,6,0
"Astyanax sp. 2",0,0,3,0
"Sorubim cuspicaudus",0,0,0,1
"Crossoloricaria variegata",0,0,0,1
"Pimelodus grosskopfii",0,0,0,15
"Megalonema xanthum",0,0,0,2
"Spatuloricaria gymnogaster",0,0,0,1
"Potamotrygon magdalenae",0,0,0,1
"Apteronotus mariae",0,0,0,1
"Kronoheros umbrifer",2,0,0,0
