"","Quebrada","Caño"
"Andinoacara latifrons",27,25
"Brachyhypopomus occidentalis",205,24
"Poecilia caucana",108,28
"Rivulus xi",126,4
"Rhamdia guatemalensis",10,0
"Gephyrocharax melanocheir",63,1
"Characidium zebra",220,35
"Imparfinis usmai",75,22
"Hyphessobrycon natagaima aff. natagaima",29,0
"Roeboides dayi",5,6
"Eigenmannia camposi",70,11
"Apteronotus milesi",46,0
"Synbranchus marmoratus",7,1
"Farlowella yarigui",2,0
"Hoplias malabaricus",5,2
"Astyanax magdalenae",21,0
"Sturisomatichthys aureus",62,0
"Sternopygus aequilabiatus",8,0
"Nanocheirodon insignis",4,11
"Ancistrus caucanus",38,0
"Rineloricaria magdalenae",21,19
"Heptapterinae gen. nov. et sp. nov.",10,0
"Kronoheros umbrifer",4,0
"Characidium zebra cf. zebra",2,0
"Leporinus striatus",2,0
"Hypostomus hondae",6,0
"Caquetaia kraussii",0,20
"Hoplosternum magdalenae",1,7
"Trichopodus trichopterus aff. trichopterus",0,1
"Geophagus steindachneri",1,0
"Trichomycterus sp. 1",17,0
"Saccoderma hastata",6,2
"Astyanax sp. 1",10,0
"Gasteropelecus maculatus",1,0
"Creagrutus magdalenae",14,0
"Trichomycterus sp. 2",5,0
"Prochilodus magdalenae",0,2
"Ctenolucius hujeta",0,2
"Bunocephalus colombianus",1,3
