"","Quebrada","Ciénaga","Caño","Río Magdalena"
"Andinoacara latifrons",70,1,68,0
"Brachyhypopomus occidentalis",69,8,9,0
"Caquetaia kraussii",59,44,93,0
"Poecilia caucana",157,28,72,1
"Rivulus xi",51,11,2,0
"Gephyrocharax melanocheir",218,0,1,0
"Roeboides dayi",89,1,123,2
"Gasteropelecus maculatus",88,0,20,0
"Ctenolucius hujeta",25,2,68,0
"Hoplosternum magdalenae",15,7,30,0
"Characidium zebra",147,0,31,0
"Astyanax magdalenae",546,0,129,0
"Hyphessobrycon natagaima aff. natagaima",609,122,109,1
"Cyphocharax magdalenae",14,2,65,1
"Eigenmannia camposi",152,0,74,2
"Astyanax sp. 1",65,1,1,6
"Hoplias malabaricus",9,1,6,0
"Astyanax yariguies",6,0,0,0
"Farlowella yarigui",1,0,0,0
"Kronoheros umbrifer",2,0,0,0
"Saccoderma hastata",147,0,70,0
"Nanocheirodon insignis",234,2,160,0
"Synbranchus marmoratus",1,0,4,0
"Apteronotus milesi",13,0,0,0
"Rhamdia guatemalensis",1,0,8,1
"Leporinus striatus",3,0,0,0
"Sturisomatichthys aureus",17,0,0,0
"Bunocephalus colombianus",15,0,28,0
"Ancistrus caucanus",14,0,0,0
"Rineloricaria magdalenae",22,0,80,0
"Characidium zebra cf. zebra",1,0,0,0
"Sternopygus aequilabiatus",5,0,0,0
"Astyanax sp. 2",7,0,65,0
"Cynopotamus magdalenae",3,0,1,0
"Argopleura magdalenensis",0,0,1,255
"Hypostomus hondae",2,0,3,0
"Dasyloricaria filamentosa",0,0,115,0
"Megaleporinus muyscorum",0,0,5,0
"Prochilodus magdalenae",3,1,8,0
"Trichopodus pectoralis",0,8,16,0
"Pimelodella floridablancaensis",1,0,0,0
"Geophagus steindachneri",2,0,0,0
"Paravandellia phaneronema",19,0,0,0
"Astyanax filiferus",5,0,0,37
"Imparfinis usmai",1,0,0,0
"Creagrutus magdalenae",17,0,0,50
"Trachelyopterus insignis",0,0,17,4
"Trichopodus trichopterus aff. trichopterus",0,0,10,0
"Triportheus magdalenae",0,1,0,12
"Dupouyichthys sapito",0,0,0,1
"Pimelodus yuma",0,0,0,39
"Cetopsorhamdia molinae",0,0,0,1
"Megalonema xanthum",0,0,0,2
"Curimata mivartii",0,0,0,1
"Pseudopimelodus atricaudus",0,0,0,4
"Apteronotus mariae",0,0,0,1
"Microgenys minuta",0,0,0,1
"Pimelodus grosskopfii",0,0,0,25
