"","Platero","Kale","Caracterizacion"
"Hoplias malabaricus",14,12,2
"Andinoacara latifrons",34,55,51
"Caquetaia kraussii",21,17,22
"Gasteropelecus maculatus",20,26,0
"Bunocephalus colombianus",3,3,1
"Ancistrus caucanus",9,0,0
"Astyanax magdalenae",211,56,77
"Astyanax sp. 1",14,0,0
"Leporinus striatus",4,0,0
"Roeboides dayi",11,4,13
"Cyphocharax magdalenae",248,138,50
"Ctenolucius hujeta",1,4,0
"Prochilodus magdalenae",1,2,2
"Triportheus magdalenae",16,21,12
"Eigenmannia camposi",0,2,2
"Pimelodus yuma",21,5,3
"Sternopygus aequilabiatus",0,1,6
"Trachelyopterus insignis",4,5,1
"Hypostomus hondae",3,8,0
"Megaleporinus muyscorum",1,0,0
"Curimata mivartii",1,4,0
"Rineloricaria magdalenae",20,5,5
"Sturisomatichthys aureus",15,1,3
"Pimelodella floridablancaensis",0,0,1
"Geophagus steindachneri",0,0,4
"Cynopotamus magdalenae",1,2,1
"Astyanax filiferus",40,0,5
"Dasyloricaria filamentosa",16,50,0
"Hoplosternum magdalenae",6,12,0
"Rhamdia guatemalensis",1,26,0
"Gymnotus ardilai",1,0,0
"Trichopodus pectoralis",0,16,0
"Trichopodus trichopterus aff. trichopterus",0,6,0
"Astyanax sp. 2",0,3,0
"Sorubim cuspicaudus",1,0,0
"Crossoloricaria variegata",1,0,0
"Pimelodus grosskopfii",7,8,0
"Megalonema xanthum",0,2,0
"Spatuloricaria gymnogaster",0,1,0
"Potamotrygon magdalenae",0,1,0
"Apteronotus mariae",0,1,0
"Kronoheros umbrifer",2,0,0
