"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Temp","OxgD","COrgT","FDisp","TSolidDis","Nitratos","Silicatos","GrasAceit","SAAM","Alcalinid","Log_Cond","sed_Nitrog","sed_p_limo","sed_fosforo","sed_Sodio","sed_hierro","sed_Magnes","Cantos.rodados","Grava","Vrip","CDosel","ProfProm","Ancho","ProfCapFot","Plataf","Red.Hidrica","CuerpAgua","samplEff.1"
"1","ANH_39","Species richness",5,6.833,3.452,5.164,25.448,899.011196148,3376.49841112,6568.11386386,4.88486825749,4.88486825749,260.342062684,4054.197194,7436.51139294,1195.87251946,1195.87251946,7296.97418103,6403.3916761,2032.94361862,25.52,6.1,21.155,3.725,40,2.64,0.447,1.27,0.072,18.36,1.32221929473392,0.1879,10,0.00361,18.38,2.89,42.4,0.35,0.15,2,3,3.5,18,1.35,"Platero","CORREDOR","Caño",0.578378378378378
"2","ANH_39","Shannon diversity",4.154,5.502,1.538,4.154,8.516,899.011196148,3376.49841112,6568.11386386,4.88486825749,4.88486825749,260.342062684,4054.197194,7436.51139294,1195.87251946,1195.87251946,7296.97418103,6403.3916761,2032.94361862,25.52,6.1,21.155,3.725,40,2.64,0.447,1.27,0.072,18.36,1.32221929473392,0.1879,10,0.00361,18.38,2.89,42.4,0.35,0.15,2,3,3.5,18,1.35,"Platero","CORREDOR","Caño",0.578378378378378
"3","ANH_39","Simpson diversity",3.6,4.714,1.43,3.6,7.518,899.011196148,3376.49841112,6568.11386386,4.88486825749,4.88486825749,260.342062684,4054.197194,7436.51139294,1195.87251946,1195.87251946,7296.97418103,6403.3916761,2032.94361862,25.52,6.1,21.155,3.725,40,2.64,0.447,1.27,0.072,18.36,1.32221929473392,0.1879,10,0.00361,18.38,2.89,42.4,0.35,0.15,2,3,3.5,18,1.35,"Platero","CORREDOR","Caño",0.578378378378378
"4","ANH_43","Species richness",1,1,0.312,1,2.549,2276.85820497,4852.18024448,5963.85139677,0,0,78.6478687443,4843.14845279,5895.42061852,2434.42420069,2434.42420069,7284.4078322,5541.87026023,971.209078924,26.51,6.1,14.56,0.275,96,2.19,1.053,0.97,0.054,28.56,1.46239799789896,0.2501,10,0.00393,20.65,5.99,29.84,0,0.2,2,2,0.85,8,0.85,"Platero","CORREDOR","Quebrada",0.297297297297297
"5","ANH_43","Shannon diversity",1,0,0,1,0,2276.85820497,4852.18024448,5963.85139677,0,0,78.6478687443,4843.14845279,5895.42061852,2434.42420069,2434.42420069,7284.4078322,5541.87026023,971.209078924,26.51,6.1,14.56,0.275,96,2.19,1.053,0.97,0.054,28.56,1.46239799789896,0.2501,10,0.00393,20.65,5.99,29.84,0,0.2,2,2,0.85,8,0.85,"Platero","CORREDOR","Quebrada",0.297297297297297
"6","ANH_43","Simpson diversity",1,1,0,1,1,2276.85820497,4852.18024448,5963.85139677,0,0,78.6478687443,4843.14845279,5895.42061852,2434.42420069,2434.42420069,7284.4078322,5541.87026023,971.209078924,26.51,6.1,14.56,0.275,96,2.19,1.053,0.97,0.054,28.56,1.46239799789896,0.2501,10,0.00393,20.65,5.99,29.84,0,0.2,2,2,0.85,8,0.85,"Platero","CORREDOR","Quebrada",0.297297297297297
"7","ANH_294","Species richness",3,3,0.217,3,3.482,5364.0085742,12992.3601129,10.5479080966,0,0,191.147495736,4700.83854112,2979.74568287,5286.41022405,8653.20509637,1092.03811334,4939.98001677,4043.17628209,26.33,5.85,25.27,1.2,30,2.22,1.38,2.99,0.073,14.28,1.74036268949424,0,0,0,0,0,0,0.8,0,1,2,0.5,5,1.35,"Caracterizacion","AGUA BONITA-PAREDES","Quebrada",0.162162162162162
"8","ANH_294","Shannon diversity",2.158,2.213,0.239,2.158,2.681,5364.0085742,12992.3601129,10.5479080966,0,0,191.147495736,4700.83854112,2979.74568287,5286.41022405,8653.20509637,1092.03811334,4939.98001677,4043.17628209,26.33,5.85,25.27,1.2,30,2.22,1.38,2.99,0.073,14.28,1.74036268949424,0,0,0,0,0,0,0.8,0,1,2,0.5,5,1.35,"Caracterizacion","AGUA BONITA-PAREDES","Quebrada",0.162162162162162
"9","ANH_294","Simpson diversity",1.806,1.843,0.24,1.806,2.314,5364.0085742,12992.3601129,10.5479080966,0,0,191.147495736,4700.83854112,2979.74568287,5286.41022405,8653.20509637,1092.03811334,4939.98001677,4043.17628209,26.33,5.85,25.27,1.2,30,2.22,1.38,2.99,0.073,14.28,1.74036268949424,0,0,0,0,0,0,0.8,0,1,2,0.5,5,1.35,"Caracterizacion","AGUA BONITA-PAREDES","Quebrada",0.162162162162162
"10","ANH_296","Species richness",5,6.846,3.474,5.166,25.577,2738.2144934,15446.7206789,31.5375462503,3.35788119566,0,13.2563179285,3091.30188043,3061.55921954,6686.45434729,11610.2959298,1014.57565719,9732.85727516,3219.69043621,27.29,4.03,22.46,0.15,52,2.89,0.882,3.69,0.089,24.48,2.02118929906994,0,0,0,0,0,0,0,0.35,2,3,4.5,15,2.6,"Caracterizacion","SOGAMOSITO-PAREDES","Caño",0.513513513513513
