"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Caño","Species richness",43,82,35.602,51.479,222.376,13,231,43,0.9451,13,2,2,4,5,1,2,3,1,2
"2","Caño","Shannon diversity",31.911,36.213,2.5,31.911,41.113,13,231,43,0.9451,13,2,2,4,5,1,2,3,1,2
"3","Caño","Simpson diversity",27.463,28.724,1.204,27.463,31.083,13,231,43,0.9451,13,2,2,4,5,1,2,3,1,2
"4","Ciénaga","Species richness",22,23.786,2.206,22.271,33.785,7,71,22,0.9497,5,6,3,2,1,3,2,0,0,0
"5","Ciénaga","Shannon diversity",18.152,20.333,1.554,18.152,23.379,7,71,22,0.9497,5,6,3,2,1,3,2,0,0,0
"6","Ciénaga","Simpson diversity",15.803,17.32,1.266,15.803,19.802,7,71,22,0.9497,5,6,3,2,1,3,2,0,0,0
"7","Quebrada","Species richness",49,53.594,4.569,49.904,72.337,16,347,49,0.9816,7,5,4,4,2,3,1,4,4,3
"8","Quebrada","Shannon diversity",38.032,40.043,1.224,38.032,42.442,16,347,49,0.9816,7,5,4,4,2,3,1,4,4,3
"9","Quebrada","Simpson diversity",33.198,34.379,1.075,33.198,36.486,16,347,49,0.9816,7,5,4,4,2,3,1,4,4,3
"10","Río Magdalena","Species richness",49,59.8,6.815,52.473,82.589,5,120,49,0.8875,18,12,5,7,7,0,0,0,0,0
"11","Río Magdalena","Shannon diversity",41.209,49.532,3.171,43.318,55.746,5,120,49,0.8875,18,12,5,7,7,0,0,0,0,0
"12","Río Magdalena","Simpson diversity",36.181,41.294,2.414,36.563,46.024,5,120,49,0.8875,18,12,5,7,7,0,0,0,0,0
